Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
Cleansing	1	1	1	46		23				4	602	dmg-undead		81	100										pama	pasc	pasd	nscy									0	0
Purifying	1	1	1	57		28				4	602	dmg-undead		101	120										pama	pasc	pasd	nscy									0	0
Avenging	1	1	1	68		34				4	602	dmg-undead		121	150										pama	pasc	pasd	nscy									0	0
Supreme	1	1	1	90		45				1	602	dmg-undead		151	250										pama	pasc	pasd	nscy									0	0
Wayfarer's	1	1	1	1		0				4	603	regen-stam		11	40										boot	pelt	phlm										0	0
Traveler's	1	1	1	6		3				4	603	regen-stam		41	100										boot	pelt	phlm										0	0
Nomad's	1	1	1	13		6				4	603	regen-stam		101	300										boot	pelt	phlm										0	0
Wayfarer's	1	1	1	1		0				4	603	regen-stam		11	40										dusc	dusp	duse										0	0
Traveler's	1	1	1	7		3				4	603	regen-stam		41	100										dusc	dusp	duse										0	0
Nomad's	1	1	1	14		7				4	603	regen-stam		101	300										dusc	dusp	duse										0	0
Wayfarer's	1	1	1	1		0				4	603	regen-stam		6	10										jewl												0	0
Overweight	1	1		1		0				2	604	stam		-10	-50										boot												0	0
Rugged	1	1	1	1		0				4	604	stam		10	20										boot												0	0
Hardy	1	1	1	5		2				4	604	stam		21	50										boot												0	0
Robust	1	1	1	17		8				4	604	stam		51	100										boot												0	0
Rugged	1	1	1	1		0				4	604	stam		10	20										dusc	dusp	duse										0	0
Hardy	1	1	1	6		2				4	604	stam		21	50										dusc	dusp	duse										0	0
Robust	1	1	1	19		9				4	604	stam		51	100										dusc	dusp	duse										0	0
Rugged	1	1	1	1		0				4	604	stam		10	20										jewl												0	0
Screaming	1	1	1	11		5				4	605	howl		14	14										weap												0	0
Howling	1	1	1	33		16				4	605	howl		20	20										weap												0	0
Wailing	1	1	1	55		27				4	605	howl		32	32										weap												0	0
Screaming	1	1	1	12		6				4	605	howl		14	14										dusm	dusc											0	0
Howling	1	1	1	36		18				4	605	howl		20	20										dusm	dusc											0	0
Wailing	1	1	1	61		30				4	605	howl		32	32										dusm	dusc											0	0
Screaming	1	1	1	50		25				4	605	howl		14	14										ring												0	0
Screaming	1	1	1	46		23				4	605	howl		3	3										jewl												0	0
Lurid	1	1	1	77		38				4	606	noheal		1	1										weap	amul											0	0
Dim	1	1		1		0				2	607	light		-1	-2										armo	weap	assn										0	0
Glimmering	1	1	1	1		0				4	607	light		1	1										armo	weap						assn	nscy				0	0
Glowing	1	1	1	4		2				4	607	light		2	2										armo	weap						assn	nscy				0	0
Radiant	1	1	1	8		4				4	607	light		3	4										armo	weap						assn	nscy				0	0
Glimmering	1	1	1	1		0				4	607	light		1	1										dust												0	0
Glowing	1	1	1	4		2				4	607	light		2	2										dust												0	0
Radiant	1	1	1	9		4				4	607	light		3	4										dust												0	0
Glimmering	1	1	1	1		0				4	607	light		1	1										jewl												0	0
Hypothermic	1	1		2		1				6	609	res-cold		-5	-15										tors	shld	staf	amul									0	0
Azure	1	1	1	2		1				6	609	res-cold		5	15										tors	shld	staf	amul									0	0
Lapis	1	1	1	16		8				6	609	res-cold		16	25										tors	shld	staf	amul									0	0
Cobalt	1	1	1	30		15				6	609	res-cold		25	40										tors	shld	staf	amul									0	0
Aquamarine	1	1	1	44		22				6	609	res-cold		41	65										tors	shld	staf	amul									0	0
Tourmaline	1	1	1	58		29				6	609	res-cold		66	80										tors	shld	staf	amul									0	0
Sapphire	1	1	1	72		36				6	609	res-cold		81	100										tors	shld	staf	amul									0	0
Azure	1	1	1	2		1				6	609	res-cold		5	15										duse												0	0
Lapis	1	1	1	18		9				6	609	res-cold		16	25										duse												0	0
Cobalt	1	1	1	33		17				6	609	res-cold		25	40										duse												0	0
Aquamarine	1	1	1	48		24				6	609	res-cold		41	65										duse												0	0
Tourmaline	1	1	1	64		32				6	609	res-cold		66	80										duse												0	0
Sapphire	1	1	1	79		40				6	609	res-cold		81	100										duse												0	0
Hypothermic	1	1		4		2				6	609	res-cold		-5	-15										helm	belt	boot	ring				ahlm					0	0
Azure	1	1	1	4		2				6	609	res-cold		5	10										helm	belt	boot	ring				ahlm					0	0
Lapis	1	1	1	18		9				6	609	res-cold		11	15										helm	belt	boot	ring				ahlm					0	0
Cobalt	1	1	1	32		16				6	609	res-cold		16	20										helm	belt	boot	ring				ahlm					0	0
Aquamarine	1	1	1	46		23				6	609	res-cold		21	25										helm	belt	boot	ring				ahlm					0	0
Tourmaline	1	1	1	60		30				6	609	res-cold		26	30										helm	belt	boot	ring				ahlm					0	0
Sapphire	1	1	1	74		37				6	609	res-cold		31	40										helm	belt	boot	ring				ahlm					0	0
Azure	1	1	1	8		4				4	609	res-cold		5	15										jewl												0	0
Lapis	1	1	1	27		13				4	609	res-cold		16	25										jewl												0	0
Flammable	1	1		2		1				6	610	res-fire		-5	-15										tors	shld	staf	amul									0	0
Crimson	1	1	1	2		1				6	610	res-fire		5	15										tors	shld	staf	amul									0	0
Burgundy	1	1	1	16		8				6	610	res-fire		16	25										tors	shld	staf	amul									0	0
Garnet	1	1	1	30		15				6	610	res-fire		26	40										tors	shld	staf	amul									0	0
Opal	1	1	1	44		22				6	610	res-fire		41	65										tors	shld	staf	amul									0	0
Zircon	1	1	1	58		29				6	610	res-fire		66	80										tors	shld	staf	amul									0	0
Ruby	1	1	1	72		36				6	610	res-fire		81	100										tors	shld	staf	amul									0	0
Crimson	1	1	1	2		1				6	610	res-fire		5	15										duse												0	0
Burgundy	1	1	1	18		9				6	610	res-fire		16	25										duse												0	0
Garnet	1	1	1	33		17				6	610	res-fire		26	40										duse												0	0
Opal	1	1	1	48		24				6	610	res-fire		41	65										duse												0	0
Zircon	1	1	1	64		32				6	610	res-fire		66	80										duse												0	0
Ruby	1	1	1	79		40				6	610	res-fire		81	100										duse												0	0
Flammable	1	1		4		2				6	610	res-fire		-5	-15										helm	belt	boot	ring				ahlm					0	0
Crimson	1	1	1	4		2				6	610	res-fire		5	10										helm	belt	boot	ring				ahlm					0	0
Burgundy	1	1	1	18		9				6	610	res-fire		11	15										helm	belt	boot	ring				ahlm					0	0
Garnet	1	1	1	32		16				6	610	res-fire		16	20										helm	belt	boot	ring				ahlm					0	0
Opal	1	1	1	46		23				6	610	res-fire		21	25										helm	belt	boot	ring				ahlm					0	0
Zircon	1	1	1	60		30				6	610	res-fire		26	30										helm	belt	boot	ring				ahlm					0	0
Ruby	1	1	1	74		37				6	610	res-fire		31	40										helm	belt	boot	ring				ahlm					0	0
Azure	1	1	1	8		4				4	610	res-fire		5	15										jewl												0	0
Lapis	1	1	1	27		13				4	610	res-fire		16	25										jewl												0	0
Accursed	1	1		2		1				6	611	res-ltng		-5	-15										tors	shld	staf	amul									0	0
Ocher	1	1	1	2		1				6	611	res-ltng		5	15										tors	shld	staf	amul									0	0
Tangerine	1	1	1	16		8				6	611	res-ltng		16	25										tors	shld	staf	amul									0	0
Coral	1	1	1	30		15				6	611	res-ltng		26	40										tors	shld	staf	amul									0	0
Amber	1	1	1	44		22				6	611	res-ltng		41	65										tors	shld	staf	amul									0	0
Citrine	1	1	1	58		29				6	611	res-ltng		66	80										tors	shld	staf	amul									0	0
Heliodor	1	1	1	72		36				6	611	res-ltng		81	100										tors	shld	staf	amul									0	0
Ocher	1	1	1	2		1				6	611	res-ltng		5	15										duse												0	0
Tangerine	1	1	1	18		9				6	611	res-ltng		16	25										duse												0	0
Coral	1	1	1	33		17				6	611	res-ltng		26	40										duse												0	0
Amber	1	1	1	48		24				6	611	res-ltng		41	65										duse												0	0
Citrine	1	1	1	64		32				6	611	res-ltng		66	80										duse												0	0
Heliodor	1	1	1	79		40				6	611	res-ltng		81	100										duse												0	0
Accursed	1	1		4		2				6	611	res-ltng		-5	-15										helm	belt	boot	ring				ahlm					0	0
Ocher	1	1	1	4		2				6	611	res-ltng		5	10										helm	belt	boot	ring				ahlm					0	0
Tangerine	1	1	1	18		9				6	611	res-ltng		11	15										helm	belt	boot	ring				ahlm					0	0
Coral	1	1	1	32		16				6	611	res-ltng		16	20										helm	belt	boot	ring				ahlm					0	0
Amber	1	1	1	46		23				6	611	res-ltng		21	25										helm	belt	boot	ring				ahlm					0	0
Citrine	1	1	1	60		30				6	611	res-ltng		26	30										helm	belt	boot	ring				ahlm					0	0
Heliodor	1	1	1	74		37				6	611	res-ltng		31	40										helm	belt	boot	ring				ahlm					0	0
Azure	1	1	1	8		4				4	611	res-ltng		5	15										jewl												0	0
Lapis	1	1	1	27		13				4	611	res-ltng		16	25										jewl												0	0
Drooling	1	1		2		1				6	612	res-pois		-5	-15										tors	shld	staf	amul									0	0
Beryl	1	1	1	2		1				6	612	res-pois		5	15										tors	shld	staf	amul									0	0
Jade	1	1	1	16		8				6	612	res-pois		16	25										tors	shld	staf	amul									0	0
Viridian	1	1	1	30		15				6	612	res-pois		26	40										tors	shld	staf	amul									0	0
Malachite	1	1	1	44		22				6	612	res-pois		41	65										tors	shld	staf	amul									0	0
Turquoise	1	1	1	58		29				6	612	res-pois		66	80										tors	shld	staf	amul									0	0
Emerald	1	1	1	72		36				6	612	res-pois		81	100										tors	shld	staf	amul									0	0
Beryl	1	1	1	2		1				6	612	res-pois		5	15										duse												0	0
Jade	1	1	1	18		9				6	612	res-pois		16	25										duse												0	0
Viridian	1	1	1	33		17				6	612	res-pois		26	40										duse												0	0
Malachite	1	1	1	48		24				6	612	res-pois		41	65										duse												0	0
Turquoise	1	1	1	64		32				6	612	res-pois		66	80										duse												0	0
Emerald	1	1	1	79		40				6	612	res-pois		81	100										duse												0	0
Drooling	1	1		4		2				6	612	res-pois		-5	-15										helm	belt	boot	ring				ahlm					0	0
Beryl	1	1	1	4		2				6	612	res-pois		5	10										helm	belt	boot	ring				ahlm					0	0
Jade	1	1	1	18		9				6	612	res-pois		11	15										helm	belt	boot	ring				ahlm					0	0
Viridian	1	1	1	32		16				6	612	res-pois		16	20										helm	belt	boot	ring				ahlm					0	0
Malachite	1	1	1	46		23				6	612	res-pois		21	25										helm	belt	boot	ring				ahlm					0	0
Turquoise	1	1	1	60		30				6	612	res-pois		26	30										helm	belt	boot	ring				ahlm					0	0
Emerald	1	1	1	74		37				6	612	res-pois		31	40										helm	belt	boot	ring				ahlm					0	0
Azure	1	1	1	8		4				4	612	res-pois		5	15										jewl												0	0
Lapis	1	1	1	27		13				4	612	res-pois		16	25										jewl												0	0
Bleak	1	1		5		2				4	612	res-curse		-5	-15										pala	amul											0	0
Soothing	1	1	1	5		2				4	612	res-curse		5	10										pala	amul											0	0
Vibrant	1	1	1	14		7				4	612	res-curse		11	15										pala	amul											0	0
Pure	1	1	1	23		11				4	612	res-curse		16	20										pala	amul											0	0
Crystalline	1	1	1	32		16				4	612	res-curse		21	25										pala	amul											0	0
Soothing	1	1	1	6		2				4	612	res-curse		5	10										dusm	dusp	duse										0	0
Vibrant	1	1	1	15		8				4	612	res-curse		11	15										dusm	dusp	duse										0	0
Pure	1	1	1	25		12				4	612	res-curse		16	20										dusm	dusp	duse										0	0
Crystalline	1	1	1	35		18				4	612	res-curse		21	25										dusm	dusp	duse										0	0
Soothing	1	1	1	8		4				4	612	res-curse		2	4										jewl												0	0
Shimmering	1	1	1	9		4				4	614	dmg-to-mana		2	5										staf	amul											0	0
Iridescent	1	1	1	31		15				4	614	dmg-to-mana		6	10										staf	amul											0	0
Shimmering	1	1	1	10		4				4	614	dmg-to-mana		2	5										dust												0	0
Iridescent	1	1	1	34		17				4	614	dmg-to-mana		6	10										dust												0	0
Shimmering	1	1	1	9		4				4	614	dmg-to-mana		2	3										ashd	stor											0	0
Iridescent	1	1	1	31		15				4	614	dmg-to-mana		4	5										ashd	stor											0	0
Shimmering	1	1	1	48		24				4	614	dmg-to-mana		1	1										jewl												0	0
Miner's	1	1	1	1		0				8	615	sock		1	1										weap	armo											0	0
Artificer's	1	1	1	9		4				8	615	sock		2	3										weap	armo											0	0
Jeweler's	1	1	1	23		11				8	615	sock		4	6										weap	armo											0	0
Iced	1	1	1	5		2				6	616	cold-min		1	4	cold-max		6	12	cold-len		37	37		crsx												0	0
Snowflake	1	1	1	15		7				6	616	cold-min		6	12	cold-max		13	22	cold-len		55	55		crsx												0	0
Shivering	1	1	1	25		12				6	616	cold-min		13	18	cold-max		24	37	cold-len		75	75		crsx												0	0
Shivering	1	1	1	35		17				6	616	cold-min		16	24	cold-max		31	48	cold-len		100	100		crsx												0	0
Boreal	1	1	1	45		22				6	616	cold-min		19	30	cold-max		39	60	cold-len		112	112		crsx												0	0
Boreal	1	1	1	57		28				6	616	cold-min		25	45	cold-max		49	90	cold-len		150	150		crsx												0	0
Hibernal	1	1	1	68		34				6	616	cold-min		31	60	cold-max		61	120	cold-len		225	225		crsx												0	0
Hibernal	1	1	1	80		40				6	616	cold-min		46	75	cold-max		91	225	cold-len		300	300		crsx												0	0
Iced	1	1	1	5		2				6	616	cold-min		1	3	cold-max		4	8	cold-len		25	25		weap							wand	crsx				0	0
Snowflake	1	1	1	15		7				6	616	cold-min		4	8	cold-max		9	15	cold-len		37	37		weap							wand	crsx				0	0
Shivering	1	1	1	25		12				6	616	cold-min		9	12	cold-max		16	25	cold-len		50	50		weap							wand	crsx				0	0
Shivering	1	1	1	35		17				6	616	cold-min		11	16	cold-max		21	32	cold-len		67	67		weap							wand	crsx				0	0
Boreal	1	1	1	45		22				6	616	cold-min		13	20	cold-max		26	40	cold-len		75	75		weap							wand	crsx				0	0
Boreal	1	1	1	57		28				6	616	cold-min		17	30	cold-max		33	60	cold-len		100	100		weap							wand	crsx				0	0
Hibernal	1	1	1	68		34				6	616	cold-min		21	40	cold-max		41	80	cold-len		150	150		weap							wand	crsx				0	0
Hibernal	1	1	1	80		40				6	616	cold-min		31	50	cold-max		61	150	cold-len		200	200		weap							wand	crsx				0	0
Iced	1	1	1	7		3				4	616	cold-min		1	2	cold-max		2	4	cold-len		10	10		glov	ring	amul	pelt									0	0
Snowflake	1	1	1	17		8				4	616	cold-min		2	4	cold-max		5	8	cold-len		19	19		glov	ring	amul	pelt									0	0
Shivering	1	1	1	27		13				4	616	cold-min		5	6	cold-max		8	13	cold-len		25	25		glov	ring	amul	pelt									0	0
Shivering	1	1	1	37		18				4	616	cold-min		6	8	cold-max		11	16	cold-len		34	34		glov	ring	amul	pelt									0	0
Boreal	1	1	1	47		23				4	616	cold-min		7	10	cold-max		13	20	cold-len		38	38		glov	ring	amul	pelt									0	0
Boreal	1	1	1	57		28				4	616	cold-min		9	15	cold-max		17	30	cold-len		50	50		glov	ring	amul	pelt									0	0
Hibernal	1	1	1	68		34				4	616	cold-min		11	20	cold-max		21	40	cold-len		75	75		glov	ring	amul	pelt									0	0
Hibernal	1	1	1	80		40				4	616	cold-min		16	25	cold-max		31	75	cold-len		100	100		glov	ring	amul	pelt									0	0
Iced	1	1	1	8		3				6	616	cold-min		1	2	cold-max		2	4	cold-len		10	10		dusc	duse											0	0
Snowflake	1	1	1	19		9				6	616	cold-min		2	4	cold-max		5	8	cold-len		19	19		dusc	duse											0	0
Shivering	1	1	1	30		14				6	616	cold-min		5	6	cold-max		8	13	cold-len		25	25		dusc	duse											0	0
Shivering	1	1	1	41		20				6	616	cold-min		6	8	cold-max		11	16	cold-len		34	34		dusc	duse											0	0
Boreal	1	1	1	52		25				6	616	cold-min		7	10	cold-max		13	20	cold-len		38	38		dusc	duse											0	0
Boreal	1	1	1	63		31				6	616	cold-min		9	15	cold-max		17	30	cold-len		50	50		dusc	duse											0	0
Hibernal	1	1	1	75		37				6	616	cold-min		11	20	cold-max		21	40	cold-len		75	75		dusc	duse											0	0
Hibernal	1	1	1	88		44				6	616	cold-min		16	25	cold-max		31	75	cold-len		100	100		dusc	duse											0	0
Iced	1	1	1	8		4				4	616	cold-min		1	2	cold-max		2	4	cold-len		10	10		jewl												0	0
Snowflake	1	1	1	18		9				4	616	cold-min		2	4	cold-max		5	8	cold-len		19	19		jewl												0	0
Ember	1	1	1	5		2				6	617	fire-min		3	6	fire-max		7	15						crsx												0	0
Smoldering	1	1	1	15		7				6	617	fire-min		7	15	fire-max		16	30						crsx												0	0
Smoking	1	1	1	25		12				6	617	fire-min		16	22	fire-max		31	52						crsx												0	0
Smoking	1	1	1	35		17				6	617	fire-min		19	30	fire-max		31	52						crsx												0	0
Flaming	1	1	1	45		22				6	617	fire-min		24	37	fire-max		54	75						crsx												0	0
Flaming	1	1	1	57		28				6	617	fire-min		31	55	fire-max		64	112						crsx												0	0
Scorching	1	1	1	68		34				6	617	fire-min		39	75	fire-max		76	150						crsx												0	0
Scorching	1	1	1	80		40				6	617	fire-min		61	90	fire-max		91	262						crsx												0	0
Ember	1	1	1	5		2				6	617	fire-min		2	4	fire-max		5	10						weap							wand	crsx				0	0
Smoldering	1	1	1	15		7				6	617	fire-min		5	10	fire-max		11	20						weap							wand	crsx				0	0
Smoking	1	1	1	25		12				6	617	fire-min		11	15	fire-max		21	35						weap							wand	crsx				0	0
Smoking	1	1	1	35		17				6	617	fire-min		13	20	fire-max		21	35						weap							wand	crsx				0	0
Flaming	1	1	1	45		22				6	617	fire-min		16	25	fire-max		36	50						weap							wand	crsx				0	0
Flaming	1	1	1	57		28				6	617	fire-min		21	37	fire-max		43	75						weap							wand	crsx				0	0
Scorching	1	1	1	68		34				6	617	fire-min		26	50	fire-max		51	100						weap							wand	crsx				0	0
Scorching	1	1	1	80		40				6	617	fire-min		41	60	fire-max		61	175						weap							wand	crsx				0	0
Ember	1	1	1	7		3				4	617	fire-min		1	2	fire-max		3	5						glov	ring	amul	pelt									0	0
Smoldering	1	1	1	17		8				4	617	fire-min		3	5	fire-max		6	10						glov	ring	amul	pelt									0	0
Smoking	1	1	1	27		13				4	617	fire-min		6	8	fire-max		11	18						glov	ring	amul	pelt									0	0
Smoking	1	1	1	37		18				4	617	fire-min		7	10	fire-max		11	18						glov	ring	amul	pelt									0	0
Flaming	1	1	1	47		23				4	617	fire-min		8	13	fire-max		18	25						glov	ring	amul	pelt									0	0
Flaming	1	1	1	57		28				4	617	fire-min		11	19	fire-max		22	38						glov	ring	amul	pelt									0	0
Scorching	1	1	1	68		34				4	617	fire-min		13	25	fire-max		26	50						glov	ring	amul	pelt									0	0
Scorching	1	1	1	80		40				4	617	fire-min		21	30	fire-max		31	88						glov	ring	amul	pelt									0	0
Ember	1	1	1	8		3				4	617	fire-min		1	2	fire-max		3	5						dusc	duse											0	0
Smoldering	1	1	1	19		9				4	617	fire-min		3	5	fire-max		6	10						dusc	duse											0	0
Smoking	1	1	1	30		14				4	617	fire-min		6	8	fire-max		11	18						dusc	duse											0	0
Smoking	1	1	1	41		20				4	617	fire-min		7	10	fire-max		11	18						dusc	duse											0	0
Flaming	1	1	1	52		25				4	617	fire-min		8	13	fire-max		18	25						dusc	duse											0	0
Flaming	1	1	1	63		31				4	617	fire-min		11	19	fire-max		22	38						dusc	duse											0	0
Scorching	1	1	1	75		37				4	617	fire-min		13	25	fire-max		26	50						dusc	duse											0	0
Scorching	1	1	1	88		44				4	617	fire-min		21	30	fire-max		31	88						dusc	duse											0	0
Ember	1	1	1	8		4				4	617	fire-min		1	2	fire-max		3	5						jewl												0	0
Smoldering	1	1	1	18		9				4	617	fire-min		3	5	fire-max		6	10						jewl												0	0
Static	1	1	1	6		3				6	618	ltng-min		1	1	ltng-max		15	30						crsx												0	0
