Name	version	*Laz/Tab	*Laz/Item Type	*Laz/Usage	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
Staff of Incinerate	100	Fire	Short Staff	Inherent	1	1	6		3				4	400	inherent-staff		40	40							1	1		armo	weap											0	0
Staff of Flame Wave	100	Fire	Short Staff	Inherent	1	1	12		6				4	400	inherent-staff		40	40							1	1		armo	weap											0	0
Staff of Blazing Spear	100	Fire	Short Staff	Inherent	1	1	18		9				4	400	inherent-staff		40	40							1	1		armo	weap											0	0
Staff of Fire Serpent	100	Fire	Short Staff	Inherent	1	1	24		12				4	400	inherent-staff		40	40							1	1		armo	weap											0	0
Staff of Devouring Flames	100	Fire	Short Staff	Inherent	1	1	30		15				4	400	inherent-staff		40	40							1	1		armo	weap											0	0
Staff of New Fire Mastery	100	Fire	Short Staff	Inherent	1	1	30		15				4	400	inherent-staff		40	40							1	1		armo	weap											0	0
Staff of Frost Bolt	100	Frost	Short Staff	Inherent	1	1	1		0				4	400	inherent-staff		40	40							1	1		armo	weap											0	0
Staff of Ice Armor	100	Frost	Short Staff	Inherent	1	1	6		3				4	400	inherent-staff		40	40							1	1		armo	weap											0	0
Staff of Frostbite	100	Frost	Short Staff	Inherent	1	1	6		3				4	400	inherent-staff		40	40							1	1		armo	weap											0	0
Staff of Ice Storm	100	Frost	Short Staff	Inherent	1	1	12		6				4	400	inherent-staff		40	40							1	1		armo	weap											0	0
Staff of Avalanche	100	Frost	Short Staff	Inherent	1	1	18		9				4	400	inherent-staff		40	40							1	1		armo	weap											0	0
Staff of Hoarfrost	100	Frost	Short Staff	Inherent	1	1	18		9				4	400	inherent-staff		40	40							1	1		armo	weap											0	0
Staff of Ice Nova	100	Frost	Short Staff	Inherent	1	1	24		12				4	400	inherent-staff		40	40							1	1		armo	weap											0	0
Staff of New Cold Mastery	100	Frost	Short Staff	Inherent	1	1	30		15				4	400	inherent-staff		40	40							1	1		armo	weap											0	0
Staff of Crackling Bolts	100	Shock	Short Staff	Inherent	1	1	1		0				4	400	inherent-staff		40	40							1	1		armo	weap											0	0
Staff of Arc Lightning	100	Shock	Short Staff	Inherent	1	1	6		3				4	400	inherent-staff		40	40							1	1		armo	weap											0	0
Staff of Electrocute	100	Shock	Short Staff	Inherent	1	1	12		6				4	400	inherent-staff		40	40							1	1		armo	weap											0	0
Staff of Wave of Force	100	Shock	Short Staff	Inherent	1	1	12		6				4	400	inherent-staff		40	40							1	1		armo	weap											0	0
Staff of Tempest	100	Shock	Short Staff	Inherent	1	1	18		9				4	400	inherent-staff		40	40							1	1		armo	weap											0	0
Staff of Chaos Nexus	100	Shock	Short Staff	Inherent	1	1	24		12				4	400	inherent-staff		40	40							1	1		armo	weap											0	0
Staff of Conduit	100	Shock	Short Staff	Inherent	1	1	24		12				4	400	inherent-staff		40	40							1	1		armo	weap											0	0
Staff of New Lightning Mastery	100	Shock	Short Staff	Inherent	1	1	30		15				4	400	inherent-staff		40	40							1	1		armo	weap											0	0
Staff of Flame Bolt	100	Fire	Short Staff	Inherent	1	1	1		0				4	400	inherent-staff		40	40	sor	573	1	1			1	1		armo	weap											0	128
Staff of New Warmth	100	Fire	Short Staff	Inherent	1	1	1		0				4	400	inherent-staff		40	40	sor	574	1	1			1	1		armo	weap											0	128
Staff of Incinerate	100	Fire	Short Staff	Inherent	1	1	6		3				4	400	inherent-staff		40	40	sor	575	1	1			1	1		armo	weap											0	128
Staff of Flame Wave	100	Fire	Short Staff	Inherent	1	1	12		6				4	400	inherent-staff		40	40	sor	576	1	1			1	1		armo	weap											0	128
Staff of Blazing Spear	100	Fire	Short Staff	Inherent	1	1	18		9				4	400	inherent-staff		40	40	sor	577	1	1			1	1		armo	weap											0	128
Staff of Fire Serpent	100	Fire	Short Staff	Inherent	1	1	24		12				4	400	inherent-staff		40	40	sor	578	1	1			1	1		armo	weap											0	128
Staff of Devouring Flames	100	Fire	Short Staff	Inherent	1	1	30		15				4	400	inherent-staff		40	40	sor	579	1	1			1	1		armo	weap											0	128
Staff of New Fire Mastery	100	Fire	Short Staff	Inherent	1	1	30		15				4	400	inherent-staff		40	40	sor	580	1	1			1	1		armo	weap											0	128
Staff of Frost Bolt	100	Frost	Short Staff	Inherent	1	1	1		0				4	400	inherent-staff		40	40	sor	581	1	1			1	1		armo	weap											0	128
Staff of Ice Armor	100	Frost	Short Staff	Inherent	1	1	6		3				4	400	inherent-staff		40	40	sor	582	1	1			1	1		armo	weap											0	128
Staff of Frostbite	100	Frost	Short Staff	Inherent	1	1	6		3				4	400	inherent-staff		40	40	sor	583	1	1			1	1		armo	weap											0	128
Staff of Ice Storm	100	Frost	Short Staff	Inherent	1	1	12		6				4	400	inherent-staff		40	40	sor	584	1	1			1	1		armo	weap											0	128
Staff of Avalanche	100	Frost	Short Staff	Inherent	1	1	18		9				4	400	inherent-staff		40	40	sor	585	1	1			1	1		armo	weap											0	128
Staff of Hoarfrost	100	Frost	Short Staff	Inherent	1	1	18		9				4	400	inherent-staff		40	40	sor	586	1	1			1	1		armo	weap											0	128
Staff of Ice Nova	100	Frost	Short Staff	Inherent	1	1	24		12				4	400	inherent-staff		40	40	sor	587	1	1			1	1		armo	weap											0	128
Staff of New Cold Mastery	100	Frost	Short Staff	Inherent	1	1	30		15				4	400	inherent-staff		40	40	sor	588	1	1			1	1		armo	weap											0	128
Staff of Crackling Bolts	100	Shock	Short Staff	Inherent	1	1	1		0				4	400	inherent-staff		40	40	sor	589	1	1			1	1		armo	weap											0	128
Staff of Arc Lightning	100	Shock	Short Staff	Inherent	1	1	6		3				4	400	inherent-staff		40	40	sor	590	1	1			1	1		armo	weap											0	128
Staff of Electrocute	100	Shock	Short Staff	Inherent	1	1	12		6				4	400	inherent-staff		40	40	sor	591	1	1			1	1		armo	weap											0	128
Staff of Wave of Force	100	Shock	Short Staff	Inherent	1	1	12		6				4	400	inherent-staff		40	40	sor	592	1	1			1	1		armo	weap											0	128
Staff of Tempest	100	Shock	Short Staff	Inherent	1	1	18		9				4	400	inherent-staff		40	40	sor	593	1	1			1	1		armo	weap											0	128
Staff of Chaos Nexus	100	Shock	Short Staff	Inherent	1	1	24		12				4	400	inherent-staff		40	40	sor	594	1	1			1	1		armo	weap											0	128
Staff of Conduit	100	Shock	Short Staff	Inherent	1	1	24		12				4	400	inherent-staff		40	40	sor	595	1	1			1	1		armo	weap											0	128
Staff of New Lightning Mastery	100	Shock	Short Staff	Inherent	1	1	30		15				4	400	inherent-staff		40	40	sor	596	1	1			1	1		armo	weap											0	128
Staff of Flame Bolt	100	Fire	Short Staff	Inherent	1	1	1		0				4	400	inherent-staff		40	40	sor	573	2	2			1	1		armo	weap											0	1024
Staff of New Warmth	100	Fire	Short Staff	Inherent	1	1	1		0				4	400	inherent-staff		40	40	sor	574	2	2			1	1		armo	weap											0	1024
Staff of Incinerate	100	Fire	Short Staff	Inherent	1	1	6		3				4	400	inherent-staff		40	40	sor	575	2	2			1	1		armo	weap											0	1024
Staff of Flame Wave	100	Fire	Short Staff	Inherent	1	1	12		6				4	400	inherent-staff		40	40	sor	576	2	2			1	1		armo	weap											0	1024
Staff of Blazing Spear	100	Fire	Short Staff	Inherent	1	1	18		9				4	400	inherent-staff		40	40	sor	577	2	2			1	1		armo	weap											0	1024
Staff of Fire Serpent	100	Fire	Short Staff	Inherent	1	1	24		12				4	400	inherent-staff		40	40	sor	578	2	2			1	1		armo	weap											0	1024
Staff of Devouring Flames	100	Fire	Short Staff	Inherent	1	1	30		15				4	400	inherent-staff		40	40	sor	579	2	2			1	1		armo	weap											0	1024
Staff of New Fire Mastery	100	Fire	Short Staff	Inherent	1	1	30		15				4	400	inherent-staff		40	40	sor	580	2	2			1	1		armo	weap											0	1024
Staff of Frost Bolt	100	Frost	Short Staff	Inherent	1	1	1		0				4	400	inherent-staff		40	40	sor	581	2	2			1	1		armo	weap											0	1024
Staff of Ice Armor	100	Frost	Short Staff	Inherent	1	1	6		3				4	400	inherent-staff		40	40	sor	582	2	2			1	1		armo	weap											0	1024
Staff of Frostbite	100	Frost	Short Staff	Inherent	1	1	6		3				4	400	inherent-staff		40	40	sor	583	2	2			1	1		armo	weap											0	1024
Staff of Ice Storm	100	Frost	Short Staff	Inherent	1	1	12		6				4	400	inherent-staff		40	40	sor	584	2	2			1	1		armo	weap											0	1024
Staff of Avalanche	100	Frost	Short Staff	Inherent	1	1	18		9				4	400	inherent-staff		40	40	sor	585	2	2			1	1		armo	weap											0	1024
Staff of Hoarfrost	100	Frost	Short Staff	Inherent	1	1	18		9				4	400	inherent-staff		40	40	sor	586	2	2			1	1		armo	weap											0	1024
Staff of Ice Nova	100	Frost	Short Staff	Inherent	1	1	24		12				4	400	inherent-staff		40	40	sor	587	2	2			1	1		armo	weap											0	1024
Staff of New Cold Mastery	100	Frost	Short Staff	Inherent	1	1	30		15				4	400	inherent-staff		40	40	sor	588	2	2			1	1		armo	weap											0	1024
Staff of Crackling Bolts	100	Shock	Short Staff	Inherent	1	1	1		0				4	400	inherent-staff		40	40	sor	589	2	2			1	1		armo	weap											0	1024
Staff of Arc Lightning	100	Shock	Short Staff	Inherent	1	1	6		3				4	400	inherent-staff		40	40	sor	590	2	2			1	1		armo	weap											0	1024
Staff of Electrocute	100	Shock	Short Staff	Inherent	1	1	12		6				4	400	inherent-staff		40	40	sor	591	2	2			1	1		armo	weap											0	1024
Staff of Wave of Force	100	Shock	Short Staff	Inherent	1	1	12		6				4	400	inherent-staff		40	40	sor	592	2	2			1	1		armo	weap											0	1024
Staff of Tempest	100	Shock	Short Staff	Inherent	1	1	18		9				4	400	inherent-staff		40	40	sor	593	2	2			1	1		armo	weap											0	1024
Staff of Chaos Nexus	100	Shock	Short Staff	Inherent	1	1	24		12				4	400	inherent-staff		40	40	sor	594	2	2			1	1		armo	weap											0	1024
Staff of Conduit	100	Shock	Short Staff	Inherent	1	1	24		12				4	400	inherent-staff		40	40	sor	595	2	2			1	1		armo	weap											0	1024
Staff of New Lightning Mastery	100	Shock	Short Staff	Inherent	1	1	30		15				4	400	inherent-staff		40	40	sor	596	2	2			1	1		armo	weap											0	1024
Staff of Flame Bolt	100	Fire	Long Staff	Inherent	1	1	1		0				4	401	inherent-staff		50	50	sor	573	1	3			1	2		armo	weap											0	1536
Staff of New Warmth	100	Fire	Long Staff	Inherent	1	1	1		0				4	401	inherent-staff		50	50	sor	574	1	3			1	2		armo	weap											0	1536
Staff of Incinerate	100	Fire	Long Staff	Inherent	1	1	6		3				4	401	inherent-staff		50	50	sor	575	1	3			1	2		armo	weap											0	1536
Staff of Flame Wave	100	Fire	Long Staff	Inherent	1	1	12		6				4	401	inherent-staff		50	50	sor	576	1	3			1	2		armo	weap											0	1536
Staff of Blazing Spear	100	Fire	Long Staff	Inherent	1	1	18		9				4	401	inherent-staff		50	50	sor	577	1	3			1	2		armo	weap											0	1536
Staff of Fire Serpent	100	Fire	Long Staff	Inherent	1	1	24		12				4	401	inherent-staff		50	50	sor	578	1	3			1	2		armo	weap											0	1536
Staff of Devouring Flames	100	Fire	Long Staff	Inherent	1	1	30		15				4	401	inherent-staff		50	50	sor	579	1	3			1	2		armo	weap											0	1536
Staff of New Fire Mastery	100	Fire	Long Staff	Inherent	1	1	30		15				4	401	inherent-staff		50	50	sor	580	1	3			1	2		armo	weap											0	1536
Staff of Frost Bolt	100	Frost	Long Staff	Inherent	1	1	1		0				4	401	inherent-staff		50	50	sor	581	1	3			1	2		armo	weap											0	1536
Staff of Ice Armor	100	Frost	Long Staff	Inherent	1	1	6		3				4	401	inherent-staff		50	50	sor	582	1	3			1	2		armo	weap											0	1536
Staff of Frostbite	100	Frost	Long Staff	Inherent	1	1	6		3				4	401	inherent-staff		50	50	sor	583	1	3			1	2		armo	weap											0	1536
Staff of Ice Storm	100	Frost	Long Staff	Inherent	1	1	12		6				4	401	inherent-staff		50	50	sor	584	1	3			1	2		armo	weap											0	1536
Staff of Avalanche	100	Frost	Long Staff	Inherent	1	1	18		9				4	401	inherent-staff		50	50	sor	585	1	3			1	2		armo	weap											0	1536
Staff of Hoarfrost	100	Frost	Long Staff	Inherent	1	1	18		9				4	401	inherent-staff		50	50	sor	586	1	3			1	2		armo	weap											0	1536
Staff of Ice Nova	100	Frost	Long Staff	Inherent	1	1	24		12				4	401	inherent-staff		50	50	sor	587	1	3			1	2		armo	weap											0	1536
Staff of New Cold Mastery	100	Frost	Long Staff	Inherent	1	1	30		15				4	401	inherent-staff		50	50	sor	588	1	3			1	2		armo	weap											0	1536
Staff of Crackling Bolts	100	Shock	Long Staff	Inherent	1	1	1		0				4	401	inherent-staff		50	50	sor	589	1	3			1	2		armo	weap											0	1536
Staff of Arc Lightning	100	Shock	Long Staff	Inherent	1	1	6		3				4	401	inherent-staff		50	50	sor	590	1	3			1	2		armo	weap											0	1536
Staff of Electrocute	100	Shock	Long Staff	Inherent	1	1	12		6				4	401	inherent-staff		50	50	sor	591	1	3			1	2		armo	weap											0	1536
Staff of Wave of Force	100	Shock	Long Staff	Inherent	1	1	12		6				4	401	inherent-staff		50	50	sor	592	1	3			1	2		armo	weap											0	1536
Staff of Tempest	100	Shock	Long Staff	Inherent	1	1	18		9				4	401	inherent-staff		50	50	sor	593	1	3			1	2		armo	weap											0	1536
Staff of Chaos Nexus	100	Shock	Long Staff	Inherent	1	1	24		12				4	401	inherent-staff		50	50	sor	594	1	3			1	2		armo	weap											0	1536
Staff of Conduit	100	Shock	Long Staff	Inherent	1	1	24		12				4	401	inherent-staff		50	50	sor	595	1	3			1	2		armo	weap											0	1536
Staff of New Lightning Mastery	100	Shock	Long Staff	Inherent	1	1	30		15				4	401	inherent-staff		50	50	sor	596	1	3			1	2		armo	weap											0	1536
Staff of Flame Bolt	100	Fire	Gnarled Staff	Inherent	1	1	1		0				4	402	inherent-staff		60	60	sor	573	1	4			1	3		armo	weap											0	1536
Staff of New Warmth	100	Fire	Gnarled Staff	Inherent	1	1	1		0				4	402	inherent-staff		60	60	sor	574	1	4			1	3		armo	weap											0	1536
Staff of Incinerate	100	Fire	Gnarled Staff	Inherent	1	1	6		3				4	402	inherent-staff		60	60	sor	575	1	4			1	3		armo	weap											0	1536
Staff of Flame Wave	100	Fire	Gnarled Staff	Inherent	1	1	12		6				4	402	inherent-staff		60	60	sor	576	1	4			1	3		armo	weap											0	1536
Staff of Blazing Spear	100	Fire	Gnarled Staff	Inherent	1	1	18		9				4	402	inherent-staff		60	60	sor	577	1	4			1	3		armo	weap											0	1536
Staff of Fire Serpent	100	Fire	Gnarled Staff	Inherent	1	1	24		12				4	402	inherent-staff		60	60	sor	578	1	4			1	3		armo	weap											0	1536
Staff of Devouring Flames	100	Fire	Gnarled Staff	Inherent	1	1	30		15				4	402	inherent-staff		60	60	sor	579	1	4			1	3		armo	weap											0	1536
Staff of New Fire Mastery	100	Fire	Gnarled Staff	Inherent	1	1	30		15				4	402	inherent-staff		60	60	sor	580	1	4			1	3		armo	weap											0	1536
Staff of Frost Bolt	100	Frost	Gnarled Staff	Inherent	1	1	1		0				4	402	inherent-staff		60	60	sor	581	1	4			1	3		armo	weap											0	1536
Staff of Ice Armor	100	Frost	Gnarled Staff	Inherent	1	1	6		3				4	402	inherent-staff		60	60	sor	582	1	4			1	3		armo	weap											0	1536
Staff of Frostbite	100	Frost	Gnarled Staff	Inherent	1	1	6		3				4	402	inherent-staff		60	60	sor	583	1	4			1	3		armo	weap											0	1536
Staff of Ice Storm	100	Frost	Gnarled Staff	Inherent	1	1	12		6				4	402	inherent-staff		60	60	sor	584	1	4			1	3		armo	weap											0	1536
Staff of Avalanche	100	Frost	Gnarled Staff	Inherent	1	1	18		9				4	402	inherent-staff		60	60	sor	585	1	4			1	3		armo	weap											0	1536
Staff of Hoarfrost	100	Frost	Gnarled Staff	Inherent	1	1	18		9				4	402	inherent-staff		60	60	sor	586	1	4			1	3		armo	weap											0	1536
Staff of Ice Nova	100	Frost	Gnarled Staff	Inherent	1	1	24		12				4	402	inherent-staff		60	60	sor	587	1	4			1	3		armo	weap											0	1536
Staff of New Cold Mastery	100	Frost	Gnarled Staff	Inherent	1	1	30		15				4	402	inherent-staff		60	60	sor	588	1	4			1	3		armo	weap											0	1536
Staff of Crackling Bolts	100	Shock	Gnarled Staff	Inherent	1	1	1		0				4	402	inherent-staff		60	60	sor	589	1	4			1	3		armo	weap											0	1536
Staff of Arc Lightning	100	Shock	Gnarled Staff	Inherent	1	1	6		3				4	402	inherent-staff		60	60	sor	590	1	4			1	3		armo	weap											0	1536
Staff of Electrocute	100	Shock	Gnarled Staff	Inherent	1	1	12		6				4	402	inherent-staff		60	60	sor	591	1	4			1	3		armo	weap											0	1536
Staff of Wave of Force	100	Shock	Gnarled Staff	Inherent	1	1	12		6				4	402	inherent-staff		60	60	sor	592	1	4			1	3		armo	weap											0	1536
Staff of Tempest	100	Shock	Gnarled Staff	Inherent	1	1	18		9				4	402	inherent-staff		60	60	sor	593	1	4			1	3		armo	weap											0	1536
Staff of Chaos Nexus	100	Shock	Gnarled Staff	Inherent	1	1	24		12				4	402	inherent-staff		60	60	sor	594	1	4			1	3		armo	weap											0	1536
Staff of Conduit	100	Shock	Gnarled Staff	Inherent	1	1	24		12				4	402	inherent-staff		60	60	sor	595	1	4			1	3		armo	weap											0	1536
Staff of New Lightning Mastery	100	Shock	Gnarled Staff	Inherent	1	1	30		15				4	402	inherent-staff		60	60	sor	596	1	4			1	3		armo	weap											0	1536
Staff of Flame Bolt	100	Fire	Gemmed Staff	Inherent	1	1	1		0				4	403	inherent-staff		70	70	sor	573	1	5			2	4		armo	weap											0	1536
Staff of New Warmth	100	Fire	Gemmed Staff	Inherent	1	1	1		0				4	403	inherent-staff		70	70	sor	574	1	5			2	4		armo	weap											0	1536
Staff of Incinerate	100	Fire	Gemmed Staff	Inherent	1	1	6		3				4	403	inherent-staff		70	70	sor	575	1	5			2	4		armo	weap											0	1536
Staff of Flame Wave	100	Fire	Gemmed Staff	Inherent	1	1	12		6				4	403	inherent-staff		70	70	sor	576	1	5			2	4		armo	weap											0	1536
Staff of Blazing Spear	100	Fire	Gemmed Staff	Inherent	1	1	18		9				4	403	inherent-staff		70	70	sor	577	1	5			2	4		armo	weap											0	1536
Staff of Fire Serpent	100	Fire	Gemmed Staff	Inherent	1	1	24		12				4	403	inherent-staff		70	70	sor	578	1	5			2	4		armo	weap											0	1536
Staff of Devouring Flames	100	Fire	Gemmed Staff	Inherent	1	1	30		15				4	403	inherent-staff		70	70	sor	579	1	5			2	4		armo	weap											0	1536
Staff of New Fire Mastery	100	Fire	Gemmed Staff	Inherent	1	1	30		15				4	403	inherent-staff		70	70	sor	580	1	5			2	4		armo	weap											0	1536
Staff of Frost Bolt	100	Frost	Gemmed Staff	Inherent	1	1	1		0				4	403	inherent-staff		70	70	sor	581	1	5			2	4		armo	weap											0	1536
Staff of Ice Armor	100	Frost	Gemmed Staff	Inherent	1	1	6		3				4	403	inherent-staff		70	70	sor	582	1	5			2	4		armo	weap											0	1536
Staff of Frostbite	100	Frost	Gemmed Staff	Inherent	1	1	6		3				4	403	inherent-staff		70	70	sor	583	1	5			2	4		armo	weap											0	1536
Staff of Ice Storm	100	Frost	Gemmed Staff	Inherent	1	1	12		6				4	403	inherent-staff		70	70	sor	584	1	5			2	4		armo	weap											0	1536
Staff of Avalanche	100	Frost	Gemmed Staff	Inherent	1	1	18		9				4	403	inherent-staff		70	70	sor	585	1	5			2	4		armo	weap											0	1536
Staff of Hoarfrost	100	Frost	Gemmed Staff	Inherent	1	1	18		9				4	403	inherent-staff		70	70	sor	586	1	5			2	4		armo	weap											0	1536
Staff of Ice Nova	100	Frost	Gemmed Staff	Inherent	1	1	24		12				4	403	inherent-staff		70	70	sor	587	1	5			2	4		armo	weap											0	1536
Staff of New Cold Mastery	100	Frost	Gemmed Staff	Inherent	1	1	30		15				4	403	inherent-staff		70	70	sor	588	1	5			2	4		armo	weap											0	1536
Staff of Crackling Bolts	100	Shock	Gemmed Staff	Inherent	1	1	1		0				4	403	inherent-staff		70	70	sor	589	1	5			2	4		armo	weap											0	1536
Staff of Arc Lightning	100	Shock	Gemmed Staff	Inherent	1	1	6		3				4	403	inherent-staff		70	70	sor	590	1	5			2	4		armo	weap											0	1536
Staff of Electrocute	100	Shock	Gemmed Staff	Inherent	1	1	12		6				4	403	inherent-staff		70	70	sor	591	1	5			2	4		armo	weap											0	1536
Staff of Wave of Force	100	Shock	Gemmed Staff	Inherent	1	1	12		6				4	403	inherent-staff		70	70	sor	592	1	5			2	4		armo	weap											0	1536
Staff of Tempest	100	Shock	Gemmed Staff	Inherent	1	1	18		9				4	403	inherent-staff		70	70	sor	593	1	5			2	4		armo	weap											0	1536
Staff of Chaos Nexus	100	Shock	Gemmed Staff	Inherent	1	1	24		12				4	403	inherent-staff		70	70	sor	594	1	5			2	4		armo	weap											0	1536
Staff of Conduit	100	Shock	Gemmed Staff	Inherent	1	1	24		12				4	403	inherent-staff		70	70	sor	595	1	5			2	4		armo	weap											0	1536
Staff of New Lightning Mastery	100	Shock	Gemmed Staff	Inherent	1	1	30		15				4	403	inherent-staff		70	70	sor	596	1	5			2	4		armo	weap											0	1536
Staff of Flame Bolt	100	Fire	Battle Staff	Inherent	1	1	1		0				4	404	inherent-staff		80	80	sor	573	1	6			2	5		armo	weap											0	1536
Staff of New Warmth	100	Fire	Battle Staff	Inherent	1	1	1		0				4	404	inherent-staff		80	80	sor	574	1	6			2	5		armo	weap											0	1536
Staff of Incinerate	100	Fire	Battle Staff	Inherent	1	1	6		3				4	404	inherent-staff		80	80	sor	575	1	6			2	5		armo	weap											0	1536
Staff of Flame Wave	100	Fire	Battle Staff	Inherent	1	1	12		6				4	404	inherent-staff		80	80	sor	576	1	6			2	5		armo	weap											0	1536
Staff of Blazing Spear	100	Fire	Battle Staff	Inherent	1	1	18		9				4	404	inherent-staff		80	80	sor	577	1	6			2	5		armo	weap											0	1536
Staff of Fire Serpent	100	Fire	Battle Staff	Inherent	1	1	24		12				4	404	inherent-staff		80	80	sor	578	1	6			2	5		armo	weap											0	1536
Staff of Devouring Flames	100	Fire	Battle Staff	Inherent	1	1	30		15				4	404	inherent-staff		80	80	sor	579	1	6			2	5		armo	weap											0	1536
Staff of New Fire Mastery	100	Fire	Battle Staff	Inherent	1	1	30		15				4	404	inherent-staff		80	80	sor	580	1	6			2	5		armo	weap											0	1536
Staff of Frost Bolt	100	Frost	Battle Staff	Inherent	1	1	1		0				4	404	inherent-staff		80	80	sor	581	1	6			2	5		armo	weap											0	1536
Staff of Ice Armor	100	Frost	Battle Staff	Inherent	1	1	6		3				4	404	inherent-staff		80	80	sor	582	1	6			2	5		armo	weap											0	1536
Staff of Frostbite	100	Frost	Battle Staff	Inherent	1	1	6		3				4	404	inherent-staff		80	80	sor	583	1	6			2	5		armo	weap											0	1536
Staff of Ice Storm	100	Frost	Battle Staff	Inherent	1	1	12		6				4	404	inherent-staff		80	80	sor	584	1	6			2	5		armo	weap											0	1536
Staff of Avalanche	100	Frost	Battle Staff	Inherent	1	1	18		9				4	404	inherent-staff		80	80	sor	585	1	6			2	5		armo	weap											0	1536
Staff of Hoarfrost	100	Frost	Battle Staff	Inherent	1	1	18		9				4	404	inherent-staff		80	80	sor	586	1	6			2	5		armo	weap											0	1536
Staff of Ice Nova	100	Frost	Battle Staff	Inherent	1	1	24		12				4	404	inherent-staff		80	80	sor	587	1	6			2	5		armo	weap											0	1536
Staff of New Cold Mastery	100	Frost	Battle Staff	Inherent	1	1	30		15				4	404	inherent-staff		80	80	sor	588	1	6			2	5		armo	weap											0	1536
Staff of Crackling Bolts	100	Shock	Battle Staff	Inherent	1	1	1		0				4	404	inherent-staff		80	80	sor	589	1	6			2	5		armo	weap											0	1536
Staff of Arc Lightning	100	Shock	Battle Staff	Inherent	1	1	6		3				4	404	inherent-staff		80	80	sor	590	1	6			2	5		armo	weap											0	1536
Staff of Electrocute	100	Shock	Battle Staff	Inherent	1	1	12		6				4	404	inherent-staff		80	80	sor	591	1	6			2	5		armo	weap											0	1536
Staff of Wave of Force	100	Shock	Battle Staff	Inherent	1	1	12		6				4	404	inherent-staff		80	80	sor	592	1	6			2	5		armo	weap											0	1536
Staff of Tempest	100	Shock	Battle Staff	Inherent	1	1	18		9				4	404	inherent-staff		80	80	sor	593	1	6			2	5		armo	weap											0	1536
Staff of Chaos Nexus	100	Shock	Battle Staff	Inherent	1	1	24		12				4	404	inherent-staff		80	80	sor	594	1	6			2	5		armo	weap											0	1536
