description	*Laz/Usage	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd30						useitem				summon-res%			3	3	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd31						useitem				summon-ac%			3	3	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd32						useitem				heal-kill			2	2	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd33						useitem				mana-kill			2	2	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd34						useitem				addxp			1	1	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd35						useitem				kick			2	2	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd36						useitem				pot-rate			5	5	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd37						useitem				att%			9	9	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd38						useitem				pierce			5	5	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd39						useitem				mana%			2	2	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd40						useitem				hp%			2	2	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 4 + Holy Symbol = reroll trophy	Trophy 4	1			0					2	rf4	sxg						rf4,uni																																																																																							0
Cube Jawbone + Any = remove socket fillers	Crafting Common	1			0					2	anyx,sock	cuu						useitem,rem																																																																																							0
Cube Horn + Any = randomize	Crafting Common	1			0					2	anyx	cu5						usetype			95																																																																																				0
Cube Tail + Any = randomize as different item	Crafting Common	1			0					2	anyx	cu6						anyx			95																																																																																				0
Cube Fang + ax1 = upgrade to ax2	Crafting Common	1			0					2	ax1	cu8						ax2,mod			100																																																																																				0
Cube Fang + ax2 = upgrade to ax3	Crafting Common	1			0					2	ax2	cu8						ax3,mod			100																																																																																				0
Cube Fang + ax3 = upgrade to ax4	Crafting Common	1			0					2	ax3	cu8						ax4,mod			100																																																																																				0
Cube Fang + ax4 = upgrade to ax5	Crafting Common	1			0					2	ax4	cu8						ax5,mod			100																																																																																				0
Cube Fang + at1 = upgrade to at2	Crafting Common	1			0					2	at1	cu8						at2,mod			100																																																																																				0
Cube Fang + at2 = upgrade to at3	Crafting Common	1			0					2	at2	cu8						at3,mod			100																																																																																				0
Cube Fang + at3 = upgrade to at4	Crafting Common	1			0					2	at3	cu8						at4,mod			100																																																																																				0
Cube Fang + at4 = upgrade to at5	Crafting Common	1			0					2	at4	cu8						at5,mod			100																																																																																				0
Cube Fang + sd1 = upgrade to sd2	Crafting Common	1			0					2	sd1	cu8						sd2,mod			100																																																																																				0
Cube Fang + sd2 = upgrade to sd3	Crafting Common	1			0					2	sd2	cu8						sd3,mod			100																																																																																				0
Cube Fang + sd3 = upgrade to sd4	Crafting Common	1			0					2	sd3	cu8						sd4,mod			100																																																																																				0
Cube Fang + sd4 = upgrade to sd5	Crafting Common	1			0					2	sd4	cu8						sd5,mod			100																																																																																				0
Cube Fang + sd5 = upgrade to sd6	Crafting Common	1			0					2	sd5	cu8						sd6,mod			100																																																																																				0
Cube Fang + sd6 = upgrade to sd7	Crafting Common	1			0					2	sd6	cu8						sd7,mod			100																																																																																				0
Cube Fang + ss1 = upgrade to ss2	Crafting Common	1			0					2	ss1	cu8						ss2,mod			100																																																																																				0
Cube Fang + st1 = upgrade to st2	Crafting Common	1			0					2	st1	cu8						st2,mod			100																																																																																				0
Cube Fang + st2 = upgrade to st3	Crafting Common	1			0					2	st2	cu8						st3,mod			100																																																																																				0
Cube Fang + st3 = upgrade to st4	Crafting Common	1			0					2	st3	cu8						st4,mod			100																																																																																				0
Cube Fang + st4 = upgrade to st5	Crafting Common	1			0					2	st4	cu8						st5,mod			100																																																																																				0
Cube Fang + st5 = upgrade to st6	Crafting Common	1			0					2	st5	cu8						st6,mod			100																																																																																				0
Cube Fang + cb1 = upgrade to cb2	Crafting Common	1			0					2	cb1	cu8						cb2,mod			100																																																																																				0
Cube Fang + cb2 = upgrade to cb3	Crafting Common	1			0					2	cb2	cu8						cb3,mod			100																																																																																				0
Cube Fang + cb3 = upgrade to cb4	Crafting Common	1			0					2	cb3	cu8						cb4,mod			100																																																																																				0
Cube Fang + mc1 = upgrade to mc2	Crafting Common	1			0					2	mc1	cu8						mc2,mod			100																																																																																				0
Cube Fang + mc2 = upgrade to mc3	Crafting Common	1			0					2	mc2	cu8						mc3,mod			100																																																																																				0
Cube Fang + mt1 = upgrade to mt2	Crafting Common	1			0					2	mt1	cu8						mt2,mod			100																																																																																				0
Cube Fang + mt2 = upgrade to mt3	Crafting Common	1			0					2	mt2	cu8						mt3,mod			100																																																																																				0
Cube Fang + mt3 = upgrade to mt4	Crafting Common	1			0					2	mt3	cu8						mt4,mod			100																																																																																				0
Cube Fang + sp1 = upgrade to sp2	Crafting Common	1			0					2	sp1	cu8						sp2,mod			100																																																																																				0
Cube Fang + sp2 = upgrade to sp3	Crafting Common	1			0					2	sp2	cu8						sp3,mod			100																																																																																				0
Cube Fang + sp3 = upgrade to sp4	Crafting Common	1			0					2	sp3	cu8						sp4,mod			100																																																																																				0
Cube Fang + sp4 = upgrade to sp5	Crafting Common	1			0					2	sp4	cu8						sp5,mod			100																																																																																				0
Cube Fang + po1 = upgrade to po2	Crafting Common	1			0					2	po1	cu8						po2,mod			100																																																																																				0
Cube Fang + po2 = upgrade to po3	Crafting Common	1			0					2	po2	cu8						po3,mod			100																																																																																				0
Cube Fang + po3 = upgrade to po4	Crafting Common	1			0					2	po3	cu8						po4,mod			100																																																																																				0
Cube Fang + sc1 = upgrade to sc2	Crafting Common	1			0					2	sc1	cu8						sc2,mod			100	inherent-scepter			10	10																																																																															0
Cube Fang + sc2 = upgrade to sc3	Crafting Common	1			0					2	sc2	cu8						sc3,mod			100	inherent-scepter			10	10																																																																															0
Cube Fang + wa1 = upgrade to wa2	Crafting Common	1			0					2	wa1	cu8						wa2,mod			100	inherent-wand			5	5																																																																															0
Cube Fang + wa2 = upgrade to wa3	Crafting Common	1			0					2	wa2	cu8						wa3,mod			100	inherent-wand			5	5																																																																															0
Cube Fang + wa3 = upgrade to wa4	Crafting Common	1			0					2	wa3	cu8						wa4,mod			100	inherent-wand			5	5																																																																															0
Cube Fang + wa4 = upgrade to wa5	Crafting Common	1			0					2	wa4	cu8						wa5,mod			100	inherent-wand			5	5																																																																															0
Cube Fang + wa5 = upgrade to wa6	Crafting Common	1			0					2	wa5	cu8						wa6,mod			100	inherent-wand			5	5																																																																															0
Cube Fang + wa6 = upgrade to wa7	Crafting Common	1			0					2	wa6	cu8						wa7,mod			100	inherent-wand			5	5																																																																															0
Cube Fang + sh1 = upgrade to sh2	Crafting Common	1			0					2	sh1	cu8						sh2,mod			100																																																																																				0
Cube Fang + sh2 = upgrade to sh3	Crafting Common	1			0					2	sh2	cu8						sh3,mod			100																																																																																				0
Cube Fang + kn1 = upgrade to kn2	Crafting Common	1			0					2	kn1	cu8						kn2,mod			100																																																																																				0
Cube Fang + kn2 = upgrade to kn3	Crafting Common	1			0					2	kn2	cu8						kn3,mod			100																																																																																				0
Cube Fang + kn3 = upgrade to kn4	Crafting Common	1			0					2	kn3	cu8						kn4,mod			100																																																																																				0
Cube Fang + kn4 = upgrade to kn5	Crafting Common	1			0					2	kn4	cu8						kn5,mod			100																																																																																				0
Cube Fang + ak1 = upgrade to ak2	Crafting Common	1			0					2	ak1	cu8						ak2,mod			100																																																																																				0
Cube Fang + ak2 = upgrade to ak3	Crafting Common	1			0					2	ak2	cu8						ak3,mod			100																																																																																				0
Cube Fang + bt1 = upgrade to bt2	Crafting Common	1			0					2	bt1	cu8						bt2,mod			100																																																																																				0
Cube Fang + sa1 = upgrade to sa2	Crafting Common	1			0					2	sa1	cu8						sa2,mod			100	inherent-staff			10	10																																																																															0
Cube Fang + sa2 = upgrade to sa3	Crafting Common	1			0					2	sa2	cu8						sa3,mod			100	inherent-staff			10	10																																																																															0
Cube Fang + sa3 = upgrade to sa4	Crafting Common	1			0					2	sa3	cu8						sa4,mod			100	inherent-staff			10	10																																																																															0
Cube Fang + sa4 = upgrade to sa5	Crafting Common	1			0					2	sa4	cu8						sa5,mod			100	inherent-staff			10	10																																																																															0
Cube Fang + sa5 = upgrade to sa6	Crafting Common	1			0					2	sa5	cu8						sa6,mod			100	inherent-staff			10	10																																																																															0
Cube Fang + sa6 = upgrade to sa7	Crafting Common	1			0					2	sa6	cu8						sa7,mod			100	inherent-staff			10	10																																																																															0
Cube Fang + bo1 = upgrade to bo2	Crafting Common	1			0					2	bo1	cu8						bo2,mod			100																																																																																				0
Cube Fang + bo2 = upgrade to bo3	Crafting Common	1			0					2	bo2	cu8						bo3,mod			100																																																																																				0
Cube Fang + bo3 = upgrade to bo4	Crafting Common	1			0					2	bo3	cu8						bo4,mod			100																																																																																				0
Cube Fang + bo4 = upgrade to bo5	Crafting Common	1			0					2	bo4	cu8						bo5,mod			100																																																																																				0
Cube Fang + bo5 = upgrade to bo6	Crafting Common	1			0					2	bo5	cu8						bo6,mod			100																																																																																				0
Cube Fang + bo6 = upgrade to bo7	Crafting Common	1			0					2	bo6	cu8						bo7,mod			100																																																																																				0
Cube Fang + bo7 = upgrade to bo8	Crafting Common	1			0					2	bo7	cu8						bo8,mod			100																																																																																				0
Cube Fang + oo1 = upgrade to oo2	Crafting Common	1			0					2	oo1	cu8						oo2,mod			100																																																																																				0
Cube Fang + oo2 = upgrade to oo3	Crafting Common	1			0					2	oo2	cu8						oo3,mod			100																																																																																				0
Cube Fang + oo3 = upgrade to oo4	Crafting Common	1			0					2	oo3	cu8						oo4,mod			100																																																																																				0
Cube Fang + ka1 = upgrade to ka2	Crafting Common	1			0					2	ka1	cu8						ka2,mod			100	inherent-claw			5	5																																																																															0
Cube Fang + ka2 = upgrade to ka3	Crafting Common	1			0					2	ka2	cu8						ka3,mod			100	inherent-claw			5	5																																																																															0
Cube Fang + ka3 = upgrade to ka4	Crafting Common	1			0					2	ka3	cu8						ka4,mod			100	inherent-claw			5	5																																																																															0
Cube Fang + ka4 = upgrade to ka5	Crafting Common	1			0					2	ka4	cu8						ka5,mod			100	inherent-claw			5	5																																																																															0
Cube Fang + ka5 = upgrade to ka6	Crafting Common	1			0					2	ka5	cu8						ka6,mod			100	inherent-claw			5	5																																																																															0
Cube Fang + or1 = upgrade to or2	Crafting Common	1			0					2	or1	cu8						or2,mod			100	inherent-orb			5	5																																																																															0
Cube Fang + or2 = upgrade to or3	Crafting Common	1			0					2	or2	cu8						or3,mod			100	inherent-orb			5	5																																																																															0
Cube Fang + or3 = upgrade to or4	Crafting Common	1			0					2	or3	cu8						or4,mod			100	inherent-orb			5	5																																																																															0
Cube Fang + or4 = upgrade to or5	Crafting Common	1			0					2	or4	cu8						or5,mod			100	inherent-orb			5	5																																																																															0
Cube Fang + ac1 = upgrade to ac2	Crafting Common	1			0					2	ac1	cu8						ac2,mod			100	inherent-abow			5	5																																																																															0
Cube Fang + ac2 = upgrade to ac3	Crafting Common	1			0					2	ac2	cu8						ac3,mod			100	inherent-abow			5	5																																																																															0
Cube Fang + aw1 = upgrade to aw2	Crafting Common	1			0					2	aw1	cu8						aw2,mod			100	inherent-aspe			5	5																																																																															0
