index	*ID	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	worldevent	*eol
Throatseeker		0	1		1		1	1	ax2	Axe		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Moonbender's Wing		0	1		1		1	1	ax3	Double Axe		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Feigen's Beak		0	1		1		1	1	ax4	Military Pick		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
		0	1		1		1	1	ax5	War Axe		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
		0	1		1		1	1	at1	Large Axe		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Elite Hacker		0	1		1		1	1	at2	Broad Axe 		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Skullhammer		0	1		1		1	1	at3	Battle Axe		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Norrec's Topor		0	1		1		1	1	at4	Great Axe		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
		0	1		1		1	1	at5	Giant Axe		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Pig Sticker		0	1		1		1	1	sd1	Short Sword		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Al Nath		0	1		1		1	1	sd2	Scimitar		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Saber of the Stormsail		0	1		1		1	1	sd3	Saber		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Bone Gasher		0	1		1		1	1	sd4	Falchion		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Sarandeshi Hellcaller		0	1		1		1	1	sd5	Broad Sword		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
		0	1		1		1	1	sd6	Long Sword 		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Aurumvorax		0	1		1		1	1	sd7	War Sword		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Starhawk		0	1		1		1	1	ss1	Crystal Sword		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
		0	1		1		1	1	ss2	Shard Blade		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Sultan of Blinding Sand		0	1		1		1	1	st1	Two-Handed Sword		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Blood Brother		0	1		1		1	1	st2	Claymore		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Qarak's Will		0	1		1		1	1	st3	Giant Sword		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Tylwulf's Betrayal		0	1		1		1	1	st4	Bastard Sword		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Doomswath		0	1		1		1	1	st5	Flamberge		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
The Dao of Xiansai		0	1		1		1	1	st6	Great Sword		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Branch of a Million Splinters		0	1		1		1	1	cb1	Club		0	0								372				automagic-werebeast	0	100	100	0	0	0	0	0	0	0	0	automagic-werebeast		100	100																														0
Brainsplatter		0	1		1		1	1	cb2	Barbed Club		0	0								372				automagic-werebeast	0	100	100	0	0	0	0	0	0	0	0	automagic-werebeast		100	100																														0
		0	1		1		1	1	cb3	Spiked Club		0	0								372				automagic-werebeast	0	100	100	0	0	0	0	0	0	0	0	automagic-werebeast		100	100																														0
The First Rule		0	1		1		1	1	cb4	Bone Club		0	0								372				automagic-werebeast	0	100	100	0	0	0	0	0	0	0	0	automagic-werebeast		100	100																														0
Koth's Lesson		0	1		1		1	1	mc1	Mace		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Bone Rattler		0	1		1		1	1	mc2	Morning Star		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Archon's Wrath		0	1		1		1	1	mc3	Flail		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Hammer of Ghrab Thaar		0	1		1		1	1	mt1	War Hammer		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Trollhammaren		0	1		1		1	1	mt2	Maul		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Chober Chaber		0	1		1		1	1	mt3	Giant Maul		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Siegehammer of Morgen Keep		0	1		1		1	1	mt4	Great Maul		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Void Seeker		0	1		1		1	1	sp1	Spear		0	0								365				dmg-mon%	4	50	50	automagic-human%	0	50	50	0	0	0	0	dmg-mon%	4	50	50	automagic-human%		50	50																										0
Staff of the Seawitch		0	1		1		1	1	sp2	Trident		0	0								365				dmg-mon%	4	50	50	automagic-human%	0	50	50	0	0	0	0	dmg-mon%	4	50	50	automagic-human%		50	50																										0
		0	1		1		1	1	sp3	Brandistock		0	0								365				dmg-mon%	4	50	50	automagic-human%	0	50	50	0	0	0	0	dmg-mon%	4	50	50	automagic-human%		50	50																										0
Spear of the Ascended		0	1		1		1	1	sp4	Spetum		0	0								365				dmg-mon%	4	50	50	automagic-human%	0	50	50	0	0	0	0	dmg-mon%	4	50	50	automagic-human%		50	50																										0
		0	1		1		1	1	sp5	Pike		0	0								365				dmg-mon%	4	50	50	automagic-human%	0	50	50	0	0	0	0	dmg-mon%	4	50	50	automagic-human%		50	50																										0
		0	1		1		1	1	po1	Bardiche		0	0								360				hit-skill-stance	424	100	1	dmg-stun	0	25	25	0	0	0	0	hit-skill-stance	424	100	1	dmg-stun		25	25																										0
Pledge of Caldeum		0	1		1		1	1	po2	Voulge		0	0								360				hit-skill-stance	424	100	1	dmg-stun	0	25	25	0	0	0	0	hit-skill-stance	424	100	1	dmg-stun		25	25																										0
		0	1		1		1	1	po3	Poleaxe		0	0								360				hit-skill-stance	424	100	1	dmg-stun	0	25	25	0	0	0	0	hit-skill-stance	424	100	1	dmg-stun		25	25																										0
Oathkeeper		0	1		1		1	1	po4	Halberd		0	0								360				hit-skill-stance	424	100	1	dmg-stun	0	25	25	0	0	0	0	hit-skill-stance	424	100	1	dmg-stun		25	25																										0
Moonscythe		0	1		1		1	1	sc1	Scythe		0	0								359				hit-skill-stance	15	5	1	0	0	0	0	0	0	0	0	hit-skill-stance	15	5	1																														0
Serpent Angel		0	1		1		1	1	sc2	Ornate Scythe		0	0								359				hit-skill-stance	15	5	1	0	0	0	0	0	0	0	0	hit-skill-stance	15	5	1																														0
Seven Heads of Tathamet		0	1		1		1	1	sc3	Bone Scythe		0	0								359				hit-skill-stance	15	5	1	0	0	0	0	0	0	0	0	hit-skill-stance	15	5	1																														0
Pagan's Geis		0	1		1		1	1	wa1	Wand		0	0								410				inherent-wand	0	10	10	skill	565	1	2	0	0	0	0	inherent-wand		10	10	skill	565	1	2																										0
Dragonspine		0	1		1		1	1	wa2	Gemmed Wand		0	0								411				inherent-wand	0	15	15	skill	565	1	3	0	0	0	0	inherent-wand		15	15	skill	565	1	3																										0
Compass of Souls		0	1		1		1	1	wa3	Yew Wand		0	0								412				inherent-wand	0	20	20	skill	565	1	4	0	0	0	0	inherent-wand		20	20	skill	565	1	4																										0
Na Krul's Spine		0	1		1		1	1	wa4	Bone Wand		0	0								413				inherent-wand	0	25	25	skill	565	1	5	0	0	0	0	inherent-wand		25	25	skill	565	1	5																										0
Varna's Poppet		0	1		1		1	1	wa5	Totemic Wand		0	0								414				inherent-wand	0	30	30	skill	565	1	6	0	0	0	0	inherent-wand		30	30	skill	565	1	6																										0
Wand of Woh		0	1		1		1	1	wa6	Grim Wand		0	0								415				inherent-wand	0	35	35	skill	565	1	7	0	0	0	0	inherent-wand		35	35	skill	565	1	7																										0
Deathstroke		0	1		1		1	1	wa7	Spirit Wand		0	0								416				inherent-wand	0	40	40	skill	565	1	8	0	0	0	0	inherent-wand		40	40	skill	565	1	8																										0
Scepter of Tremain		0	1		1		1	1	sh1	Scepter		0	0								430				inherent-scepter	0	10	10	skill	502	1	2	0	0	0	0	inherent-scepter		10	10	skill	502	1	2																										0
Faithshaker		0	1		1		1	1	sh2	Grand Scepter		0	0								431				inherent-scepter	0	20	20	skill	502	1	4	0	0	0	0	inherent-scepter		20	20	skill	502	1	4																										0
Dreamswayer		0	1		1		1	1	sh3	War Scepter		0	0								432				inherent-scepter	0	30	30	skill	502	1	6	0	0	0	0	inherent-scepter		30	30	skill	502	1	6																										0
Clawscratch		0	1		1		1	1	kn1	Dagger		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Helgrotha's Fang		0	1		1		1	1	kn2	Dirk		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Rhen'ho Flayer		0	1		1		1	1	kn3	Kris		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Starmetal Kukri		0	1		1		1	1	kn4	Blade		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Astrogha's Fang		0	1		1		1	1	kn5	Cinquedeas		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Meshif's Iron Parrot		0	1		1		1	1	ak1	Throwing Knife		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
		0	1		1		1	1	ak2	Balanced Knife		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
		0	1		1		1	1	ak3	Flying Knife		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Griefbringer		0	1		1		1	1	bt1	Throwing Axe		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
		0	1		1		1	1	bt2	Balanced Axe		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Vizjerei's Folly		0	1		1		1	1	sa1	Short Staff		0	0								400				inherent-staff	0	40	40	skill	573	1	2	0	0	0	0	inherent-staff		40	40	skill	573	1	2																										0
Xorine's Cane		0	1		1		1	1	sa2	Long Staff		0	0								401				inherent-staff	0	50	50	skill	573	1	3	0	0	0	0	inherent-staff		50	50	skill	573	1	3																										0
		0	1		1		1	1	sa3	Gnarled Staff		0	0								402				inherent-staff	0	60	60	skill	573	1	4	0	0	0	0	inherent-staff		60	60	skill	573	1	4																										0
Triumvirate		0	1		1		1	1	sa4	Gemmed Staff		0	0								403				inherent-staff	0	70	70	skill	573	1	5	0	0	0	0	inherent-staff		70	70	skill	573	1	5																										0
Black King Bar		0	1		1		1	1	sa5	Battle Staff		0	0								404				inherent-staff	0	80	80	skill	573	1	6	0	0	0	0	inherent-staff		80	80	skill	573	1	6																										0
Zular Khan's Tempest		0	1		1		1	1	sa6	War Staff		0	0								405				inherent-staff	0	90	90	skill	573	1	7	0	0	0	0	inherent-staff		90	90	skill	573	1	7																										0
Spire of Sarnakyle		0	1		1		1	1	sa7	Dragonbone Staff		0	0								406				inherent-staff	0	100	100	skill	573	1	8	0	0	0	0	inherent-staff		100	100	skill	573	1	8																										0
Sinewstring		0	1		1		1	1	bo1	Short Bow		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Deadly Hunter		0	1		1		1	1	bo2	Hunter's Bow		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Leonine Bow of Hashir		0	1		1		1	1	bo3	Long Bow		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Gjallarhorn		0	1		1		1	1	bo4	Composite Bow		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
		0	1		1		1	1	bo5	Short Battle Bow		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Harp of Vengeance		0	1		1		1	1	bo6	Long Battle Bow		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
		0	1		1		1	1	bo7	Short War Bow		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
		0	1		1		1	1	bo8	Long War Bow		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Al Hazir's Quillholder		0	1		1		1	1	oo1	Light Crossbow		0	0								370				automagic-str	4	0	0	0	0	0	0	0	0	0	0	automagic-str	4																																0
Boss Crow		0	1		1		1	1	oo2	Crossbow		0	0								370				automagic-str	4	0	0	0	0	0	0	0	0	0	0	automagic-str	4																																0
Bucking Bertha		0	1		1		1	1	oo3	Heavy Crossbow		0	0								370				automagic-str	4	0	0	0	0	0	0	0	0	0	0	automagic-str	4																																0
Hwanin's Hwacha		0	1		1		1	1	oo4	Repeating Crossbow		0	0								370				automagic-str	4	0	0	0	0	0	0	0	0	0	0	automagic-str	4																																0
Katar Hero		0	1		1		1	1	ka1	Katar		0	0								433				inherent-claw	0	15	15	0	0	0	0	0	0	0	0	inherent-claw		15	15																														0
		0	1		1		1	1	ka2	Hatchet Hands		0	0								434				inherent-claw	0	20	20	0	0	0	0	0	0	0	0	inherent-claw		20	20																														0
The Toecutter		0	1		1		1	1	ka3	Cestus		0	0								435				inherent-claw	0	25	25	0	0	0	0	0	0	0	0	inherent-claw		25	25																														0
		0	1		1		1	1	ka4	Blade Talons		0	0								436				inherent-claw	0	30	30	0	0	0	0	0	0	0	0	inherent-claw		30	30																														0
Circuit Breaker		0	1		1		1	1	ka5	Scissors Katar		0	0								437				inherent-claw	0	35	35	0	0	0	0	0	0	0	0	inherent-claw		35	35																														0
		0	1		1		1	1	ka6	Scissors Suwayyah		0	0								438				inherent-claw	0	40	40	0	0	0	0	0	0	0	0	inherent-claw		40	40																														0
Vision Globe		0	1		1		1	1	or1	Eagle Orb		0	0								420				inherent-orb	0	10	10	skill	533	1	2	0	0	0	0	inherent-orb		10	10	skill	533	1	2																										0
		0	1		1		1	1	or2	Crystal Orb		0	0								421				inherent-orb	0	15	15	skill	533	1	3	0	0	0	0	inherent-orb		15	15	skill	533	1	3																										0
Apocalypta		0	1		1		1	1	or3	Scrying Orb		0	0								422				inherent-orb	0	20	20	skill	533	1	4	0	0	0	0	inherent-orb		20	20	skill	533	1	4																										0
		0	1		1		1	1	or4	Scosglen Stone		0	0								423				inherent-orb	0	25	25	skill	533	1	5	0	0	0	0	inherent-orb		25	25	skill	533	1	5																										0
		0	1		1		1	1	or5	Wyvern's Eye		0	0								424				inherent-orb	0	30	30	skill	533	1	6	0	0	0	0	inherent-orb		30	30	skill	533	1	6																										0
Sky Sweeper		0	1		1		1	1	ac1	Stag Bow		0	0								480				inherent-abow	0	15	15	0	0	0	0	0	0	0	0	inherent-abow		15	15																														0
Horned Hunter		0	1		1		1	1	ac2	Reflex Bow		0	0								481				inherent-abow	0	20	20	0	0	0	0	0	0	0	0	inherent-abow		20	20																														0
		0	1		1		1	1	ac3	Dragonscale Bow		0	0								482				inherent-abow	0	25	25	0	0	0	0	0	0	0	0	inherent-abow		25	25																														0
		0	1		1		1	1	aw1	Maiden Spear		0	0								476				inherent-aspe	0	10	10	dmg-mon%	4	50	50	automagic-human%	0	50	50	inherent-aspe		10	10	dmg-mon%	4	50	50	automagic-human%		50	50																						0
Anessazi Dancer		0	1		1		1	1	aw2	Trishula		0	0								477				inherent-aspe	0	15	15	dmg-mon%	4	50	50	automagic-human%	0	50	50	inherent-aspe		15	15	dmg-mon%	4	50	50	automagic-human%		50	50																						0
		0	1		1		1	1	aw3	Maiden Pike		0	0								478				inherent-aspe	0	20	20	dmg-mon%	4	50	50	automagic-human%	0	50	50	inherent-aspe		20	20	dmg-mon%	4	50	50	automagic-human%		50	50																						0
		0	1		1		1	1	aw4	Corseque		0	0								479				inherent-aspe	0	25	25	dmg-mon%	4	50	50	automagic-human%	0	50	50	inherent-aspe		25	25	dmg-mon%	4	50	50	automagic-human%		50	50																						0
		0	1		1		1	1	by1	Tribal Axe		0	0								483				inherent-bmel	0	10	10	0	0	0	0	0	0	0	0	inherent-bmel		10	10																														0
		0	1		1		1	1	by2	Raiding Axe		0	0								485				inherent-bmel	0	20	20	0	0	0	0	0	0	0	0	inherent-bmel		30	30																														0
Dreadarc		0	1		1		1	1	by3	Sagaris		0	0								487				inherent-bmel	0	30	30	0	0	0	0	0	0	0	0	inherent-bmel		50	50																														0
Utar's Roar		0	1		1		1	1	ty1	Labrys		0	0								483				inherent-bmel	0	10	10	0	0	0	0	0	0	0	0	inherent-bmel		10	10																														0
Bergkaiser		0	1		1		1	1	ty2	Ceremonial Axe		0	0								485				inherent-bmel	0	20	20	0	0	0	0	0	0	0	0	inherent-bmel		30	30																														0
		0	1		1		1	1	ty3	Twin Beard Axe		0	0								487				inherent-bmel	0	30	30	0	0	0	0	0	0	0	0	inherent-bmel		50	50																														0
The Not Too Mighty Pen		0	1		1		1	1	cu1	Cutlass		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
		0	1		1		1	1	cu2	Shamshir		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
		0	1		1		1	1	cu3	Machete		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
		0	1		1		1	1	ps1	Katzbalger		0	0								362				dmg-demon	0	100	100	0	0	0	0	0	0	0	0	dmg-demon		100	100																														0
		0	1		1		1	1	ps2	Seax		0	0								362				dmg-demon	0	100	100	0	0	0	0	0	0	0	0	dmg-demon		100	100																														0
Kaskara of the Taan		0	1		1		1	1	bg1	Laminated Sword		0	0								483				inherent-bmel	0	10	10	0	0	0	0	0	0	0	0	inherent-bmel		10	10																														0
Skeld's Battlesong		0	1		1		1	1	bg2	Raiding Sword		0	0								484				inherent-bmel	0	15	15	0	0	0	0	0	0	0	0	inherent-bmel		20	20																														0
		0	1		1		1	1	bg3	Engraved Sword		0	0								485				inherent-bmel	0	20	20	0	0	0	0	0	0	0	0	inherent-bmel		30	30																														0
		0	1		1		1	1	bg4	Zweihander		0	0								486				inherent-bmel	0	25	25	0	0	0	0	0	0	0	0	inherent-bmel		40	40																														0
		0	1		1		1	1	bg5	Ceremonial Sword		0	0								487				inherent-bmel	0	30	30	0	0	0	0	0	0	0	0	inherent-bmel		50	50																														0
Mace of Contrition		0	1		1		1	1	pp1	Virge		0	0								361				dmg-undead	0	50	50	0	0	0	0	0	0	0	0	dmg-undead		50	50																														0
Hand of Naz		0	1		1		1	1	pp2	Goedendag		0	0								361				dmg-undead	0	50	50	0	0	0	0	0	0	0	0	dmg-undead		50	50																														0
		0			1		1	1	na1	Naginata		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Azgar's Mark		0	1		1		1	1	to1	Totemic Bow		0	0								458				inherent-dbow	0	-10	-10	0	0	0	0	0	0	0	0	inherent-dbow		-10	-10																														0
Salamander's Breath		0	1		1		1	1	to2	Siyah Bow		0	0								459				inherent-dbow	0	-15	-15	0	0	0	0	0	0	0	0	inherent-dbow		-15	-15																														0
Leathdhiabhala		0	1		1		1	1	to3	Recurve Bow		0	0								460				inherent-dbow	0	-20	-20	0	0	0	0	0	0	0	0	inherent-dbow		-20	-20																														0
		0	1		1		1	1	nx1	Templar Crossbow		0	0								371				automagic-str	4	0	0	0	0	0	0	0	0	0	0	automagic-str	4																																0
Thunder Machine		0	1		1		1	1	nx2	Arbalest		0	0								371				automagic-str	4	0	0	0	0	0	0	0	0	0	0	automagic-str	4																																0
Nymyr's Shadow		0	1		1		1	1	nx3	Wallarmbrust		0	0								371				automagic-str	4	0	0	0	0	0	0	0	0	0	0	automagic-str	4																																0
Manticore		0	1		1		1	1	nx4	Dragon Crossbow		0	0								371				automagic-str	4	0	0	0	0	0	0	0	0	0	0	automagic-str	4																																0
Thinking Cap		0	1		1		1	1	cc1	Cap		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Topspin		0	1		1		1	1	cc2	Skull Cap		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Thunderdome		0	1		1		1	1	cc3	Helm		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Helm of the Hierarch		0	1		1		1	1	cc4	Full Helm		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
Gotterdammerung		0	1		1		1	1	cc5	Great Helm		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
