Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	*Laz/BACH	*Laz/BACT	*Laz/BACD	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	*Laz/THH	*Laz/THT	*Laz/THD	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	*Laz/BDH	*Laz/BDT	*Laz/BDD	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	*Laz/BDH	*Laz/BDT	*Laz/BDD	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
23	49	58	66	49	58	66	98	115	132	78	119	160	78	119	160	155	237	319	358	480	725	358	480	725	292	390	586	21	24	26	21	24	26	21	24	26	399	1035	1553	399	1035	1553
24	51	60	68	51	60	68	102	119	136	82	123	164	82	123	164	164	246	328	386	509	754	386	509	754	315	413	609	22	25	27	22	25	27	22	25	27	439	1139	1709	439	1139	1709
25	53	62	70	53	62	70	106	123	140	87	128	169	87	128	169	173	255	337	415	538	783	415	538	783	338	436	632	23	26	28	23	26	28	23	26	28	470	1220	1830	470	1220	1830
26	55	64	72	55	64	72	110	127	144	92	133	174	92	133	174	183	265	347	444	566	811	444	566	811	361	459	655	24	26	29	24	26	29	24	26	29	503	1305	1958	503	1305	1958
27	57	66	74	57	66	74	114	131	148	97	138	179	97	138	179	193	275	357	483	605	850	483	605	850	392	490	686	25	27	30	25	27	30	25	27	30	538	1397	2096	538	1397	2096
28	59	68	76	59	68	76	118	135	152	102	143	184	102	143	184	203	285	367	520	643	888	520	643	888	422	520	716	26	28	31	26	28	31	26	28	31	576	1494	2241	576	1494	2241
29	61	70	78	61	70	78	122	139	156	107	148	189	107	148	189	213	295	377	559	681	926	559	681	926	453	551	747	27	29	32	27	29	32	27	29	32	616	1598	2397	616	1598	2397
30	63	72	80	63	72	80	126	143	160	112	153	194	112	153	194	224	306	388	595	718	963	595	718	963	482	580	776	27	30	33	27	30	33	27	30	33	659	1709	2564	659	1709	2564
31	65	74	82	65	74	82	130	147	164	118	159	200	118	159	200	235	317	399	633	755	1000	633	755	1000	512	610	806	28	31	34	28	31	34	28	31	34	706	1832	2748	706	1832	2748
32	68	76	84	68	76	84	135	152	168	123	164	205	123	164	205	246	328	410	683	805	1050	683	805	1050	552	650	846	29	32	35	29	32	35	29	32	35	755	1958	2937	755	1958	2937
33	70	78	86	70	78	86	139	156	172	129	170	211	129	170	211	257	339	421	731	854	1099	731	854	1099	591	689	885	30	33	36	30	33	36	30	33	36	808	2097	3146	808	2097	3146
34	72	80	88	72	80	88	143	160	176	135	176	217	135	176	217	269	351	433	779	901	1146	779	901	1146	629	727	923	31	34	36	31	34	36	31	34	36	864	2241	3362	864	2241	3362
35	74	82	90	74	82	90	147	164	180	141	182	223	141	182	223	281	363	445	826	949	1194	826	949	1194	667	765	961	32	35	37	32	35	37	32	35	37	925	2399	3599	925	2399	3599
36	76	84	92	76	84	92	151	168	184	147	188	229	147	188	229	293	375	457	874	996	1241	874	996	1241	705	803	999	33	36	38	33	36	38	33	36	38	990	2568	3852	990	2568	3852
37	78	86	94	78	86	94	155	172	188	153	194	235	153	194	235	306	388	470	936	1059	1304	936	1059	1304	755	853	1049	34	37	39	34	37	39	34	37	39	1059	2745	4118	1059	2745	4118
38	80	88	96	80	88	96	159	176	192	156	197	238	156	197	238	311	393	475	998	1120	1365	998	1120	1365	804	902	1098	35	37	40	35	37	40	35	37	40	1133	2939	4409	1133	2939	4409
39	82	90	98	82	90	98	163	180	196	159	200	241	159	200	241	317	399	481	1058	1180	1425	1058	1180	1425	852	950	1146	36	38	41	36	38	41	36	38	41	1212	3144	4716	1212	3144	4716
40	84	92	100	84	92	100	167	184	200	162	203	244	162	203	244	323	405	487	1118	1240	1485	1118	1240	1485	900	998	1194	37	39	42	37	39	42	37	39	42	1297	3365	5048	1297	3365	5048
41	86	94	103	86	94	103	172	188	205	165	206	247	165	206	247	329	411	493	1176	1299	1544	1176	1299	1544	947	1045	1241	38	40	43	38	40	43	38	40	43	1388	3600	5400	1388	3600	5400
42	88	96	105	88	96	105	176	192	209	168	209	250	168	209	250	335	417	499	1253	1375	1620	1253	1375	1620	1008	1106	1302	38	41	44	38	41	44	38	41	44	1485	3852	5778	1485	3852	5778
43	90	98	107	90	98	107	180	196	213	171	212	253	171	212	253	341	423	505	1328	1450	1695	1328	1450	1695	1068	1166	1362	39	42	45	39	42	45	39	42	45	1589	4121	6182	1589	4121	6182
44	92	100	109	92	100	109	184	200	217	174	215	256	174	215	256	347	429	511	1401	1524	1769	1401	1524	1769	1127	1225	1421	40	43	46	40	43	46	40	43	46	1693	4409	6614	1693	4409	6614
45	94	102	111	94	102	111	188	204	221	177	218	259	177	218	259	353	435	517	1475	1598	1843	1475	1598	1843	1186	1284	1480	41	44	47	41	44	47	41	44	47	1797	4718	7077	1797	4718	7077
46	96	104	113	96	104	113	192	208	225	180	221	262	180	221	262	359	441	523	1548	1670	1915	1548	1670	1915	1244	1342	1538	42	45	47	42	45	47	42	45	47	1901	5051	7577	1901	5051	7577
47	98	106	115	98	106	115	196	212	229	188	229	270	188	229	270	376	458	540	1640	1763	2008	1640	1763	2008	1318	1416	1612	43	46	48	43	46	48	43	46	48	2005	5402	8103	2005	5402	8103
48	100	108	117	100	108	117	200	216	233	194	235	276	194	235	276	387	469	551	1731	1854	2099	1731	1854	2099	1391	1489	1685	44	47	49	44	47	49	44	47	49	2109	5783	8675	2109	5783	8675
49	102	110	119	102	110	119	204	220	237	199	240	281	199	240	281	398	480	562	1821	1944	2189	1821	1944	2189	1463	1561	1757	45	48	50	45	48	50	45	48	50	2213	6186	9279	2213	6186	9279
50	104	113	121	104	113	121	208	225	242	205	246	287	205	246	287	409	491	573	1910	2033	2278	1910	2033	2278	1534	1632	1828	46	48	51	46	48	51	46	48	51	2317	6618	9927	2317	6618	9927
51	106	115	123	106	115	123	212	229	246	211	252	293	211	252	293	421	503	585	1998	2120	2365	1998	2120	2365	1604	1702	1898	47	49	52	47	49	52	47	49	52	2421	7080	10620	2421	7080	10620
52	108	117	125	108	117	125	216	233	250	216	257	298	216	257	298	432	514	596	2109	2231	2476	2109	2231	2476	1693	1791	1987	48	50	53	48	50	53	48	50	53	2525	7506	11259	2525	7506	11259
53	110	119	127	110	119	127	220	237	254	222	263	304	222	263	304	444	526	608	2219	2341	2586	2219	2341	2586	1781	1879	2075	49	51	54	49	51	54	49	51	54	2629	7956	11934	2629	7956	11934
54	112	121	129	112	121	129	224	241	258	228	269	310	228	269	310	456	538	620	2326	2449	2694	2326	2449	2694	1867	1965	2161	49	52	55	49	52	55	49	52	55	2733	8435	12653	2733	8435	12653
55	114	123	131	114	123	131	228	245	262	234	275	316	234	275	316	468	550	632	2433	2555	2800	2433	2555	2800	1952	2050	2246	50	53	56	50	53	56	50	53	56	2837	8942	13413	2837	8942	13413
56	116	125	133	116	125	133	232	249	266	240	281	322	240	281	322	480	562	644	2539	2661	2906	2539	2661	2906	2037	2135	2331	51	54	57	51	54	57	51	54	57	2941	9477	14216	2941	9477	14216
57	118	127	135	118	127	135	236	253	270	246	287	328	246	287	328	492	574	656	2670	2793	3038	2670	2793	3038	2142	2240	2436	52	55	58	52	55	58	52	55	58	3045	10044	15066	3045	10044	15066
58	120	129	137	120	129	137	240	257	274	253	294	335	253	294	335	505	587	669	2800	2923	3168	2800	2923	3168	2246	2344	2540	53	56	58	53	56	58	53	56	58	3149	10647	15971	3149	10647	15971
59	123	131	139	123	131	139	245	262	278	259	300	341	259	300	341	518	600	682	2929	3051	3296	2929	3051	3296	2349	2447	2643	54	57	59	54	57	59	54	57	59	3253	11286	16929	3253	11286	16929
60	125	133	141	125	133	141	249	266	282	266	307	348	266	307	348	531	613	695	3055	3178	3423	3055	3178	3423	2450	2548	2744	55	58	60	55	58	60	55	58	60	3357	11964	17946	3357	11964	17946
61	127	135	143	127	135	143	253	270	286	272	313	354	272	313	354	544	626	708	3180	3303	3548	3180	3303	3548	2550	2648	2844	56	59	61	56	59	61	56	59	61	3461	12680	19020	3461	12680	19020
62	129	137	145	129	137	145	257	274	290	279	320	361	279	320	361	557	639	721	3335	3458	3703	3335	3458	3703	2674	2772	2968	57	59	62	57	59	62	57	59	62	3565	13442	20163	3565	13442	20163
63	131	139	147	131	139	147	261	278	294	286	327	368	286	327	368	571	653	735	3486	3609	3854	3486	3609	3854	2795	2893	3089	58	60	63	58	60	63	58	60	63	3669	14249	21374	3669	14249	21374
64	133	141	149	133	141	149	265	282	298	292	333	374	292	333	374	584	666	748	3634	3756	4001	3634	3756	4001	2913	3011	3207	59	61	64	59	61	64	59	61	64	3773	15104	22656	3773	15104	22656
65	135	143	151	135	143	151	269	286	302	299	340	381	299	340	381	598	680	762	3779	3901	4146	3779	3901	4146	3029	3127	3323	60	62	65	60	62	65	60	62	65	3877	16010	24015	3877	16010	24015
66	137	145	153	137	145	153	273	290	306	306	347	388	306	347	388	612	694	776	3923	4045	4290	3923	4045	4290	3144	3242	3438	60	63	66	60	63	66	60	63	66	3981	16916	25374	3981	16916	25374
67	139	147	155	139	147	155	277	294	310	313	354	395	313	354	395	626	708	790	4099	4221	4466	4099	4221	4466	3285	3383	3579	61	64	67	61	64	67	61	64	67	4085	17822	26733	4085	17822	26733
68	141	149	158	141	149	158	282	298	315	321	362	403	321	362	403	641	723	805	4271	4394	4639	4271	4394	4639	3423	3521	3717	62	65	68	62	65	68	62	65	68	4189	18728	28092	4189	18728	28092
69	143	151	160	143	151	160	286	302	319	328	369	410	328	369	410	656	738	820	4441	4564	4809	4441	4564	4809	3559	3657	3853	63	66	69	63	66	69	63	66	69	4293	19634	29451	4293	19634	29451
70	145	153	162	145	153	162	290	306	323	335	376	417	335	376	417	670	752	834	4608	4730	4975	4608	4730	4975	3692	3790	3986	64	67	69	64	67	69	64	67	69	4397	20540	30810	4397	20540	30810
71	147	155	164	147	155	164	294	310	327	343	384	425	343	384	425	685	767	849	4773	4895	5140	4773	4895	5140	3824	3922	4118	65	68	70	65	68	70	65	68	70	4501	21446	32169	4501	21446	32169
72	149	157	166	149	157	166	298	314	331	351	392	433	351	392	433	701	783	865	4975	5098	5343	4975	5098	5343	3986	4084	4280	66	69	71	66	69	71	66	69	71	4605	22352	33528	4605	22352	33528
73	151	159	168	151	159	168	302	318	335	358	399	440	358	399	440	716	798	880	5173	5295	5540	5173	5295	5540	4144	4242	4438	67	70	72	67	70	72	67	70	72	4709	23258	34887	4709	23258	34887
74	153	161	170	153	161	170	306	322	339	366	407	448	366	407	448	732	814	896	5366	5489	5734	5366	5489	5734	4299	4397	4593	68	70	73	68	70	73	68	70	73	4813	24164	36246	4813	24164	36246
75	155	163	172	155	163	172	310	326	343	374	415	456	374	415	456	748	830	912	5558	5680	5925	5558	5680	5925	4452	4550	4746	69	71	74	69	71	74	69	71	74	4917	25070	37605	4917	25070	37605
76	157	165	174	157	165	174	314	330	347	382	423	464	382	423	464	764	846	928	5745	5868	6113	5745	5868	6113	4602	4700	4896	70	72	75	70	72	75	70	72	75	5021	25976	38964	5021	25976	38964
77	159	168	176	159	168	176	318	335	352	390	431	472	390	431	472	780	862	944	5976	6099	6344	5976	6099	6344	4787	4885	5081	71	73	76	71	73	76	71	73	76	5125	26882	40323	5125	26882	40323
78	161	170	178	161	170	178	322	339	356	399	440	481	399	440	481	797	879	961	6203	6325	6570	6203	6325	6570	4968	5066	5262	71	74	77	71	74	77	71	74	77	5229	27788	41682	5229	27788	41682
79	163	172	180	163	172	180	326	343	360	407	448	489	407	448	489	813	895	977	6424	6546	6791	6424	6546	6791	5145	5243	5439	72	75	78	72	75	78	72	75	78	5333	28694	43041	5333	28694	43041
80	165	174	182	165	174	182	330	347	364	415	456	497	415	456	497	830	912	994	6641	6764	7009	6641	6764	7009	5319	5417	5613	73	76	79	73	76	79	73	76	79	5437	29600	44400	5437	29600	44400
81	167	176	184	167	176	184	334	351	368	424	465	506	424	465	506	847	929	1011	6856	6979	7224	6856	6979	7224	5491	5589	5785	74	77	80	74	77	80	74	77	80	5541	30506	45759	5541	30506	45759
82	169	178	186	169	178	186	338	355	372	433	474	515	433	474	515	865	947	1029	7119	7241	7486	7119	7241	7486	5701	5799	5995	75	78	80	75	78	80	75	78	80	5645	31412	47118	5645	31412	47118
83	171	180	188	171	180	188	342	359	376	441	482	523	441	482	523	882	964	1046	7375	7498	7743	7375	7498	7743	5906	6004	6200	76	79	81	76	79	81	76	79	81	5749	32318	48477	5749	32318	48477
84	173	182	190	173	182	190	346	363	380	450	491	532	450	491	532	900	982	1064	7628	7750	7995	7628	7750	7995	6108	6206	6402	77	80	82	77	80	82	77	80	82	5853	33224	49836	5853	33224	49836
85	175	184	192	175	184	192	350	367	384	459	500	541	459	500	541	918	1000	1082	7875	7998	8243	7875	7998	8243	6306	6404	6600	78	81	83	78	81	83	78	81	83	5957	34130	51195	5957	34130	51195
86	178	186	194	178	186	194	355	372	388	468	509	550	468	509	550	936	1018	1100	8120	8243	8488	8120	8243	8488	6502	6600	6796	79	81	84	79	81	84	79	81	84	6061	35036	52554	6061	35036	52554
87	180	188	196	180	188	196	359	376	392	478	519	560	478	519	560	955	1037	1119	8416	8539	8784	8416	8539	8784	6739	6837	7033	80	82	85	80	82	85	80	82	85	6165	35942	53913	6165	35942	53913
88	182	190	198	182	190	198	363	380	396	487	528	569	487	528	569	973	1055	1137	8708	8830	9075	8708	8830	9075	6972	7070	7266	81	83	86	81	83	86	81	83	86	6269	36848	55272	6269	36848	55272
89	184	192	200	184	192	200	367	384	400	496	537	578	496	537	578	992	1074	1156	8993	9115	9360	8993	9115	9360	7200	7298	7494	82	84	87	82	84	87	82	84	87	6373	37754	56631	6373	37754	56631
90	186	194	202	186	194	202	371	388	404	506	547	588	506	547	588	1011	1093	1175	9274	9396	9641	9274	9396	9641	7425	7523	7719	82	85	88	82	85	88	82	85	88	6477	38660	57990	6477	38660	57990
91	188	196	204	188	196	204	375	392	408	516	557	598	516	557	598	1031	1113	1195	9551	9674	9919	9551	9674	9919	7647	7745	7941	83	86	89	83	86	89	83	86	89	6581	39566	59349	6581	39566	59349
92	190	198	206	190	198	206	379	396	412	525	566	607	525	566	607	1050	1132	1214	9886	10009	10254	9886	10009	10254	7915	8013	8209	84	87	90	84	87	90	84	87	90	6685	40472	60708	6685	40472	60708
93	192	200	208	192	200	208	383	400	416	535	576	617	535	576	617	1070	1152	1234	10215	10338	10583	10215	10338	10583	8178	8276	8472	85	88	91	85	88	91	85	88	91	6789	41378	62067	6789	41378	62067
94	194	202	210	194	202	210	387	404	420	545	586	627	545	586	627	1090	1172	1254	10536	10659	10904	10536	10659	10904	8435	8533	8729	86	89	91	86	89	91	86	89	91	6893	42284	63426	6893	42284	63426
95	196	204	213	196	204	213	392	408	425	556	597	638	556	597	638	1111	1193	1275	10853	10975	11220	10853	10975	11220	8688	8786	8982	87	90	92	87	90	92	87	90	92	6997	43190	64785	6997	43190	64785
96	198	206	215	198	206	215	396	412	429	566	607	648	566	607	648	1131	1213	1295	11165	11288	11533	11165	11288	11533	8938	9036	9232	88	91	93	88	91	93	88	91	93	7101	44096	66144	7101	44096	66144
97	200	208	217	200	208	217	400	416	433	576	617	658	576	617	658	1152	1234	1316	11543	11665	11910	11543	11665	11910	9240	9338	9534	89	92	94	89	92	94	89	92	94	7205	45002	67503	7205	45002	67503
98	202	210	219	202	210	219	404	420	437	587	628	669	587	628	669	1173	1255	1337	11911	12034	12279	11911	12034	12279	9535	9633	9829	90	92	95	90	92	95	90	92	95	7309	45908	68862	7309	45908	68862
99	204	212	221	204	212	221	408	424	441	597	638	679	597	638	679	1194	1276	1358	12273	12395	12640	12273	12395	12640	9824	9922	10118	91	93	96	91	93	96	91	93	96	7413	46814	70221	7413	46814	70221
100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
102	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
103	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
104	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
105	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
106	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
108	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
109	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
110	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
