skill	*Id	*Laz2	*Laz/Level	*Laz	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Vengeance	111					vengeance	35	2																																																																																																										1	3		h2h		mele										A1	A1	xx				1		1	1								1		1												18	20					Zeal									1	1					1	6	16	1	1											ln12+skill('Resist Fire'.blvl)*par8+skill('Salvation'.blvl)*par7	Fire Damage %	ln12+skill('Resist Cold'.blvl)*par8+skill('Salvation'.blvl)*par7	Cold Damage %	ln12+skill('Resist Lightning'.blvl)*par8+skill('Salvation'.blvl)*par7	Lightning Damage %							70	Damage % baseline	6	Damage % per level									2	Damage synergy	10	Damage synergy									1	20	10						8	128														cold														30	15	15	15				640	16000	0
Blessed Hammer	112					blessed hammer		73													blessedhammer																																																												paladin_holybolt_cast															35						blessedhammer												1	2		none												SC	SC	xx																	1			1						paladin_holybolt_cast			18	20					Holy Bolt									1	1					1	6	20	1	1											par1	Damage % from Concentration (in 8ths)											4	Damage % from Concentration (in 8ths)													14	Damage synergy									1								8															mag	12	8	10	12	13	14	16	8	10	12	13	14	(skill('Vigor'.blvl)+skill('Blessed Aim'.blvl))*par8								640	16000	0
Concentration	113					concentration		65																		73731	concentration	concentration		ln12	damagepercent	ln34	skill_concentration	par5																																																																															1	1	6		none														xx																													18	20					Blessed Aim									0	1					0	8	0	0	1	1	1		50																			16	Radius baseline	2	Radius per level	60	Damage % baseline	15	Damage % per level	20	% chance for uninterruptible attack															1								8																																				640	16000	0
Holy Freeze	114	stats changed				holy freeze		81																		303747	holywind	holywindcold		ln12	velocitypercent	0	attackrate	0	other_animrate	0																																																																														1	8		none														xx																													18	20					Holy Fire									0	1					0	8	0	0	1	1	1		50																			6	radius base	1	radius per level	25	Slow % Min	60	Slow % Max	5	Damage multiplier added to Attacks	100	Area Damage % Range Scaling (from 100% to 100+X% damage, based on how close the enemy position is to the caster)	7	Damage synergy	15	Damage synergy									1				16385				8															cold	2	1	2	2	2	2	4	2	4	4	4	4									640	16000	0
Vigor	115					vigor		65																		73731	stamina	stamina		ln12	staminarecoverybonus	ln34	skill_staminapercent	ln34	velocitypercent	dm56																																																																													1	1	1		none														xx																													18	20					Cleansing	Defiance								0	1					0	8	0	0	1	1	1		50																			16	Radius baseline	3	Radius per level	50	Stamina % baseline	25	Stamina % per level	7	Velocity % Min	50	Velocity % Max													1								8																																				640	16000	0
Conversion	116					conversion	32	79																				conversion	ln12																																																																																					1	0		h2h		mele										A1	A1	xx				1		1	1								1														24	20					Vengeance									1	1					1	8	4	0	1											dm34	% chance to convert	0	Flat Damage	0	Attack Speed %	0	% Damage Dealt as Elemental (Used only if there is an Etype)					400	Duration baseline	0	Duration per level	0	% chance to convert Min	90	% chance to convert Max	0	Use sumskill1 on convert expire? (0 = Off | 1 = On) (If 1, then it needs to have ItemEffect=1)															1								8	128																																			768	32000	0
Holy Shield	117					holy shield	36	18																			holyshield		ln12		toblock	dm56		ln34+skill('Defiance'.blvl)*par8																																															paladin_holyshield																																	1	3		none		shld										SC	SC	xx															1														24	20					Charge	Blessed Hammer								0	1					1	8	35	0	1	1										ln34+skill('Defiance'.blvl)*par8	Armor %											750	Duration baseline	625	Duration per level	25	Armor % baseline	15	Armor % per level	10	Block % chance Min	40	Black % chance Max			15	Armor synergy									1								8		3	2	3	4	4	4	6	2	3	4	4	4																							768	32000	0
Holy Shock	118	stats changed				holy shock		66																		42883	holyshock			ln12																																																																																				1	4		none														xx																													24	20					Holy Freeze									0	1					0	8	0	0	1	1	1		50																			6	radius base	1	radius per level					6	Damage multiplier added to Attacks	100	Area Damage % Range Scaling (from 100% to 100+X% damage, based on how close the enemy position is to the caster)	4	Damage synergy	12	Damage synergy									1				16385				8															ltng	1						6	3	6	6	6	6									768	32000	0
Sanctuary	119					sanctuary		66																		59270	sanctuary			ln12																						item_undeaddamage_percent	ln34	item_undead_tohit	ln56	skill_bypass_undead	1																																			cast_undead										sanctuarybolt												1	0		none														xx																				1									24	20					Thorns	Holy Freeze								0	1					1	8	1	0	1	1	1		50																			5	Radius baseline	1	Radius per level	150	Damage to Undead % baseline	30	Damage to Undead % per level	100	Attack Rating to Undead baseline	50	Attack Rating to Undead per level	100	Area Damage % Range Scaling (from 100% to 100+X% damage, based on how close the enemy position is to the caster)	7	Damage synergy									1				11		157		8															mag	8	4	4	5	5	6	16	4	5	6	6	7	skill('Cleansing'.blvl)*par8								768	32000	0
Meditation	120					meditation		65																		73729	meditation	meditation		ln12	manarecoverybonus	ln34	hitpoints	skill('Prayer'.edns)																																																																																1	7		none														xx																													24	20					Cleansing									0	1					0	8	0	0	1	1	1		50																			16	Radius baseline	2	Radius per level	300	Mana Recovery % baseline	25	Mana Recovery % per level																	1								8																																				768	32000	0
Fist of the Heavens	121					fist of the heavens		80													fistoftheheavensdelay				handofgod	42371				20																																																			paladin_handofgod_cast															36						fistoftheheavensdelay												1	7		none												SC	SC	xx					4	1		1									1			1			4						30	20					Blessed Hammer	Conversion						10		1	1					1	8	25	0	1											ln34	Heal Min value	ln56	Heal Max value			ln12	# of Holy Bolt missiles created					6	# of Holy Bolt Missiles created baseline	1	# of Holy Bolt Missiles created per level	1	Min HP Healed baseline	2	Min HP Healed per level	6	Max HP Healed baseline	2	Max HP Healed per level			7	Damage synergy									1								8															ltng	150	15	30	45	55	65	200	15	30	45	55	65	skill('Holy Shock'.blvl)*par8								896	64000	0
Fanaticism	122	stats changed				fanaticism		65																		73731	fanaticism	fanaticism		ln12	attackrate	dm34	damagepercent	dm34																		damagepercent	ln56																																																												1	1	8		none														S1																													30	20					Concentration									0	1					0	8	0	0	1	1	1		50																			16	radius base	2	radius per level	3	stats % min	53	stats % max	50	Damage % baseline	17	Damage % per level													1	40	5						8																																				896	64000	0
Conviction	123	stats changed				conviction		66																		42371	conviction	conviction		ln12	fireresist	(-1)*dm34	coldresist	(-1)*dm34	lightresist	(-1)*dm34	poisonresist	(-1)*dm34																																																																												1	6		none														xx	5		1																										30	20					Sanctuary									0	1					0	8	0	0	1	1	1		50																			16	radius base	2	radius per level	0	resistance % reduction min	100	resistance % reduction max																	1								8																																				896	64000	0
Redemption	124					redemption		82																		4354	redemption			ln12																																																																								redemption												1	0		none														xx																													30	20					Vigor									0	1					0	8	0	0	1	1	1		50							dm34	% chance to redeem	ln56	HP gained	ln56	Mana gained							16	Radius baseline	0	Radius per level	10	% chance to redeem Min	100	% chance to redeem Max	25	HP and Mana gained baseline	5	HP and Mana gained per level													1								8																																				896	64000	0
Salvation	125					salvation		65																		73731	resistall	resistall		ln12	fireresist	dm34	coldresist	dm34	lightresist	dm34																																																																													1	1	8		none														xx																													30	20														0	1					0	8	0	0	1	1	1		50																			16	Radius baseline	2	Radius per level	50	Resistance % Min	120	Resistance % Max																	1								8																																				896	64000	0
Bash	126					bash	32	2																																																																										barbarian_grunt_small_1	1																															1	7		h2h		mele										A1	A1	xx				1		1	1								1		1												1	20														1	1					1	8	2	0	1											ln12+skill('Stun'.blvl)*par8	Damage %	ln34	Flat Damage	0	Attack Speed %	0	% Damage Dealt as Elemental (Used only if there is an Etype)					50	Damage % baseline	5	Damage % per level	1	Flat Damage baseline	1	Flat Damage per level					5	Attack Rating synergy	5	Damage synergy									1			15+lvl*5+skill('Concentrate'.blvl)*par7	8		112		8	128																																			256	1000	0
Blade Mastery	127					blade mastery																																											blademastery	blde		passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																									1	0		none												SC	SC	xx				1																									1	20														0	0					0	8	0	0	1		1						1															40	Attack Rating % baseline	8	Attack Rating % per level	28	Damage % baseline	5	Damage % per level	0	% chance for Critical Hit Min	35	% chance for Critical Hit Max													1								8																																				256	1000	0
Axe Mastery	128					axe mastery																																											axemastery	axe		passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																									1	0		none												SC	SC	xx				1																									1	20														0	0					0	8	0	0	1		1						1															40	Attack Rating % baseline	8	Attack Rating % per level	28	Damage % baseline	5	Damage % per level	0	% chance for Critical Hit Min	35	% chance for Critical Hit Max													1								8																																				256	1000	0
Mace Mastery	129					mace mastery																																											macemastery	blun		passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																									1	0		none												SC	SC	xx				1																									1	20														0	0					0	8	0	0	1		1						1															40	Attack Rating % baseline	8	Attack Rating % per level	28	Damage % baseline	5	Damage % per level	0	% chance for Critical Hit Min	35	% chance for Critical Hit Max													1								8																																				256	1000	0
Howl	130					howl		22													howl							terror																																																						barbarian_howl_1														25						howl				ln12-par1	Missile Velocity Adder							1	0		none												SC	SC	xx				1																1									1	20														0	1					1	8	4	0	1											ln12-par1	Missile Velocity Adder	ln34	Monster Fear Distance To Run	ln56	Monster Fear Duration							12	Missile Velocity baseline (Should match howl Missile Vel value, used for negation)	2	Missile Velocity per level	24	Monster Fear Distance To Run baseline	5	Monster Fear Distance To Run per level	75	Monster Fear Duration baseline	25	Monster Fear Duration per level													1								8																																				256	1000	0
Find Potion	131					find potion	33	69																																																																								1		barbarian_findobject_1							barbarian_findheart_1						26	38																		1	0		h2h												SC	SC	xx				1				1		4	1																		1	20														0	1					1	8	2	0	1											dm12	% chance to find any potion											0	% chance to find any potion Min	100	% chance to find any potion Max	30	% chance to find Mana potion	10	% chance to find Rejuvenation potion																	1								8																																				256	3000	0
Leap	132					leap	40	77													leapknockback									dm12																																																		1		barbarian_leap_1													29	43																		1	0		none												SQ	A1	xx	13		1		4																								6	20														1	1					1	8	2	0	1											ln34	Knockback Radius	par7	Leap Speed %									8	Range Min	30	Range Max	4	Knockback Radius baseline	1	Knockback Radius per level	8	Minimum Airborn Frames			175	Leap Speed %											1								8																																				384	3000	0
Double Swing	133					double swing	68	70																																																																																							27	39										par5	Attack Speed %							1	5		h2h	3	mele					mele					SQ	A1	xx	11		1	1		1	1								1		1												6	20					Bash									1	1					0	5	8	-1	1											skill('Bash'.blvl)*par8	Damage %	0	Flat Damage	par5	Attack Speed %							50	Attack rate bonus							50	Attack Speed %					10	Damage synergy									1	15	5						8	128																																			384	3000	0
Pole Arm Mastery	134					pole arm mastery																																											polearmmastery	pole		passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																									1	0		none												SC	SC	xx				1																									6	20														0	0					0	8	0	0	1								1															44	Attack Rating % baseline	8	Attack Rating % per level	28	Damage % baseline	5	Damage % per level	0	% chance for Critical Hit Min	35	% chance for Critical Hit Max													1								8																																				384	3000	0
Throwing Mastery	135					throwing mastery																																											throwingmastery	thro		passive_mastery_throw_th	ln12	passive_mastery_throw_dmg	ln34	passive_mastery_throw_crit	dm56	skill_pierce	dm78	passive_mastery_noconsume	dm91	passive_mastery_replenish_oncrit	pa11																																																			1	0		none												SC	SC	xx				1																									6	20														0	0					0	8	0	0	1								1															44	Attack Rating % baseline	8	Attack Rating % per level	28	Damage % baseline	5	Damage % per level	0	% chance for Critical Hit Min	35	% chance for Critical Hit Max	0	% chance to Pierce Min	55	% chance to Pierce Max	0	% chance for No Consume Min	66	% chance for No Consume Max	1	Replenish Quantity on crit? (0=disabled, 1=enabled)			1								8																																				384	3000	0
Spear Mastery	136					spear mastery																																											spearmastery	spea		passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																									1	0		none												SC	SC	xx				1																									6	20														0	0					0	8	0	0	1								1															44	Attack Rating % baseline	8	Attack Rating % per level	28	Damage % baseline	5	Damage % per level	0	% chance for Critical Hit Min	35	% chance for Critical Hit Max													1								8																																				384	3000	0
Taunt	137					taunt		71																		34179		taunt			item_tohit_percent	ln12	damagepercent	ln34																																																barbarian_taunt_1																																1	0		none												SC	SC	S1				1				1												1									6	20					Howl									0	1					1	8	3	0	1																							-5	Monster Attack Rating % baseline	-2	Monster Attack Rating % per level	-5	Monster Damage % baseline	-2	Monster Damage % per level																	1								8																																		2		384	3000	0
Shout	138					shout		68													shout						shout	shout	ln34+(skill('Battle Orders'.blvl)+skill('Battle Command'.blvl))*par8		skill_armor_percent	ln12																																																		barbarian_shout_1														25						shout				0	Missile Velocity Adder							1	8		none												SC	SC	SC				1																									6	20					Howl									0	1					1	8	6	0	1																							100	Armor % baseline	10	Armor % per level	750	Duration baseline	250	Duration per level							125	Duration synergy									1								8																																				384	3000	0
Stun	139					stun	32	2																																																																										barbarian_grunt_small_1	1																															1	0		h2h		mele										A1	A1	xx				1		1	1								1		1			1									12	20					Bash									1	1					1	8	2	0	1											skill('Bash'.blvl)*par8	Damage %	0	Flat Damage	0	Attack Speed %	0	% Damage Dealt as Elemental (Used only if there is an Etype)					30	Stun Length baseline	5	Stun Length per level							5	Duration synergy	5	Attack Rating synergy	8	Damage synergy									1			10+lvl*5+skill('Concentrate'.blvl)*par7			96		8	128														stun														30	5	5	2	skill('War Cry'.blvl)*par6			512	8000	0
Double Throw	140					double throw		74																																																																																							11	42																		1	5		rng	3	thro					thro					SQ	A1	xx	15		1	1													1												12	20					Double Swing									1	1					1	8	1	0	1											ln12+skill('Double Swing'.blvl)*par8	Damage %											16	Damage % baseline	8	Damage % per level											8	Damage synergy									1	20	10						8	128																																			512	8000	0
Increased Stamina	141					increased stamina																																											increasedstamina			skill_passive_staminapercent	ln12																																																													1	0		none												SC	SC	xx				1																									12	20														0	0					0	8	0	0	1								1															30	Stamina % baseline	15	Stamina % per level																					1								8																																				512	8000	0
Find Item	142					find item	34	72																																																																								1		barbarian_findobject_1			barbarian_findheart_1										28	40																		1	0		h2h												SC	SC	xx				1				1		5	1																		12	20					Find Potion									0	1					1	8	7	0	1											dm12+skill('Find Potion'.blvl)*par8	% chance to find any item											5	% chance to find any item Min	60	% chance to find any item Max	30	% chance for high quality item	5	% chance for magic item							1	% chance synergy									1								8																																				512	8000	0
Leap Attack	143					leap attack	41	78													leapattack				bash																																																							1		barbarian_leapattack_1													30	44						leapattack												1	6		none		mele										SQ	A1	xx	14		1		4	1											1												18	20					Leap									1	1					1	8	10	0	1											ln34+skill('Leap'.blvl)*par8	Damage %	par7	Leap Speed %			0	% Damage Dealt as Elemental									200	Damage % baseline	30	Damage % per level	12	Minimum Airborn Frames			175	Leap Speed %	10	Damage synergy									1	100	20						8	128	10	4	8	12	16	20	20	8	16	24	32	40	skill('Leap'.blvl)*par8																						640	16000	0
Concentrate	144					concentrate	32	2																	doubledamage1		concentrate				skill_armor_percent	ln34																																																		barbarian_grunt_small_1	1																															1	0		h2h		mele										A1	A1	xx				1		1	1								1		1												18	20					Stun									1	1					1	8	2	0												ln12+skill('Bash'.blvl)*par8+skill('Battle Orders'.blvl)*par7	Damage %	0	Flat Damage	0	Attack Speed %	skill('Berserk'.blvl)	% Damage Dealt as Elemental (Used only if there is an Etype)					70	Damage % baseline	5	Damage % per level	100	Armor % baseline	10	Armor % per level					10	Damage synergy	5	Damage synergy									1	60	10						8	128														mag																					640	16000	0
Iron Skin	145					iron skin																																											ironskin			skill_armor_percent	ln12																																																													1	0		none												SC	SC	xx				1																									18	20														0	0					0	8	0	0	1								1															30	Armor % baseline	10	Armor % per level																					1								8																																				640	16000	0
Battle Cry	146					battle cry		68													battlecry					98304		battlecry	ln12		skill_armor_percent	ln34	damagepercent	ln56																																																barbarian_battlecry_1														25						battlecry				0	Missile Velocity Adder							1	9		none												SC	SC	xx				1																									18	20					Taunt									0	1					1	8	5	0	1																							300	Duration baseline	60	Duration per level	-50	Enemy Armor % baseline	-2	Enemy Armor % per level	-25	Enemy Damage % baseline	-1	Enemy Damage % per level													1								8																																				640	16000	0
Frenzy	147					frenzy	67	9																			frenzy		par7+skill('Increased Stamina'.blvl)*10		velocitypercent	dm34	attackrate	dm56																																																														39																		1	3		h2h	3	mele					mele					SQ	A1	xx	11			1		1	1								1		1												24	20					Double Throw									1	1					1	7	3	0												ln12+(skill('Double Swing'.blvl) + skill('Taunt'.blvl))*par8	Damage %					skill('Berserk'.blvl)	% Damage Dealt as Elemental (Used only if there is an Etype)					90	Damage % base	5	Damage % per level	20	Velocity % Min	200	Velocity % Max	0	Attack Speed % Min	50	Attack Speed % Max	150	Duration	8	Damage synergy									1	100	7						8	128														mag																					768	32000	0
Increased Speed	148					increased speed																																											increasedspeed			velocitypercent	dm12																																																													1	0		none												SC	SC	xx				1																									24	20					Increased Stamina									0	0					0	8	0	0	1								1															7	Velocity %	50	Velocity % per level																					1								8																																				768	32000	0
Battle Orders	149					battle orders		68													battleorders						battleorders	battleorders	ln12+(skill('Shout'.blvl)+skill('Battle Command'.blvl))*par8		item_maxmana_percent	ln34	item_maxhp_percent	ln34	skill_staminapercent	ln34																																														barbarian_battleorders_1														25						battleorders				0	Missile Velocity Adder							1	9		none												SC	SC	xx				1																									24	20					Shout									0	1					1	8	7	0	1																							750	Duration baseline	250	Duration per level	35	HP Mana Stamina % baseline	3	HP Mana Stamina % per level							125	Duration synergy									1	50	10						8																																				768	32000	0
Grim Ward	150					grim ward	33	75													grimwardmediumstart	grimwardsmallstart	grimwardlargestart			2		terror	par6	ln12	velocitypercent	0	attackrate	0	other_animrate	0	damageresist	-par3 - (skill('Find Potion'.blvl) * par4)																																																			barbarian_grimward_1						26	41						grimwardmediumstart	grimwardsmallstart	grimwardlargestart										1	0		h2h												SC	SC	xx				1				1		6	1																		24	20					Find Item									0	1					1	8	4	0	1											1000	Ward Duration (Min=5)	ln12	Radius									6	Radius	1	Radius per level	20	Damage Taken % baseline	5	Damage Taken % per level	10	Monster Fear Distance	60	Monster Fear Duration	0	Slow % Min	75	Slow % Max									1								8																																				768	32000	0
Whirlwind	151					whirlwind	38	76	1																		whirlwind																																																					1	barbarian_whirlwind														31	45	1																	1	3		none	2	mele										SQ	A1	xx	10		1			1									1														30	20					Leap Attack	Concentrate								1	1					1	7	25	1												ln12	Damage %											-50	Damage % baseline	8	Damage % per level																					1		5						8	128																																			896	64000	0
Berserk	152					berserk	39	2																			berserk		par4-min(((110*lvl)/(lvl+6)*(par4-par3)/100),(par4-par3))		damageresist	par5	armor_override_percent	-100																																																barbarian_grunt_large_1	1																															1	4		h2h		mele										A1	A1	xx				1		1	1								1		1												30	20					Concentrate									1	1					1	8	4	0	1											ln12+(skill('Howl'.blvl) + skill('Battle Orders'.blvl))*par8	Damage %	par4-min(((110*lvl)/(lvl+6)*(par4-par3)/100),(par4-par3))	Duration			100	% Damage Dealt as Elemental (Used only if there is an Etype)					150	Damage % baseline	15	Damage % per level	25	Duration Min	75	Duration Max	0	Armor %					10	Damage synergy									1	100	15						8	128														mag																					896	64000	0
Natural Resistance	153					natural resistance																																											naturalresistance			fireresist	dm12	lightresist	dm12	coldresist	dm12	poisonresist	dm12																																																							1	0		none												SC	SC	xx				1																									30	20					Iron Skin									0	0					0	8	0	0	1								1															0	Resistance % Min	80	Resistance % Max																					1								8																																				896	64000	0
War Cry	154					war cry		68													warcry																																																													barbarian_warcry_1										warcry				25						warcry				0	Missile Velocity Adder							1	9		none												SC	SC	xx				1													1												30	20					Battle Cry	Battle Orders								0	1					1	6	40	3	1																	ln12	Stun Length					25	Stun Length baseline	5	Stun Length per level											6	Damage synergy									1								8		30	8	9	10	12	14	40	8	9	10	12	14	(skill('Howl'.blvl)+skill('Taunt'.blvl)+skill('Battle Cry'.blvl))*par8																						896	64000	0
Battle Command	155					battle command		68													battlecommand						battlecommand	battlecommand	ln12+(skill('Shout'.blvl)+skill('Battle Orders'.blvl))*par8		item_allskills	par3																																																		barbarian_command_1														25						battlecommand				0	Missile Velocity Adder							1	9		none												SC	SC	xx				1																									30	20					Battle Orders									0	1					1	8	11	0	1																							750	Duration baseline	250	Duration per level	1	Bonus to All Skills									125	Duration synergy									1								8																																				896	64000	0
Fire Hit	156						42	83																																																																																																										1	0		none												SQ	SQ	xx				1																									1															0	0									1																																															1	20	10						8																																					0	0
UnHolyBolt	157							85													unholybolt1																																																																																unholybolt1													1	0		none												SQ	SQ	xx																													1															0	0									1																																															1								8																																					0	0
SkeletonRaise	158																																																																																																																	1	0		none												SQ	SQ	xx								1	1		1																		1															0	0									1																																															1								8																																					0	0
MaggotEgg	159						43	84																																																																									sandmaggotegg_hatch_1															46																		1	0		none												SQ	SQ	xx																													1															0	0									1										 	(lvl < 5) ? lvl : min(12,5+(lvl-5)/3)	# of units to spawn																																			1								8																																					0	0
ShamanFire	160							85													shafire1																																																																																													1	0		none												SQ	SQ	xx																													1															0	0									1																																															1								8																																					0	0
MagottUp	161						44																																																																										sandmaggot_emerge														32							dirt pile	sand pile											1	0		none												SQ	SQ	xx																													1															0	0									1																																															1								8																																					0	0
MagottDown	162						45	86																																																																									sandmaggot_burrow														33	47																		1	0		none												SQ	SQ	xx																													1															0	0									1											10	HP % Healed																																			1								8																																					0	0
MagottLay	163							87																																																																																																										1	0		none												SQ	SQ	xx																													1															0	0									1																																															1								8																																					0	0
AndrialSpray	164						46	88													andarielspray																																																																										34	48						andarielspray												1	0		none												SQ	SQ	xx																													1															0	0									1																																															1								8																																					0	0
Jump	165						47	89																																																																																																										1	0		none												SQ	SQ	xx																													1															0	0									1											10	Damage %																																			1	15	5						8																																					0	0
Swarm Move	166						48	90																																																																																							35	49																		1	0		none												SQ	SQ	xx																													1															0	0									1											11	Anim Sequence Start Frame	19	Anim Sequence Stop Frame																																	1								8																																					0	0
Nest	167						49	91																																																																																							36	50																		1	0		none												SQ	SQ	xx																													1															0	0									1																																															1								8																																					0	0
Quick Strike	168						50	92													raven1																																																																																													1	0		none												SQ	SQ	xx							1																						1															0	0									1																																															1								8																																					0	0
VampireFireball	169																	vampirefireball																																																																																			vampirefireball													1	0		none												SQ	SQ	SC																													1															0	0									1																																															1								8																																					0	0
VampireFirewall	170							24													vampirefirewallmaker	vampirefirewall																																																																										26						vampirefirewallmaker												1	0		none												SQ	SQ	SC																													1															0	0									1											par1	# of max Fire Walls (oldest is removed when the limit is hit)											0	# of max Fire Walls (oldest is removed when the limit is hit)																							1																																													0	0
VampireMeteor	171							28													vampiremeteorcenter									ln12																																																							sorceress_meteor							fire_cast_2				28						vampiremeteorcenter												1	0		none												SQ	SQ	SC																													1															0	0									1											ln12	Explosion Radius											5	Explosion Radius baseline	1	Explosion Radius per level	30	Duration of ground fire baseline	15	Duration of ground fire per level																	1								8															fire	5	5	5	5	5	5	10	5	5	5	5	5										0	0
GargoyleTrap	172							93													shafire3																																																																											51						shafire3												1	0		none												SQ	SQ	xx	18																												1															0	0									1																																															1								8																																					0	0
SpiderLay	173							23																			spiderlay	slowed	300		velocitypercent	-100																																																																																		1	0		none												SQ	SQ	A2																													1															0	0									1																	20	Frames to apply aura to target					30	Slow Duration per level	75	Buff Duration per level																					1								8																																					0	0
VampireHeal	174																																																																																																																	1	0		none												SQ	SQ	SC																													1															0	0									1																																															1								8																																					0	0
VampireRaise	175																																																																																																																	1	0		none												SQ	SQ	SC							1	1	1		1																		1															0	0									1																																															1								8																																					0	0
Submerge	176						51	94																																																																																							37	52																		1	0		none												SQ	SQ	xx																													1															0	0									1																																															1								8																																					0	0
FetishAura	177							111																						ln12																																																			necromancer_curse_1															53						curseeffectred				3	Missile Density							1	0		none												SQ	SQ	SC																													1															0	0									1																							10	Attack Speed % baseline	50	Duration baseline & per level	5	Attack Speed % per level	10	Radius baseline (+2 per level)																	1								8																																					0	0
FetishInferno	178						53	95													fetishinferno1																																																																										54	54						fetishinferno1	fetishinferno2											1	0		none												SQ	SQ	A1																													1															0	0									1											0	Missile Range (If 0, then use Missile Param2)	par1	Anim Frame Adder (Min=1)	3	Anim Frame Density (Min=1)							15	Anim Frame Adder (Min=1)																							1								8																																					0	0
ZakarumHeal	179							96																	receiving																																																															receiving				healing																						1	0		none												SQ	SQ	S1																													1															0	0									1											15+5*lvl	Heal % Min	50	Heal % Max																																	1								8																																					0	0
Emerge	180						52																																																																																								38																			1	0		none												SQ	SQ	S1																													1															0	0									1																																															1								8																																					0	0
Resurrect	181							97																																																																									fallenshaman_resurrect_cast											healing			39																			1	0		none												SQ	SQ	xx							1	1	1		1					1													1															0	0									1																																															1								8																																					0	0
Bestow	182							96																	receiving																																																															receiving				healing																						1	0		none												SQ	SQ	xx							1																						1															0	0									1											15+5*lvl	Heal % Min	50	Heal % Max																																	1								8																																					0	0
