Treasure Class	*Laz/Info	*Laz/ItemChanceTotal	*Laz/ItemChance	*Laz/Unq	*Laz/Set	*Laz/Rar	*Laz/Mag	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	*eol
Potion 1	Pots	30								1						Good Consumable	2	Junk Potion	1	rvs	1	hp1	14	hp2	4	mp1	6	mp2	2										0
Potion 2	Pots	30								1						Good Consumable	2	Junk Potion	1	rvs	1	hp1	2	hp2	10	hp3	5	mp1	1	mp2	5	mp3	3						0
Potion 3	Pots	30								1						Good Consumable	2	Junk Potion	1	rvs	1	hp2	4	hp3	8	hp4	5	mp2	2	mp3	4	mp4	3						0
Potion 4	Pots	30								1						Good Consumable	2	Junk Potion	1	rvs	1	hp3	4	hp4	8	hp5	5	mp3	2	mp4	4	mp5	3						0
Potion 5	Pots	30								1						Good Consumable	2	Junk Potion	1	rvs	3	hp4	5	hp5	11	mp4	2	mp5	6										0
Potion 6	Pots	30								1						Good Consumable	3	Junk Potion	1	rvs	2	hp4	3	hp5	13	mp4	1	mp5	7										0
Potion 6 Special	Pots	30								1						Good Consumable	3	Junk Potion	1	rvs	1	hp4	3	hp5	13	mp4	1	mp5	7	rvl	1								0
Runes 1	Runes									1						r01	1																						0
Runes 2	Runes									1						r02	1	Runes 1	1																				0
Runes 3	Runes									1						r03	1	Runes 2	2																				0
Runes 4	Runes									1						r04	1	Runes 3	3																				0
Runes 5	Runes									1						r05	1	Runes 4	4																				0
Runes 6	Runes									1						r06	1	Runes 5	6																				0
Runes 7	Runes									1						r07	1	Runes 6	7																				0
Runes 8	Runes									1						r08	1	Runes 7	8																				0
Runes 9	Runes									1						r09	1	Runes 8	9																				0
Runes 10	Runes									1						r10	1	Runes 9	10																				0
Runes 11	Runes									1						r11	1	Runes 10	11																				0
Runes 12	Runes									1						r12	1	Runes 11	13																				0
Runes 13	Runes									1						r13	1	Runes 12	14																				0
Runes 14	Runes									1						r14	1	Runes 13	16																				0
Runes 15	Runes									1						r15	1	Runes 14	18																				0
Runes 16	Runes									1						r16	1	Runes 15	20																				0
Runes 17	Runes									1						r17	1	Runes 16	23																				0
Runes 18	Runes									1						r18	1	Runes 17	26																				0
Runes 19	Runes									1						r19	1	Runes 18	29																				0
Runes 20	Runes									1						r20	1	Runes 19	32																				0
Runes 21	Runes									1						r21	1	Runes 20	36																				0
Runes 22	Runes									1						r22	1	Runes 21	41																				0
Runes 23	Runes									1						r23	1	Runes 22	46																				0
Runes 24	Runes									1						r24	1	Runes 23	52																				0
Runes 25	Runes									1						r25	1	Runes 24	58																				0
Runes 26	Runes									1						r26	1	Runes 25	66																				0
Runes 27	Runes									1						r27	1	Runes 26	74																				0
Runes 28	Runes									1						r28	1	Runes 27	83																				0
Runes 29	Runes									1						r29	1	Runes 28	93																				0
Runes 30	Runes									1						r30	1	Runes 29	105																				0
Runes 31	Runes									1						r31	1	Runes 30	118																				0
Runes 32	Runes									1						r32	1	Runes 31	133																				0
Runes 33	Runes									1						r33	1	Runes 32	150																				0
Runes 34	Runes									1						r34	1	Runes 33	168																				0
Runes 35	Runes									1						r35	1	Runes 34	189																				0
Runes 36	Runes									1						r36	1	Runes 35	213																				0
Runes 37	Runes									1						r37	1	Runes 36	240																				0
Runes 38	Runes									1						r38	1	Runes 37	270																				0
Runes 39	Runes									1						r39	1	Runes 38	303																				0
Runes 40	Runes									1						r40	1	Runes 39	341																				0
Runes 41	Runes									1						r41	1	Runes 40	384																				0
Runes 42	Runes									1						r42	1	Runes 41	432																				0
Runes 43	Runes									1						r43	1	Runes 42	486																				0
Runes 44	Runes									1						r44	1	Runes 43	547																				0
Runes 45	Runes									1						r45	1	Runes 44	615																				0
Runes 46	Runes									1						r46	1	Runes 45	692																				0
Runes 47	Runes									1						r47	1	Runes 46	778																				0
Act 1 Junk	Pots/Tpots/Keys/Scrolls/Ammo									1						Potion 1	8	Misc 0	4	Ammo	4																		0
Act 2 Junk	Pots/Tpots/Keys/Scrolls/Ammo									1						Potion 2	8	Misc 0	4	Ammo	4	Act 1 Junk	2																0
Act 3 Junk	Pots/Tpots/Keys/Scrolls/Ammo									1						Potion 3	8	Misc 1	4	Ammo	4	Act 2 Junk	2																0
Act 4 Junk	Pots/Tpots/Keys/Scrolls/Ammo									1						Potion 4	8	Misc 1	4	Ammo	4	Act 3 Junk	2																0
Act 5 Junk	Pots/Tpots/Keys/Scrolls/Ammo									1						Potion 5	8	Misc 2	4	Ammo	4	Act 4 Junk	2																0
Act 1 (N) Junk	Pots/Tpots/Keys/Scrolls/Ammo									1						Potion 6	8	Misc 2	4	Ammo	4	Act 5 Junk	2																0
Act 2 (N) Junk	Pots/Tpots/Keys/Scrolls/Ammo									1						Potion 6	8	Misc 2	4	Ammo	4	Act 1 (N) Junk	2																0
Act 3 (N) Junk	Pots/Tpots/Keys/Scrolls/Ammo									1						Potion 6	8	Misc 2	4	Ammo	4	Act 2 (N) Junk	2																0
Act 4 (N) Junk	Pots/Tpots/Keys/Scrolls/Ammo									1						Potion 6	8	Misc 2	4	Ammo	4	Act 3 (N) Junk	2																0
Act 5 (N) Junk	Pots/Tpots/Keys/Scrolls/Ammo									1						Potion 6	8	Misc 2	4	Ammo	4	Act 4 (N) Junk	2																0
Act 1 (H) Junk	Pots/Tpots/Keys/Scrolls/Ammo									1						Potion 6	8	Misc 2	4	Ammo	4	Act 5 (N) Junk	2																0
Act 2 (H) Junk	Pots/Tpots/Keys/Scrolls/Ammo									1						Potion 6	8	Misc 2	4	Ammo	4	Act 1 (H) Junk	2																0
Act 3 (H) Junk	Pots/Tpots/Keys/Scrolls/Ammo									1						Potion 6	8	Misc 2	4	Ammo	4	Act 2 (H) Junk	2																0
Act 4 (H) Junk	Pots/Tpots/Keys/Scrolls/Ammo									1						Potion 6	8	Misc 2	4	Ammo	4	Act 3 (H) Junk	2																0
Act 5 (H) Junk	Pots/Tpots/Keys/Scrolls/Ammo									1						Potion 6	8	Misc 2	4	Ammo	4	Act 4 (H) Junk	2																0
Chaosphere Dust	Chaosphere crafting									1						du1	1	du2	1	du3	1	du4	1																0
Old Religion Herb 1	Old Religion crafting									1						w36	1	w37	1	w38	1	w39	1	w40	1														0
Old Religion Herb 2	Old Religion crafting									1						w29	1	w30	1	w31	1	w32	1	w33	1	w34	1	w35	1	Old Religion Herb 1	5								0
Old Religion Herb 3	Old Religion crafting									1						w22	1	w23	1	w24	1	w25	1	w26	1	w27	1	w28	1	Old Religion Herb 2	12								0
Old Religion Herb 4	Old Religion crafting									1						w15	1	w16	1	w17	1	w18	1	w19	1	w20	1	w21	1	Old Religion Herb 3	19								0
Old Religion Herb 5	Old Religion crafting									1						w08	1	w09	1	w10	1	w11	1	w12	1	w13	1	w14	1	Old Religion Herb 4	26								0
Old Religion Herb	Old Religion crafting									1						w01	1	w02	1	w03	1	w04	1	w05	1	w06	1	w07	1	Old Religion Herb 5	33								0
Sankekur Holy Symbol	Bust of Sankekur crafting									1						sxg	1																						0
Prefix Orb 1	Crafting									1						i29	1	i30	1	i31	1	i32	1	i33	1	i34	1	i35	1										0
Prefix Orb 2	Crafting									1						i22	1	i23	1	i24	1	i25	1	i26	1	i27	1	i28	1	Prefix Orb 1	7								0
Prefix Orb 3	Crafting									1						i15	1	i16	1	i17	1	i18	1	i19	1	i20	1	i21	1	Prefix Orb 2	14								0
Prefix Orb 4	Crafting									1						i08	1	i09	1	i10	1	i11	1	i12	1	i13	1	i14	1	Prefix Orb 3	21								0
Prefix Orb	Crafting									1						i01	1	i02	1	i03	1	i04	1	i05	1	i06	1	i07	1	Prefix Orb 4	28								0
Suffix Orb 1	Crafting									1						l36	1	l37	1	l38	1	l39	1	l40	1														0
Suffix Orb 2	Crafting									1						l29	1	l30	1	l31	1	l32	1	l33	1	l34	1	l35	1	Suffix Orb 1	5								0
Suffix Orb 3	Crafting									1						l22	1	l23	1	l24	1	l25	1	l26	1	l27	1	l28	1	Suffix Orb 2	12								0
Suffix Orb 4	Crafting									1						l15	1	l16	1	l17	1	l18	1	l19	1	l20	1	l21	1	Suffix Orb 3	19								0
Suffix Orb 5	Crafting									1						l08	1	l09	1	l10	1	l11	1	l12	1	l13	1	l14	1	Suffix Orb 4	26								0
Suffix Orb	Crafting									1						l01	1	l02	1	l03	1	l04	1	l05	1	l06	1	l07	1	Suffix Orb 5	33								0
Clockwork Orb	Crafting									1						Prefix Orb	1	Suffix Orb	1																				0
Portal Generator 1	Crafting									1						p29	1	p30	1	p31	1	p32	1	p33	1	p34	1	p35	1										0
Portal Generator 2	Crafting									1						p22	1	p23	1	p24	1	p25	1	p26	1	p27	1	p28	1	Portal Generator 1	7								0
Portal Generator 3	Crafting									1						p15	1	p16	1	p17	1	p18	1	p19	1	p20	1	p21	1	Portal Generator 2	14								0
Portal Generator 4	Crafting									1						p08	1	p09	1	p10	1	p11	1	p12	1	p13	1	p14	1	Portal Generator 3	21								0
Portal Generator	Crafting									1						p01	1	p02	1	p03	1	p04	1	p05	1	p06	1	p07	1	Portal Generator 4	28								0
Runeword Text 1	Crafting									1	1024	1024	1024	1024		z64	1	z65	1	z66	1	z67	1	z68	1	z69	1	z70	1										0
Runeword Text 2	Crafting									1	1024	1024	1024	1024		z57	1	z58	1	z59	1	z60	1	z61	1	z62	1	z63	1	Runeword Text 1	7								0
Runeword Text 3	Crafting									1	1024	1024	1024	1024		z50	1	z51	1	z52	1	z53	1	z54	1	z55	1	z56	1	Runeword Text 2	14								0
Runeword Text 4	Crafting									1	1024	1024	1024	1024		z43	1	z44	1	z45	1	z46	1	z47	1	z48	1	z49	1	Runeword Text 3	21								0
Runeword Text 5	Crafting									1	1024	1024	1024	1024		z36	1	z37	1	z38	1	z39	1	z40	1	z41	1	z42	1	Runeword Text 4	28								0
Runeword Text 6	Crafting									1	1024	1024	1024	1024		z29	1	z30	1	z31	1	z32	1	z33	1	z34	1	z35	1	Runeword Text 5	35								0
Runeword Text 7	Crafting									1	1024	1024	1024	1024		z22	1	z23	1	z24	1	z25	1	z26	1	z27	1	z28	1	Runeword Text 6	42								0
Runeword Text 8	Crafting									1	1024	1024	1024	1024		z15	1	z16	1	z17	1	z18	1	z19	1	z20	1	z21	1	Runeword Text 7	49								0
Runeword Text 9	Crafting									1	1024	1024	1024	1024		z08	1	z09	1	z10	1	z11	1	z12	1	z13	1	z14	1	Runeword Text 8	56								0
Runeword Text	Crafting									1	1024	1024	1024	1024		z01	1	z02	1	z03	1	z04	1	z05	1	z06	1	z07	1	Runeword Text 9	63								0
Crafting Common	Crafting									1						cuu	4	cu5	4	cu6	4	cu8	4	cu9	4	Runeword Text	1												0
Crafting Unique	Crafting									1						ix1	1	ix2	1	ix3	1	ix4	1	ix5	1	ix6	1	ixp	1	ixs	1								0
Act 3 Ingredient Scroll	Crafting									1						cu0	8	wt1	4																	12			0
Act 4 Ingredient Scroll	Crafting									1						cu0	8	wt1	4																	12			0
Act 5 Ingredient Scroll	Crafting									1						cu0	8	wt1	4																	12			0
Act 1 (N) Ingredient Scroll	Crafting									1						cu0	8	wt1	3	wt2	1															12			0
Act 2 (N) Ingredient Scroll	Crafting									1						cu0	8	wt1	3	wt2	1															12			0
Act 3 (N) Ingredient Scroll	Crafting									1						cu0	8	wt1	3	wt2	1															12			0
Act 4 (N) Ingredient Scroll	Crafting									1						cu0	8	wt1	3	wt2	1															12			0
Act 5 (N) Ingredient Scroll	Crafting									1						cu0	8	wt1	3	wt2	1															12			0
Act 1 (H) Ingredient Scroll	Crafting									1						cu0	8	wt1	2	wt2	1	wt3	1													12			0
Act 2 (H) Ingredient Scroll	Crafting									1						cu0	8	wt1	2	wt2	1	wt3	1													12			0
Act 3 (H) Ingredient Scroll	Crafting									1						cu0	8	wt1	2	wt2	1	wt3	1													12			0
Act 4 (H) Ingredient Scroll	Crafting									1						cu0	8	wt1	1	wt2	1	wt3	1	wt4	1											12			0
Act 5 (H) Ingredient Scroll	Crafting									1						cu0	8	wt1	1	wt2	1	wt3	1	wt4	1											12			0
Act 3 Crafting Good	Crafting Good pieces						40			1						Crafting Common	12	Portal Generator	8	Act 3 Ingredient Scroll	8	Clockwork Orb	4	Old Religion Herb	8											40			0
Act 4 Crafting Good	Crafting Good pieces						40			1						Crafting Common	12	Portal Generator	8	Act 4 Ingredient Scroll	8	Clockwork Orb	4	Old Religion Herb	8											40			0
Act 5 Crafting Good	Crafting Good pieces						40			1						Crafting Common	12	Portal Generator	8	Act 5 Ingredient Scroll	8	Clockwork Orb	4	Old Religion Herb	8											40			0
Act 1 (N) Crafting Good	Crafting Good pieces						40			1						Crafting Common	10	Portal Generator	8	Act 1 (N) Ingredient Scroll	8	Clockwork Orb	4	Crafting Unique	2	Old Religion Herb	8									40			0
Act 2 (N) Crafting Good	Crafting Good pieces						40			1						Crafting Common	10	Portal Generator	8	Act 2 (N) Ingredient Scroll	8	Clockwork Orb	4	Crafting Unique	2	Old Religion Herb	8									40			0
Act 3 (N) Crafting Good	Crafting Good pieces						40			1						Crafting Common	6	Portal Generator	8	Act 3 (N) Ingredient Scroll	8	Clockwork Orb	4	Crafting Unique	2	Old Religion Herb	8	Chaosphere Dust	4							40			0
Act 4 (N) Crafting Good	Crafting Good pieces						40			1						Crafting Common	6	Portal Generator	8	Act 4 (N) Ingredient Scroll	8	Clockwork Orb	4	Crafting Unique	2	Old Religion Herb	8	Chaosphere Dust	4							40			0
Act 5 (N) Crafting Good	Crafting Good pieces						40			1						Crafting Common	6	Portal Generator	8	Act 5 (N) Ingredient Scroll	8	Clockwork Orb	4	Crafting Unique	2	Old Religion Herb	8	Chaosphere Dust	4							40			0
Act 1 (H) Crafting Good	Crafting Good pieces						40			1						Crafting Common	6	Portal Generator	8	Act 1 (H) Ingredient Scroll	8	Clockwork Orb	4	Crafting Unique	2	Old Religion Herb	8	Chaosphere Dust	4							40			0
Act 2 (H) Crafting Good	Crafting Good pieces						40			1						Crafting Common	6	Portal Generator	8	Act 2 (H) Ingredient Scroll	8	Clockwork Orb	4	Crafting Unique	2	Old Religion Herb	8	Chaosphere Dust	4							40			0
Act 3 (H) Crafting Good	Crafting Good pieces						40			1						Crafting Common	2	Portal Generator	8	Act 3 (H) Ingredient Scroll	8	Clockwork Orb	4	Crafting Unique	2	Old Religion Herb	8	Chaosphere Dust	4	Sankekur Holy Symbol	4					40			0
Act 4 (H) Crafting Good	Crafting Good pieces						40			1						Crafting Common	2	Portal Generator	8	Act 4 (H) Ingredient Scroll	8	Clockwork Orb	4	Crafting Unique	2	Old Religion Herb	8	Chaosphere Dust	4	Sankekur Holy Symbol	4					40			0
Act 5 (H) Crafting Good	Crafting Good pieces						40			1						Crafting Common	2	Portal Generator	8	Act 5 (H) Ingredient Scroll	8	Clockwork Orb	4	Crafting Unique	2	Old Religion Herb	8	Chaosphere Dust	4	Sankekur Holy Symbol	4					40			0
Act 3 Crafting	Crafting pieces									1						Crafting Common	30	Act 3 Crafting Good	20																	50			0
Act 4 Crafting	Crafting pieces									1						Crafting Common	30	Act 4 Crafting Good	20																	50			0
Act 5 Crafting	Crafting pieces									1						Crafting Common	30	Act 5 Crafting Good	20																	50			0
Act 1 (N) Crafting	Crafting pieces									1						Crafting Common	30	Act 1 (N) Crafting Good	20																	50			0
Act 2 (N) Crafting	Crafting pieces									1						Crafting Common	30	Act 2 (N) Crafting Good	20																	50			0
Act 3 (N) Crafting	Crafting pieces									1						Crafting Common	30	Act 3 (N) Crafting Good	20																	50			0
Act 4 (N) Crafting	Crafting pieces									1						Crafting Common	30	Act 4 (N) Crafting Good	20																	50			0
Act 5 (N) Crafting	Crafting pieces									1						Crafting Common	30	Act 5 (N) Crafting Good	20																	50			0
Act 1 (H) Crafting	Crafting pieces									1						Crafting Common	30	Act 1 (H) Crafting Good	20																	50			0
Act 2 (H) Crafting	Crafting pieces									1						Crafting Common	30	Act 2 (H) Crafting Good	20																	50			0
Act 3 (H) Crafting	Crafting pieces									1						Crafting Common	30	Act 3 (H) Crafting Good	20																	50			0
Act 4 (H) Crafting	Crafting pieces									1						Crafting Common	30	Act 4 (H) Crafting Good	20																	50			0
Act 5 (H) Crafting	Crafting pieces									1						Crafting Common	30	Act 5 (H) Crafting Good	20																	50			0
Act 1 Equip A	Base classes							1	0	1						weap3	7	armo3	7																				0
Act 1 Equip B	Base classes							1	2	1						weap3	3	armo3	3	weap6	7	armo6	7	Act 1 Equip A	5														0
Act 1 Equip C	Base classes	53						1	5	1						weap3	3	armo3	2	weap6	6	armo6	3	weap9	14	armo9	7	weap12	2	armo12	1	Act 1 Equip B	15						0
Act 2 Equip A	Base classes	66	3000,00%					1	8	1						weap6	2	armo6	1	weap9	6	armo9	3	weap12	14	armo12	7	weap15	2	armo15	1	Act 1 Equip C	30			36	66	0.4545	0
Act 2 Equip B	Base classes	96	5000,00%					1	11	1						weap9	2	armo9	1	weap12	6	armo12	3	weap15	14	armo15	7	weap18	2	armo18	1	Act 2 Equip A	60			36	96	0.6250	0
Act 2 Equip C	Base classes	116	7000,00%					1	14	1						weap12	2	armo12	1	weap15	6	armo15	3	weap18	14	armo18	7	weap21	2	armo21	1	Act 2 Equip B	80			36	116	0.6897	0
Act 3 Equip A	Base classes	136	9000,00%					1	17	1						weap15	2	armo15	1	weap18	6	armo18	3	weap21	14	armo21	7	weap24	2	armo24	1	Act 2 Equip C	100			36	136	0.7353	0
Act 3 Equip B	Base classes	236	11000,00%					1	20	1						weap18	2	armo18	1	weap21	6	armo21	3	weap24	14	armo24	7	weap27	2	armo27	1	Act 3 Equip A	200			36	236	0.8475	0
Act 3 Equip C	Base classes	376	13000,00%					1	23	1						weap21	2	armo21	1	weap24	6	armo24	3	weap27	14	armo27	7	weap30	2	armo30	1	Act 3 Equip B	340			36	376	0.9043	0
Act 4 Equip A	Base classes	463	15000,00%					1	26	1						weap24	2	armo24	1	weap27	6	armo27	3	weap30	14	armo30	4	weap33	2	armo33	1	Act 3 Equip C	430			33	463	0.9287	0
Act 4 Equip B	Base classes	532	17000,00%					1	29	1						weap27	2	armo27	1	weap30	6	armo30	3	weap33	14	armo33	3	weap36	2	armo36	1	Act 4 Equip A	500			32	532	0.9398	0
Act 5 Equip A	Base classes	670	19000,00%					1	32	1						weap27	2	armo27	1	weap30	6	armo30	3	weap33	14	armo33	3	weap36	7	armo36	5	Act 4 Equip B	629			41	670	0.9388	0
Act 5 Equip B	Base classes	766	21000,00%					1	34	1						weap30	2	armo30	1	weap33	6	armo33	2	weap36	14	armo36	7	weap39	2	armo39	1	Act 5 Equip A	731			35	766	0.9543	0
Act 5 Equip C	Base classes	868	23000,00%					1	36	1						weap30	2	armo30	1	weap33	6	armo33	2	weap36	14	armo36	7	weap39	2	armo39	1	Act 5 Equip B	833			35	868	0.9597	0
Act 1 (N) Equip A	Base classes	971	25000,00%					1	38	1						weap33	2	armo33	1	weap36	6	armo36	3	weap39	14	armo39	7	weap42	2	armo42	1	Act 5 Equip C	935			36	971	0.9629	0
Act 1 (N) Equip B	Base classes	1147	27000,00%					1	40	1						weap33	2	armo33	1	weap36	6	armo36	3	weap39	14	armo39	7	weap42	6	armo42	3	Act 1 (N) Equip A	1105			42	1147	0.9634	0
Act 1 (N) Equip C	Base classes	1056	29000,00%					1	42	1						weap36	2	armo36	1	weap39	6	armo39	3	weap42	14	armo42	7	weap45	2	armo45	1	Act 1 (N) Equip A	1020			36	1056	0.9659	0
Act 2 (N) Equip A	Base classes	1275	31000,00%					1	44	1						weap36	2	armo36	1	weap39	6	armo39	3	weap42	14	armo42	7	weap45	6	armo45	3	Act 1 (N) Equip B	1233			42	1275	0.9671	0
Act 2 (N) Equip B	Base classes	1141	33000,00%					1	46	1						weap39	2	armo39	1	weap42	6	armo42	3	weap45	14	armo45	7	weap48	2	armo48	1	Act 2 (N) Equip A	1105			36	1141	0.9684	0
Act 2 (N) Equip C	Base classes	1360	35000,00%					1	48	1						weap39	2	armo39	1	weap42	6	armo42	3	weap45	14	armo45	7	weap48	6	armo48	3	Act 2 (N) Equip A	1318			42	1360	0.9691	0
Act 3 (N) Equip A	Base classes	1226	37000,00%					1	50	1						weap42	2	armo42	1	weap45	6	armo45	3	weap48	14	armo48	7	weap51	2	armo51	1	Act 2 (N) Equip B	1190			36	1226	0.9706	0
Act 3 (N) Equip B	Base classes	1487	39000,00%					1	52	1						weap42	2	armo42	1	weap45	6	armo45	3	weap48	14	armo48	7	weap51	6	armo51	3	Act 3 (N) Equip A	1445			42	1487	0.9718	0
Act 3 (N) Equip C	Base classes	1311	41000,00%					1	54	1						weap45	2	armo45	1	weap48	6	armo48	3	weap51	14	armo51	7	weap54	2	armo54	1	Act 3 (N) Equip A	1275			36	1311	0.9725	0
Act 4 (N) Equip A	Base classes	1572	43000,00%					1	56	1						weap45	2	armo45	1	weap48	6	armo48	3	weap51	14	armo51	7	weap54	6	armo54	3	Act 3 (N) Equip B	1530			42	1572	0.9733	0
Act 4 (N) Equip B	Base classes	1396	45000,00%					1	58	1						weap48	2	armo48	1	weap51	6	armo51	3	weap54	14	armo54	7	weap57	2	armo57	1	Act 4 (N) Equip A	1360			36	1396	0.9742	0
Act 4 (N) Equip C	Base classes	1700	47000,00%					1	60	1						weap48	2	armo48	1	weap51	6	armo51	3	weap54	14	armo54	7	weap57	6	armo57	3	Act 4 (N) Equip A	1658			42	1700	0.9753	0
Act 5 (N) Equip A	Base classes	1481	49000,00%					1	62	1						weap51	2	armo51	1	weap54	6	armo54	3	weap57	14	armo57	7	weap60	2	armo60	1	Act 4 (N) Equip B	1445			36	1481	0.9757	0
Act 5 (N) Equip B	Base classes	1785	51000,00%					1	64	1						weap51	2	armo51	1	weap54	6	armo54	3	weap57	14	armo57	7	weap60	6	armo60	3	Act 5 (N) Equip A	1743			42	1785	0.9765	0
Act 5 (N) Equip C	Base classes	1566	53000,00%					1	66	1						weap54	2	armo54	1	weap57	6	armo57	3	weap60	14	armo60	7	weap63	2	armo63	1	Act 5 (N) Equip B	1530			36	1566	0.9770	0
Act 1 (H) Equip A	Base classes	1827	55000,00%					1	68	1						weap54	2	armo54	1	weap57	6	armo57	3	weap60	14	armo60	7	weap63	6	armo63	3	Act 5 (N) Equip C	1785			42	1827	0.9770	0
Act 1 (H) Equip B	Base classes	1566	57000,00%					1	70	1						weap57	2	armo57	1	weap60	6	armo60	3	weap63	14	armo63	7	weap66	2	armo66	1	Act 1 (H) Equip A	1530			36	1566	0.9770	0
Act 1 (H) Equip C	Base classes	1827	59000,00%					1	71	1						weap57	2	armo57	1	weap60	6	armo60	3	weap63	14	armo63	7	weap66	6	armo66	3	Act 1 (H) Equip A	1785			42	1827	0.9770	0
Act 2 (H) Equip A	Base classes	1566	61000,00%					1	73	1						weap60	2	armo60	1	weap63	6	armo63	3	weap66	14	armo66	7	weap69	2	armo69	1	Act 1 (H) Equip B	1530			36	1566	0.9770	0
Act 2 (H) Equip B	Base classes	1827	63000,00%					1	75	1						weap60	2	armo60	1	weap63	6	armo63	3	weap66	14	armo66	7	weap69	6	armo69	3	Act 2 (H) Equip A	1785			42	1827	0.9770	0
Act 2 (H) Equip C	Base classes	1566	65000,00%					1	76	1						weap63	2	armo63	1	weap66	6	armo66	3	weap69	14	armo69	7	weap72	2	armo72	1	Act 2 (H) Equip A	1530			36	1566	0.9770	0
Act 3 (H) Equip A	Base classes	1827	67000,00%					1	77	1						weap63	2	armo63	1	weap66	6	armo66	3	weap69	14	armo69	7	weap72	6	armo72	3	Act 2 (H) Equip B	1785			42	1827	0.9770	0
Act 3 (H) Equip B	Base classes	1566	69000,00%					1	78	1						weap66	2	armo66	1	weap69	6	armo69	3	weap72	14	armo72	7	weap75	2	armo75	1	Act 3 (H) Equip A	1530			36	1566	0.9770	0
Act 3 (H) Equip C	Base classes	1827	71000,00%					1	79	1						weap66	2	armo66	1	weap69	6	armo69	3	weap72	14	armo72	7	weap75	6	armo75	3	Act 3 (H) Equip A	1785			42	1827	0.9770	0
