Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
of Resistance	1	1	1	16		8				4	702	red-mag		2	2										tors	helm	shld	ring	amul			ashi	ahlm				0	0
of the Sentinel	1	1	1	33		16				4	702	red-mag		3	3										tors	helm	shld	ring	amul			ashi	ahlm				0	0
of Guarding	1	1	1	49		24				4	702	red-mag		4	4										tors	helm	shld	ring	amul			ashi	ahlm				0	0
of Negation	1	1	1	64		32				4	702	red-mag		5	5										tors	helm	shld	ring	amul			ashi	ahlm				0	0
of Warding	1	1	1	1		0				4	702	red-mag		1	1										duse												0	0
of Resistance	1	1	1	30		15				4	702	red-mag		2	2										duse												0	0
of the Sentinel	1	1	1	60		30				4	702	red-mag		3	3										duse												0	0
of Warding	1	1	1	10		5				4	702	red-mag		1	1										jewl												0	0
of Resistance	1	1	1	82		41				4	702	red-mag		2	2										jewl												0	0
of Weakness	1	1		1		0				2	703	block		-1	-10										shld							bshi	head				0	0
of Blocking	1	1	1	1		0				8	703	block		1	2										shld							bshi	head				0	0
of Deflecting	1	1	1	14		7				8	703	block		3	5										shld							bshi	head				0	0
of Turning	1	1	1	27		13				8	703	block		6	8										shld							bshi	head				0	0
of Sure Grip	1	1	1	40		20				8	703	block		9	11										shld							bshi	head				0	0
of the Bastion	1	1	1	54		27				8	703	block		12	14										shld							bshi	head				0	0
of the Bulwark	1	1	1	67		33				8	703	block		15	17										shld							bshi	head				0	0
of the Rampart	1	1	1	80		40				8	703	block		18	20										shld							bshi	head				0	0
of Weakness	1	1		9		4				2	703	block		-1	-4										glov	ring	amul	bshi	pasd	h2h							0	0
of Blocking	1	1	1	9		4				8	703	block		1	2										glov	ring	amul	bshi	pasd	h2h							0	0
of Deflecting	1	1	1	28		14				8	703	block		3	5										glov	ring	amul	bshi	pasd	h2h							0	0
of Blocking	1	1	1	10		4				8	703	block		1	2										dusp												0	0
of Deflecting	1	1	1	31		15				8	703	block		3	5										dusp												0	0
of Blocking	1	1	1	14		0				8	703	block		1	1										jewl												0	0
of the Pit	1	1		1		0				2	704	dmg-max		-1	-4										bbax	bats											0	0
of Craftsmanship	1	1	1	1		0				12	704	dmg-max		1	3										bbax	bats											0	0
of Quality	1	1	1	14		7				12	704	dmg-max		4	7										bbax	bats											0	0
of Maiming	1	1	1	27		13				12	704	dmg-max		8	13										bbax	bats											0	0
of Slaying	1	1	1	41		20				12	704	dmg-max		14	20										bbax	bats											0	0
of Gore	1	1	1	54		27				12	704	dmg-max		21	30										bbax	bats											0	0
of Carnage	1	1	1	67		33				12	704	dmg-max		31	45										bbax	bats											0	0
of Slaughter	1	1	1	80		40				12	704	dmg-max		46	60										bbax	bats											0	0
of the Pit	1	1		1		0				2	704	dmg-max		-1	-4										weap							staf	wand	orb	bbax	bats	0	0
of Craftsmanship	1	1	1	1		0				12	704	dmg-max		1	2										weap							staf	wand	orb	bbax	bats	0	0
of Quality	1	1	1	14		7				12	704	dmg-max		3	5										weap							staf	wand	orb	bbax	bats	0	0
of Maiming	1	1	1	27		13				12	704	dmg-max		6	10										weap							staf	wand	orb	bbax	bats	0	0
of Slaying	1	1	1	41		20				12	704	dmg-max		11	15										weap							staf	wand	orb	bbax	bats	0	0
of Gore	1	1	1	54		27				12	704	dmg-max		16	25										weap							staf	wand	orb	bbax	bats	0	0
of Carnage	1	1	1	67		33				12	704	dmg-max		26	40										weap							staf	wand	orb	bbax	bats	0	0
of Slaughter	1	1	1	80		40				12	704	dmg-max		41	50										weap							staf	wand	orb	bbax	bats	0	0
of the Pit	1	1		3		1				2	704	dmg-max		-1	-4										sksd												0	0
of Craftsmanship	1	1	1	3		1				8	704	dmg-max		1	2										sksd												0	0
of Quality	1	1	1	18		9				8	704	dmg-max		3	4										sksd												0	0
of Maiming	1	1	1	34		17				8	704	dmg-max		5	7										sksd												0	0
of Slaying	1	1	1	49		24				8	704	dmg-max		8	10										sksd												0	0
of Gore	1	1	1	65		32				8	704	dmg-max		11	14										sksd												0	0
of Carnage	1	1	1	80		40				8	704	dmg-max		15	20										sksd												0	0
of the Pit	1	1		3		1				2	704	dmg-max		-1	-4										glov	ring	amul	ashd	phlm								0	0
of Craftsmanship	1	1	1	3		1				4	704	dmg-max		1	2										glov	ring	amul	ashd	phlm								0	0
of Quality	1	1	1	18		9				4	704	dmg-max		3	4										glov	ring	amul	ashd	phlm								0	0
of Maiming	1	1	1	34		17				4	704	dmg-max		5	7										glov	ring	amul	ashd	phlm								0	0
of Slaying	1	1	1	49		24				4	704	dmg-max		8	10										glov	ring	amul	ashd	phlm								0	0
of Gore	1	1	1	65		32				4	704	dmg-max		11	14										glov	ring	amul	ashd	phlm								0	0
of Carnage	1	1	1	80		40				4	704	dmg-max		15	20										glov	ring	amul	ashd	phlm								0	0
of Craftsmanship	1	1	1	3		1				8	704	dmg-max		1	2										dusc												0	0
of Quality	1	1	1	20		10				8	704	dmg-max		3	4										dusc												0	0
of Maiming	1	1	1	37		19				8	704	dmg-max		5	7										dusc												0	0
of Slaying	1	1	1	54		26				8	704	dmg-max		8	10										dusc												0	0
of Gore	1	1	1	72		35				8	704	dmg-max		11	14										dusc												0	0
of Carnage	1	1	1	88		44				8	704	dmg-max		15	20										dusc												0	0
of Craftsmanship	1	1	1	1		0				4	704	dmg-max		1	2										jewl												0	0
of Quality	1	1	1	33		16				4	704	dmg-max		3	4										jewl												0	0
of Maiming	1	1	1	86		43				4	704	dmg-max		4	6										jewl												0	0
of Worth	1	1	1	19		9				8	704	dmg-min		1	1	dmg-max		3	4		4	5			weap							staf	wand	orb	knif		0	0
of Measure	1	1	1	35		17				8	704	dmg-min		2	2	dmg-max		5	7		7	9			weap							staf	wand	orb	knif		0	0
of Excellence	1	1	1	50		25				8	704	dmg-min		3	3	dmg-max		8	10		11	13			weap							staf	wand	orb	knif		0	0
of Performance	1	1	1	65		32				8	704	dmg-min		4	5	dmg-max		11	14		15	19			weap							staf	wand	orb	knif		0	0
of Superiority	1	1	1	80		40				8	704	dmg-min		6	10	dmg-max		15	20		21	30			weap							staf	wand	orb	knif		0	0
of Frailty	1	1		1		0				2	705	str		-1	-6										mele	tors						circ	ahlm	nxhm	aspe	h2h	0	0
of Strength	1	1	1	1		0				6	705	str		1	3										mele	tors						circ	ahlm	nxhm	aspe	h2h	0	0
of Might	1	1	1	14		7				6	705	str		4	6										mele	tors						circ	ahlm	nxhm	aspe	h2h	0	0
of Brawn	1	1	1	27		13				6	705	str		7	10										mele	tors						circ	ahlm	nxhm	aspe	h2h	0	0
of the Ox	1	1	1	40		20				6	705	str		11	15										mele	tors						circ	ahlm	nxhm	aspe	h2h	0	0
of the Giant	1	1	1	53		26				6	705	str		16	20										mele	tors						circ	ahlm	nxhm	aspe	h2h	0	0
of the Titan	1	1	1	66		33				6	705	str		21	35										mele	tors						circ	ahlm	nxhm	aspe	h2h	0	0
of the Leviathan	1	1	1	80		40				6	705	str		36	50										mele	tors						circ	ahlm	nxhm	aspe	h2h	0	0
of Strength	1	1	1	1		0				4	705	str		1	2										dusc	dusp	duse										0	0
of Might	1	1	1	15		8				4	705	str		3	4										dusc	dusp	duse										0	0
of Brawn	1	1	1	30		14				4	705	str		5	7										dusc	dusp	duse										0	0
of the Ox	1	1	1	44		22				4	705	str		8	10										dusc	dusp	duse										0	0
of the Giant	1	1	1	58		29				4	705	str		11	15										dusc	dusp	duse										0	0
of the Titan	1	1	1	73		36				4	705	str		16	20										dusc	dusp	duse										0	0
of the Leviathan	1	1	1	88		44				4	705	str		21	30										dusc	dusp	duse										0	0
of Frailty	1	1		1		0				2	705	str		-1	-5										glov	belt	boot	ring	amul								0	0
of Strength	1	1	1	1		0				4	705	str		1	2										glov	belt	boot	ring	amul								0	0
of Might	1	1	1	14		7				4	705	str		3	5										glov	belt	boot	ring	amul								0	0
of Brawn	1	1	1	27		13				4	705	str		6	8										glov	belt	boot	ring	amul								0	0
of the Ox	1	1	1	40		20				4	705	str		9	12										glov	belt	boot	ring	amul								0	0
of the Giant	1	1	1	53		26				4	705	str		13	15										glov	belt	boot	ring	amul								0	0
of the Titan	1	1	1	66		33				4	705	str		16	20										glov	belt	boot	ring	amul								0	0
of the Leviathan	1	1	1	80		40				4	705	str		21	25										glov	belt	boot	ring	amul								0	0
of Frailty	1	1		1		0				2	705	str		-1	-5										shld	helm	dbow										0	0
of Strength	1	1	1	1		0				4	705	str		1	2										shld	helm	dbow										0	0
of Might	1	1	1	14		7				4	705	str		3	5										shld	helm	dbow										0	0
of Brawn	1	1	1	27		13				4	705	str		6	8										shld	helm	dbow										0	0
of the Ox	1	1	1	40		20				4	705	str		9	12										shld	helm	dbow										0	0
of the Giant	1	1	1	53		26				4	705	str		13	15										shld	helm	dbow										0	0
of the Titan	1	1	1	66		33				4	705	str		16	20										shld	helm	dbow										0	0
of the Leviathan	1	1	1	80		40				4	705	str		21	25										shld	helm	dbow										0	0
of Strength	1	1	1	1		0				4	705	str		2	4										jewl												0	0
of Might	1	1	1	20		10				4	705	str		5	7										jewl												0	0
of Brawn	1	1	1	76		38				4	705	str		8	10										jewl												0	0
of Atrophy	1	1		1		0				2	706	dex		-1	-6										weap	tors						barb	staf	h2h			0	0
of Dexterity	1	1	1	1		0				6	706	dex		1	3										weap	tors						barb	staf	h2h			0	0
of Skill	1	1	1	14		7				6	706	dex		4	6										weap	tors						barb	staf	h2h			0	0
of Accuracy	1	1	1	27		13				6	706	dex		7	10										weap	tors						barb	staf	h2h			0	0
of Expertise	1	1	1	40		20				6	706	dex		11	15										weap	tors						barb	staf	h2h			0	0
of Mastery	1	1	1	53		26				6	706	dex		16	20										weap	tors						barb	staf	h2h			0	0
of Precision	1	1	1	66		33				6	706	dex		21	35										weap	tors						barb	staf	h2h			0	0
of Perfection	1	1	1	80		40				6	706	dex		36	50										weap	tors						barb	staf	h2h			0	0
of Atrophy	1	1		1		0				2	706	dex		-1	-5										h2h												0	0
of Dexterity	1	1	1	1		0				4	706	dex		1	3										h2h												0	0
of Skill	1	1	1	14		7				4	706	dex		4	6										h2h												0	0
of Accuracy	1	1	1	27		13				4	706	dex		7	10										h2h												0	0
of Expertise	1	1	1	40		20				4	706	dex		11	15										h2h												0	0
of Mastery	1	1	1	53		26				4	706	dex		16	20										h2h												0	0
of Precision	1	1	1	66		33				4	706	dex		21	25										h2h												0	0
of Perfection	1	1	1	80		40				4	706	dex		26	30										h2h												0	0
of Dexterity	1	1	1	1		0				4	706	dex		1	2										dust												0	0
of Skill	1	1	1	15		8				4	706	dex		3	4										dust												0	0
of Accuracy	1	1	1	30		14				4	706	dex		5	7										dust												0	0
of Expertise	1	1	1	44		22				4	706	dex		8	10										dust												0	0
of Mastery	1	1	1	58		29				4	706	dex		11	15										dust												0	0
of Precision	1	1	1	73		36				4	706	dex		16	20										dust												0	0
of Perfection	1	1	1	88		44				4	706	dex		21	30										dust												0	0
of Atrophy	1	1		1		0				2	706	dex		-1	-5										glov	belt	boot	ring	amul	chlm							0	0
of Dexterity	1	1	1	1		0				4	706	dex		1	2										glov	belt	boot	ring	amul	chlm							0	0
of Skill	1	1	1	14		7				4	706	dex		3	5										glov	belt	boot	ring	amul	chlm							0	0
of Accuracy	1	1	1	27		13				4	706	dex		6	8										glov	belt	boot	ring	amul	chlm							0	0
of Expertise	1	1	1	40		20				4	706	dex		9	12										glov	belt	boot	ring	amul	chlm							0	0
of Mastery	1	1	1	53		26				4	706	dex		13	15										glov	belt	boot	ring	amul	chlm							0	0
of Precision	1	1	1	66		33				4	706	dex		16	20										glov	belt	boot	ring	amul	chlm							0	0
of Perfection	1	1	1	80		40				4	706	dex		21	25										glov	belt	boot	ring	amul	chlm							0	0
of Atrophy	1	1		1		0				2	706	dex		-1	-5										shld	ahlm	circ					ashd					0	0
of Dexterity	1	1	1	1		0				4	706	dex		1	2										shld	ahlm	circ					ashd					0	0
of Skill	1	1	1	14		7				4	706	dex		3	5										shld	ahlm	circ					ashd					0	0
of Accuracy	1	1	1	27		13				4	706	dex		6	8										shld	ahlm	circ					ashd					0	0
of Expertise	1	1	1	40		20				4	706	dex		9	12										shld	ahlm	circ					ashd					0	0
of Mastery	1	1	1	53		26				4	706	dex		13	15										shld	ahlm	circ					ashd					0	0
of Precision	1	1	1	66		33				4	706	dex		16	20										shld	ahlm	circ					ashd					0	0
of Perfection	1	1	1	80		40				4	706	dex		21	25										shld	ahlm	circ					ashd					0	0
of Dexterity	1	1	1	1		0				4	706	dex		2	4										jewl												0	0
of Skill	1	1	1	20		10				4	706	dex		5	7										jewl												0	0
of Accuracy	1	1	1	76		38				4	706	dex		8	10										jewl												0	0
of the Fool	1	1		1		0				2	707	enr		-1	-6										rod	stor											0	0
of Energy	1	1	1	1		0				6	707	enr		1	3										rod	stor											0	0
of Magic	1	1	1	14		7				6	707	enr		4	6										rod	stor											0	0
of the Mind	1	1	1	27		13				6	707	enr		7	10										rod	stor											0	0
of Power	1	1	1	40		20				6	707	enr		11	15										rod	stor											0	0
of Sorcery	1	1	1	53		26				6	707	enr		16	20										rod	stor											0	0
of Wizardry	1	1	1	66		33				6	707	enr		21	35										rod	stor											0	0
of Ascendance	1	1	1	80		40				6	707	enr		36	50										rod	stor											0	0
of the Fool	1	1		1		0				2	707	enr		-1	-5										h2h												0	0
of Energy	1	1	1	1		0				4	707	enr		1	3										h2h												0	0
of Magic	1	1	1	14		7				4	707	enr		4	6										h2h												0	0
of the Mind	1	1	1	27		13				4	707	enr		7	10										h2h												0	0
of Power	1	1	1	40		20				4	707	enr		11	15										h2h												0	0
of Sorcery	1	1	1	53		26				4	707	enr		16	20										h2h												0	0
of Wizardry	1	1	1	66		33				4	707	enr		21	25										h2h												0	0
of Ascendance	1	1	1	80		40				4	707	enr		26	30										h2h												0	0
of Energy	1	1	1	1		0				4	707	enr		1	2										dusm	duse											0	0
of Magic	1	1	1	15		8				4	707	enr		3	4										dusm	duse											0	0
of the Mind	1	1	1	30		14				4	707	enr		5	7										dusm	duse											0	0
of Power	1	1	1	44		22				4	707	enr		8	10										dusm	duse											0	0
of Sorcery	1	1	1	58		29				4	707	enr		11	15										dusm	duse											0	0
of Wizardry	1	1	1	73		36				4	707	enr		16	20										dusm	duse											0	0
of Ascendance	1	1	1	88		44				4	707	enr		21	30										dusm	duse											0	0
of the Fool	1	1		1		0				2	707	enr		-1	-5										glov	ring	amul	head	chlm	ashi	nxsh						0	0
of Energy	1	1	1	1		0				4	707	enr		1	2										glov	ring	amul	head	chlm	ashi	nxsh						0	0
of Magic	1	1	1	14		7				4	707	enr		3	5										glov	ring	amul	head	chlm	ashi	nxsh						0	0
of the Mind	1	1	1	27		13				4	707	enr		6	8										glov	ring	amul	head	chlm	ashi	nxsh						0	0
of Power	1	1	1	40		20				4	707	enr		9	12										glov	ring	amul	head	chlm	ashi	nxsh						0	0
of Sorcery	1	1	1	53		26				4	707	enr		13	15										glov	ring	amul	head	chlm	ashi	nxsh						0	0
of Wizardry	1	1	1	66		33				4	707	enr		16	20										glov	ring	amul	head	chlm	ashi	nxsh						0	0
of Ascendance	1	1	1	80		40				4	707	enr		21	25										glov	ring	amul	head	chlm	ashi	nxsh						0	0
of the Fool	1	1		1		0				2	707	enr		-1	-5										circ	pelt	nxhm	nscy									0	0
of Energy	1	1	1	1		0				4	707	enr		1	2										circ	pelt	nxhm	nscy									0	0
of Magic	1	1	1	14		7				4	707	enr		3	5										circ	pelt	nxhm	nscy									0	0
of the Mind	1	1	1	27		13				4	707	enr		6	8										circ	pelt	nxhm	nscy									0	0
of Power	1	1	1	40		20				4	707	enr		9	12										circ	pelt	nxhm	nscy									0	0
of Sorcery	1	1	1	53		26				4	707	enr		13	15										circ	pelt	nxhm	nscy									0	0
of Wizardry	1	1	1	66		33				4	707	enr		16	20										circ	pelt	nxhm	nscy									0	0
of Ascendance	1	1	1	80		40				4	707	enr		21	25										circ	pelt	nxhm	nscy									0	0
of Energy	1	1	1	1		0				4	707	enr		2	4										jewl												0	0
of Magic	1	1	1	20		10				4	707	enr		5	7										jewl												0	0
of the Mind	1	1	1	76		38				4	707	enr		8	10										jewl												0	0
of Illness	1	1		1		0				2	708	vit		-1	-6										scep	tors											0	0
of Vitality	1	1	1	1		0				6	708	vit		1	3										scep	tors											0	0
of Zest	1	1	1	14		7				6	708	vit		4	6										scep	tors											0	0
of Vim	1	1	1	27		13				6	708	vit		7	10										scep	tors											0	0
of Verve	1	1	1	40		20				6	708	vit		11	15										scep	tors											0	0
of Vigor	1	1	1	53		26				6	708	vit		16	20										scep	tors											0	0
of Vivacity	1	1	1	66		33				6	708	vit		21	35										scep	tors											0	0
of Life	1	1	1	80		40				6	708	vit		36	50										scep	tors											0	0
of Vitality	1	1	1	1		0				4	708	vit		1	2										dust												0	0
of Zest	1	1	1	15		8				4	708	vit		3	4										dust												0	0
of Vim	1	1	1	30		14				4	708	vit		5	7										dust												0	0
of Verve	1	1	1	44		22				4	708	vit		8	10										dust												0	0
of Vigor	1	1	1	58		29				4	708	vit		11	15										dust												0	0
of Vivacity	1	1	1	73		36				4	708	vit		16	20										dust												0	0
of Life	1	1	1	88		44				4	708	vit		21	30										dust												0	0
of Illness	1	1		1		0				2	708	vit		-1	-5										belt	boot	ring	amul									0	0
of Vitality	1	1	1	1		0				4	708	vit		1	2										belt	boot	ring	amul									0	0
of Zest	1	1	1	14		7				4	708	vit		3	5										belt	boot	ring	amul									0	0
of Vim	1	1	1	27		13				4	708	vit		6	8										belt	boot	ring	amul									0	0
of Verve	1	1	1	40		20				4	708	vit		9	12										belt	boot	ring	amul									0	0
of Vigor	1	1	1	53		26				4	708	vit		13	15										belt	boot	ring	amul									0	0
of Vivacity	1	1	1	66		33				4	708	vit		16	20										belt	boot	ring	amul									0	0
of Life	1	1	1	80		40				4	708	vit		21	25										belt	boot	ring	amul									0	0
of Illness	1	1		1		0				2	708	vit		-1	-5										shld	helm				circ	nxhm						0	0
of Vitality	1	1	1	1		0				4	708	vit		1	2										shld	helm				circ	nxhm						0	0
of Zest	1	1	1	14		7				4	708	vit		3	5										shld	helm				circ	nxhm						0	0
of Vim	1	1	1	27		13				4	708	vit		6	8										shld	helm				circ	nxhm						0	0
of Verve	1	1	1	40		20				4	708	vit		9	12										shld	helm				circ	nxhm						0	0
of Vigor	1	1	1	53		26				4	708	vit		13	15										shld	helm				circ	nxhm						0	0
of Vivacity	1	1	1	66		33				4	708	vit		16	20										shld	helm				circ	nxhm						0	0
of Life	1	1	1	80		40				4	708	vit		21	25										shld	helm				circ	nxhm						0	0
of Vitality	1	1	1	1		0				4	708	vit		2	4										jewl												0	0
of Zest	1	1	1	20		10				4	708	vit		5	7										jewl												0	0
of Vim	1	1	1	76		38				4	708	vit		8	10										jewl												0	0
of Disease	1	1		1		0				2	709	regen		-1	-5										scep	ashd	pelt	chlm	circ								0	0
of Regeneration	1	1	1	1		0				4	709	regen		1	2										scep	ashd	pelt	chlm	circ								0	0
of Restoration	1	1	1	12		6				4	709	regen		3	5										scep	ashd	pelt	chlm	circ								0	0
of Mending	1	1	1	23		11				4	709	regen		6	10										scep	ashd	pelt	chlm	circ								0	0
of Renewal	1	1	1	34		17				4	709	regen		11	15										scep	ashd	pelt	chlm	circ								0	0
of Revivification	1	1	1	45		22				4	709	regen		16	25										scep	ashd	pelt	chlm	circ								0	0
of Renascence	1	1	1	57		28				4	709	regen		26	35										scep	ashd	pelt	chlm	circ								0	0
of Angels	1	1	1	68		34				4	709	regen		36	50										scep	ashd	pelt	chlm	circ								0	0
of Archangels	1	1	1	80		40				4	709	regen		51	100										scep	ashd	pelt	chlm	circ								0	0
of Disease	1	1		1		0				2	709	regen		-1	-5										ring	amul	belt	helm					pelt	chlm	circ		0	0
of Regeneration	1	1	1	1		0				4	709	regen		1	2										ring	amul	belt	helm					pelt	chlm	circ		0	0
of Restoration	1	1	1	20		10				4	709	regen		3	5										ring	amul	belt	helm					pelt	chlm	circ		0	0
of Mending	1	1	1	40		20				4	709	regen		6	10										ring	amul	belt	helm					pelt	chlm	circ		0	0
of Renewal	1	1	1	60		30				4	709	regen		11	15										ring	amul	belt	helm					pelt	chlm	circ		0	0
of Revivification	1	1	1	80		40				4	709	regen		16	25										ring	amul	belt	helm					pelt	chlm	circ		0	0
of Regeneration	1	1	1	1		0				4	709	regen		1	2										dust												0	0
of Restoration	1	1	1	22		11				4	709	regen		3	5										dust												0	0
of Mending	1	1	1	44		22				4	709	regen		6	10										dust												0	0
of Renewal	1	1	1	66		33				4	709	regen		11	15										dust												0	0
of Revivification	1	1	1	88		44				4	709	regen		16	25										dust												0	0
of Regeneration	1	1	1	4		2				4	709	regen		1	2										jewl												0	0
of Restoration	1	1	1	44		22				4	709	regen		3	5										jewl												0	0
of Mending	1	1	1	84		42				4	709	regen		6	8										jewl												0	0
of Poverty	1	1		5		2				2	710	gold%		-10	-25										tors	helm	glov	ring	amul								0	0
of Wealth	1	1	1	2		1				4	710	gold%		11	25										tors	helm	glov	ring	amul								0	0
of Greed	1	1	1	11		5				4	710	gold%		26	50										tors	helm	glov	ring	amul								0	0
of Riches	1	1	1	19		9				4	710	gold%		51	100										tors	helm	glov	ring	amul								0	0
of Treasure	1	1	1	26		13				4	710	gold%		101	150										tors	helm	glov	ring	amul								0	0
of Prosperity	1	1	1	33		16				4	710	gold%		151	200										tors	helm	glov	ring	amul								0	0
of Royalty	1	1	1	40		20				4	710	gold%		201	250										tors	helm	glov	ring	amul								0	0
of Wealth	1	1	1	2		1				4	710	gold%		11	20										dust												0	0
of Greed	1	1	1	12		6				4	710	gold%		21	40										dust												0	0
of Riches	1	1	1	21		10				4	710	gold%		41	60										dust												0	0
of Treasure	1	1	1	29		14				4	710	gold%		61	100										dust												0	0
of Prosperity	1	1	1	36		18				4	710	gold%		101	150										dust												0	0
of Royalty	1	1	1	44		22				4	710	gold%		151	200										dust												0	0
of Wealth	1	1	1	5		2				4	710	gold%		11	25										jewl												0	0
of Greed	1	1	1	28		14				4	710	gold%		26	50										jewl												0	0
of Curses	1	1		6		3				2	711	mag%		-5	-15										ring	amul											0	0
of Luck	1	1	1	6		3				4	711	mag%		5	10										ring	amul											0	0
of Fortune	1	1	1	20		10				4	711	mag%		11	15										ring	amul											0	0
of Fate	1	1	1	35		17				4	711	mag%		16	25										ring	amul											0	0
of Plenty	1	1	1	50		25				4	711	mag%		26	30										ring	amul											0	0
of Providence	1	1	1	65		32				4	711	mag%		31	40										ring	amul											0	0
of Destiny	1	1	1	80		40				4	711	mag%		41	50										ring	amul											0	0
of Curses	1	1		6		3				2	711	mag%		-5	-15										weap	armo											0	0
of Luck	1	1	1	20		10				4	711	mag%		5	10										weap	armo											0	0
of Fortune	1	1	1	35		17				4	711	mag%		11	15										weap	armo											0	0
of Fate	1	1	1	50		25				4	711	mag%		16	25										weap	armo											0	0
of Plenty	1	1	1	65		32				4	711	mag%		26	30										weap	armo											0	0
of Providence	1	1	1	80		40				4	711	mag%		31	40										weap	armo											0	0
of Luck	1	1	1	22		11				4	711	mag%		5	10										dust												0	0
of Fortune	1	1	1	39		19				4	711	mag%		11	15										dust												0	0
of Fate	1	1	1	55		28				4	711	mag%		16	25										dust												0	0
of Plenty	1	1	1	72		35				4	711	mag%		26	30										dust												0	0
of Providence	1	1	1	88		44				4	711	mag%		31	40										dust												0	0
of Luck	1	1	1	6		3				4	711	mag%		5	10										jewl												0	0
of Fortune	1	1	1	38		19				4	711	mag%		11	15										jewl												0	0
of Fate	1	1	1	84		42				4	711	mag%		16	20										jewl												0	0
of the Bear	1	1	1	8		4				4	712	knock		1	1										mele							staf	wand	orb			0	0
of the Bear	1	1	1	72		36				4	712	knock		1	1										phlm												0	0
of the Vulture	1	1		1		0				2	713	hp		-1	-10										tors	helm	shld					circ	ahlm	nxhm			0	0
of the Jackal	1	1	1	1		0				4	713	hp		1	5										tors	helm	shld					circ	ahlm	nxhm			0	0
of the Fox	1	1	1	11		5				4	713	hp		6	10										tors	helm	shld					circ	ahlm	nxhm			0	0
of the Jaguar	1	1	1	21		10				4	713	hp		11	15										tors	helm	shld					circ	ahlm	nxhm			0	0
of the Eagle	1	1	1	31		15				4	713	hp		16	20										tors	helm	shld					circ	ahlm	nxhm			0	0
of the Wolf	1	1	1	41		20				4	713	hp		21	25										tors	helm	shld					circ	ahlm	nxhm			0	0
of the Tiger	1	1	1	51		25				4	713	hp		26	30										tors	helm	shld					circ	ahlm	nxhm			0	0
of the Mammoth	1	1	1	61		30				4	713	hp		31	35										tors	helm	shld					circ	ahlm	nxhm			0	0
of the Whale	1	1	1	71		35				4	713	hp		36	40										tors	helm	shld					circ	ahlm	nxhm			0	0
of the Colosuss	1	1	1	80		40				4	713	hp		41	50										tors	helm	shld					circ	ahlm	nxhm			0	0
of the Vulture	1	1		1		0				2	713	hp		-1	-10										scep	pasd	pama	belt	ring	amul	boot						0	0
of the Jackal	1	1	1	1		0				4	713	hp		1	5										scep	pasd	pama	belt	ring	amul	boot						0	0
of the Fox	1	1	1	12		5				4	713	hp		6	10										scep	pasd	pama	belt	ring	amul	boot						0	0
