Name	*StringName	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	*IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl	MonLvl(N)	MonLvl(H)	MonLvlEx	MonLvlEx(N)	MonLvlEx(H)	MonDen	MonDen(N)	MonDen(H)	*Laz/OrUM	*Laz/OrUX	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	mon21	mon22	mon23	mon24	mon25	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	nmon21	nmon22	nmon23	nmon24	nmon25	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	umon21	umon22	umon23	umon24	umon25	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	LevelEntry	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7
Act 1 - Cave 3	Underground Passage Level 1	10	0	0			3	100	100	100	100	100	100	1500	1600	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	4	5	0	0	14	0	0	0	4	4	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	4	29	54	4	37	69	520	520	520	1	1	1	1	4	6	6	8	1	0	4	laz_goat1	laz_skeleton2	laz_arach1	laz_sk_archer2																							laz_goat1	laz_skeleton2	laz_arach1	laz_sk_archer2																						laz_skeleton2	laz_arach1	laz_sk_archer2																							rat	bat			30	30							0	4	255	Underground Passage Level 1	To Underground Passage Level 1	EnteringUndergroundPassageLevel1	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0
Act 1 - Cave 4	Hole Level 1	11	0	0			4	200	200	200	200	200	200	1500	1900	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	6	0	0	0	15	0	0	0	4	-1	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	5	30	55	5	38	80	520	520	520	1	1	1	1	4	6	6	8	1	0	4	laz_skeleton3	laz_fallenshaman4	laz_sandleapersuper1	laz_sk_archer3																							laz_skeleton3	laz_fallenshaman4	laz_sandleapersuper1	laz_sk_archer3																						laz_skeleton3	laz_fallenshaman4	laz_sandleapersuper1	laz_sk_archer3																						rat	bat			30	30							0	4	255	Hole Level 1	To The Hole Level 1	EnteringTheHoleLevel1	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0
Act 1 - Cave 5	Pit Level 1	12	0	0			5	200	200	200	200	200	200	1500	2200	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	7	0	0	0	16	0	0	0	4	-1	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	32	57	7	39	85	520	520	520	1	1	1	1	4	6	6	8	1	0	3	laz_goat2	laz_skeleton4	laz_sk_archer4																								laz_goat2	laz_skeleton4	laz_sk_archer4																							laz_skeleton4	laz_sk_archer4																								rat	bat			30	30							0	4	255	Pit Level 1	To The Pit Level 1	EnteringThePitLevel1	6	4	0	0	0	0	0	0	30	6	0	0	0	0	0	0
Act 1 - Cave 2 Treasure	Cave Level 2	13	0	0			6	24	24	24	24	24	24	1500	2500	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	9	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	2	27	52	2	37	78	600	600	600	1	2	1	2	2	3	2	3	1	0	6	laz_zombie2	laz_brutesuper1	laz_rogue2	laz_lancer2	laz_fallenshaman2	laz_deathmaulersuper1																					laz_zombie2	laz_brutesuper1	laz_rogue2	laz_lancer2	laz_fallenshaman2	laz_deathmaulersuper1																				laz_zombie2	laz_rogue2	laz_lancer2	laz_fallenshaman2	laz_deathmaulersuper1																					rat	bat			30	30							0	4	255	Cave Level 2	To The Cave Level 2	EnteringTheCaveLevel2	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
Act 1 - Cave 3 Treasure	Underground Passage Level 2	14	0	0			7	24	24	24	24	24	24	1500	2624	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	10	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	4	29	54	4	38	85	600	600	600	1	2	1	2	2	3	3	5	1	0	4	laz_goat1	laz_skeleton2	laz_arach1	laz_sk_archer2																							laz_goat1	laz_skeleton2	laz_arach1	laz_sk_archer2																						laz_skeleton2	laz_arach1	laz_sk_archer2																							rat	bat			30	30							0	4	255	Underground Passage Level 2	To Underground Passage Level 2	EnteringUndergroundPassageLevel2	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
Act 1 - Cave 4 Treasure	Hole Level 2	15	0	0			8	24	24	24	24	24	24	1500	2748	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	11	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	3800	5	30	55	5	39	81	600	600	600	1	2	1	2	2	3	2	3	1	0	4	laz_skeleton3	laz_fallenshaman4	laz_sandleapersuper1	laz_sk_archer3																							laz_skeleton3	laz_fallenshaman4	laz_sandleapersuper1	laz_sk_archer3																						laz_skeleton3	laz_fallenshaman4	laz_sandleapersuper1	laz_sk_archer3																						rat	bat			30	30							0	4	255	Hole Level 2	To The Hole Level 2	EnteringTheHoleLevel2	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
Act 1 - Cave 5 Treasure	Pit Level 2	16	0	0			9	24	24	24	24	24	24	1500	2872	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	12	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	32	57	7	40	85	600	600	600	1	2	1	2	2	3	2	3	1	0	3	laz_goat2	laz_skeleton4	laz_sk_archer4																								laz_goat2	laz_skeleton4	laz_sk_archer4																							laz_skeleton4	laz_sk_archer4																								rat	bat			30	30							0	4	255	Pit Level 2	To The Pit Level 2	EnteringThePitLevel2	6	4	0	0	0	0	0	0	25	6	0	0	0	0	0	0
Act 1 - Graveyard	Burial Grounds	17	0	0			0	40	48	40	48	40	48	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	-1	-1	-1	-1	18	19	0	0	0	0	0	0	6	7	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	3	28	53	3	36	80	520	520	520									1	0	7	laz_zombie2	laz_rogue2	laz_lancer2	laz_skeleton2	laz_wraith1	laz_cr_archer2	laz_sk_archer2																				laz_zombie2	laz_rogue2	laz_lancer2	laz_skeleton2	laz_wraith1	laz_cr_archer2	laz_sk_archer2																			laz_zombie2	laz_rogue2	laz_lancer2	laz_skeleton2	laz_wraith1	laz_cr_archer2	laz_sk_archer2																															0	2	255	Burial Grounds	To The Burial Grounds	EnteringTheBurialGrounds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Act 1 - Crypt 1 A	Crypt	18	0	0			10	200	200	200	200	200	200	2000	1000	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	17	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	3	28	53	3	37	83	720	720	720					3	4	4	5	1	0	5	laz_zombie2	laz_skeleton2	laz_arach1	laz_wraith1	laz_sk_archer2																						laz_zombie2	laz_skeleton2	laz_arach1	laz_wraith1	laz_sk_archer2																					laz_zombie2	laz_skeleton2	laz_arach1	laz_wraith1	laz_sk_archer2																					rat	bat			30	30							8	5	255	Crypt	To The Crypt	EnteringTheCrypt	7	8	9	10	0	0	0	0	75	4	50	75	0	0	0	0
Act 1 - Crypt 2 A	Mausoleum	19	0	0			11	200	200	200	200	200	200	2000	1300	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	17	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	3	28	53	3	37	85	720	720	720					3	4	4	5	1	0	5	laz_zombie2	laz_skeleton2	laz_arach1	laz_wraith1	laz_sk_archer2																						laz_zombie2	laz_skeleton2	laz_arach1	laz_wraith1	laz_sk_archer2																					laz_zombie2	laz_skeleton2	laz_arach1	laz_wraith1	laz_sk_archer2																					rat	bat			30	30							8	5	255	Mausoleum	To The Mausoleum	EnteringTheMausoleum	7	8	9	10	0	0	0	0	75	4	50	75	0	0	0	0
Act 1 - Tower 2	Forgotten Tower	20	0	0			12	8	8	8	8	8	8	2000	1600	0	1	0	0	0	1	1	1	0	1	2	2	-1	-1	-1	-1	6	21	0	0	0	0	0	0	11	12	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	100	7	32	57				0	0	0									1	0																																																																														rat	bat			30	30							0	5	255	Forgotten Tower	To The Forgotten Tower	EnteringTheForgottenTower	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Act 1 - Crypt 3 A	Tower Cellar Level 1	21	0	0			13	200	200	200	200	200	200	2500	1000	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	20	22	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	32	57	7	38	75	1024	1024	1024					2	3	3	4	1	0	4	laz_goat2	laz_lancer3	laz_skeleton4	laz_sk_archer4																							laz_goat2	laz_lancer3	laz_skeleton4	laz_sk_archer4																						laz_lancer3	laz_skeleton4	laz_sk_archer4																							rat	bat			30	30							8	5	255	Tower Cellar Level 1	To The Tower Cellar Level 1	EnteringTheTowerCellarLevel1	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
Act 1 - Crypt 3 B	Tower Cellar Level 2	22	0	0			14	200	200	200	200	200	200	2500	1300	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	21	23	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	32	57	7	39	76	1024	1024	1024					2	3	3	4	1	0	4	laz_goat2	laz_lancer3	laz_skeleton4	laz_sk_archer4																							laz_goat2	laz_lancer3	laz_skeleton4	laz_sk_archer4																						laz_lancer3	laz_skeleton4	laz_sk_archer4																							rat	bat			30	30							8	5	255	Tower Cellar Level 2	To The Tower Cellar Level 2	EnteringTheTowerCellarLevel2	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
Act 1 - Crypt 3 C	Tower Cellar Level 3	23	0	0			15	200	200	200	200	200	200	2500	1600	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	22	24	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	32	57	7	40	77	1024	1024	1024					2	3	3	4	1	0	4	laz_goat2	laz_lancer3	laz_skeleton4	laz_sk_archer4																							laz_goat2	laz_lancer3	laz_skeleton4	laz_sk_archer4																						laz_lancer3	laz_skeleton4	laz_sk_archer4																							rat	bat			30	30							8	5	255	Tower Cellar Level 3	To The Tower Cellar Level 3	EnteringTheTowerCellarLevel3	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
Act 1 - Crypt 3 D	Tower Cellar Level 4	24	0	0			16	200	200	200	200	200	200	2500	1900	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	23	25	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	32	57	7	41	78	1024	1024	1024	1	1	1	1	2	3	3	4	1	0	4	laz_goat2	laz_lancer3	laz_skeleton4	laz_sk_archer4																							laz_goat2	laz_lancer3	laz_skeleton4	laz_sk_archer4																						laz_lancer3	laz_skeleton4	laz_sk_archer4																							rat	bat			30	30							8	5	255	Tower Cellar Level 4	To The Tower Cellar Level 4	EnteringTheTowerCellarLevel4	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
Act 1 - Crypt 3 E	Tower Cellar Level 5	25	0	0			17	30	30	30	30	30	30	2500	2200	0	1	0	0	0	1	1	1	0	1	2	4	-1	-1	-1	-1	24	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	1535	7	32	57	7	42	79	1024	1024	1024	1	1	1	1	2	3	3	4	1	0	5	laz_goat2	laz_lancer3	laz_skeleton4	laz_sk_archer4	laz_vampire1																						laz_goat2	laz_lancer3	laz_skeleton4	laz_sk_archer4	laz_vampire1																					laz_lancer3	laz_skeleton4	laz_sk_archer4																							rat	bat			30	30							8	5	255	Tower Cellar Level 5	To The Tower Cellar Level 5	EnteringTheTowerCellarLevel5	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
Act 1 - Monastery	Monastery Gate	26	0	0			0	64	18	64	18	64	18	3000	1000	0	1	0	0	0	1	1	1	0	0	2	5	-1	-1	-1	-1	0	27	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	8	33	58	8	40	70	600	600	600	1	1	1	1	1	1	1	2	1	0	5	laz_zombie3	laz_rogue3	laz_lancer3	laz_fallenshaman5	laz_brutesuper3																						laz_zombie3	laz_rogue3	laz_lancer3	laz_fallenshaman5	laz_brutesuper3																					laz_zombie3	laz_rogue3	laz_lancer3	laz_fallenshaman5																																		48	6	255	Monastery Gate	To The Monastery Gate	EnteringTheMonasteryGate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Act 1 - Courtyard 1	Outer Cloister	27	0	0			0	56	40	56	40	56	40	0	-40	26	1	0	0	0	1	1	1	0	0	2	6	-1	-1	-1	-1	26	28	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	1	0	1	0	2025	9	34	59	9	40	70	600	600	600	1	1	1	1	1	2	2	3	1	0	5	laz_zombie3	laz_rogue3	laz_lancer3	laz_fallenshaman5	laz_cr_archer3																						laz_zombie3	laz_rogue3	laz_lancer3	laz_fallenshaman5	laz_cr_archer3																					laz_zombie3	laz_rogue3	laz_lancer3	laz_fallenshaman5	laz_cr_archer3																																	0	7	5	Outer Cloister	To The Outer Cloister	EnteringTheOuterCloister	14	15	0	0	0	0	0	0	7	33	0	0	0	0	0	0
Act 1 - Barracks	Barracks	28	0	0			0	100	100	100	100	100	100	-1	-1	0	1	0	0	0	1	1	1	0	1	1	7	-1	-1	-1	-1	27	29	0	0	0	0	0	0	-1	14	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	9	34	59	9	40	70	680	680	680	1	1	1	1	4	5	6	8	1	0	5	laz_zombie3	laz_rogue3	laz_lancer3	laz_skeleton3	laz_sk_archer3																						laz_zombie3	laz_rogue3	laz_lancer3	laz_skeleton3	laz_sk_archer3																					laz_zombie3	laz_rogue3	laz_lancer3	laz_skeleton3	laz_sk_archer3																					rat	bat			30	30							8	8	255	Barracks	To The Barracks	EnteringTheBarracks	51	3	17	0	0	0	0	0	9	35	25	0	0	0	0	0
Act 1 - Jail 1	Jail Level 1	29	0	0			18	75	75	75	75	75	75	3500	1000	0	1	0	0	0	1	1	1	0	1	1	8	-1	-1	-1	-1	28	30	0	0	0	0	0	0	13	14	-1	-1	-1	-1	-1	-1	0	255	255	255	1	0	1	0	2025	10	35	60	10	41	71	680	680	680	1	1	1	1	4	5	6	8	1	1	7	laz_skeleton3	laz_batdemon2	laz_wraith2	laz_bigheadsuper1	laz_sk_archer3	laz_lancer3	laz_rogue3																				laz_skeleton3	laz_batdemon2	laz_wraith2	laz_bigheadsuper1	laz_sk_archer3	laz_lancer3	laz_rogue3																			laz_skeleton3	laz_batdemon2	laz_wraith2	laz_bigheadsuper1	laz_sk_archer3	laz_lancer3	laz_rogue3																			rat	bat			30	30							8	8	6	Jail Level 1	To The Jail Level 1	EnteringTheJailLevel1	51	15	3	0	0	0	0	0	11	50	35	0	0	0	0	0
Act 1 - Jail 2	Jail Level 2	30	0	0			19	75	75	75	75	75	75	3500	1300	0	1	0	0	0	1	1	1	0	1	1	8	-1	-1	-1	-1	29	31	0	0	0	0	0	0	13	14	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	10	35	60	10	41	71	680	680	680	1	1	1	1	4	5	6	8	1	1	7	laz_skeleton3	laz_batdemon2	laz_wraith2	laz_bigheadsuper1	laz_cr_archer3	laz_sk_archer3	laz_lancer3																				laz_skeleton3	laz_batdemon2	laz_wraith2	laz_bigheadsuper1	laz_cr_archer3	laz_sk_archer3	laz_lancer3																			laz_skeleton3	laz_batdemon2	laz_wraith2	laz_bigheadsuper1	laz_cr_archer3	laz_sk_archer3	laz_lancer3																			rat	bat			30	30							8	8	255	Jail Level 2	To The Jail Level 2	EnteringTheJailLevel2	51	15	3	0	0	0	0	0	13	50	45	0	0	0	0	0
