Name	*Rune Name	complete	server	*Patch Release	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*RunesUsed	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	*eol			
LazRuneword11	Brotherhood	1		11	pole	"Polearm\n\""KurSurNefThulAth\"""	"\n\"""	"\"""	Brotherhood: Polearm - KurSurNefThulAth			Polearm		KurSurNefThulAth	r36	r29	r04	r10	r39		vit%		5	5	stupidity		1	1	att%		25	25	dmg-min		2	2	str%		5	5	#N/B		#N/B	#N/B								
LazRuneword12	Burlesque	1		12	thro	"Throwing Weapon\n\""NefRal\"""	"\n\"""	"\"""	Burlesque: Throwing Weapon - NefRal			Throwing Weapon		NefRal	r04	r08					att%		25	25	dmg-fire		35	35	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword13	Cannonball	1		13	helm	"Helm\n\""EldIth\"""	"\n\"""	"\"""	Cannonball: Helm - EldIth			Helm		EldIth	r02	r06					regen-stam		25	25	rep-dur		0	0	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword14	Cathedral	1		14	belt	"Belt\n\""IstKo\"""	"\n\"""	"\"""	Cathedral: Belt - IstKo			Belt		IstKo	r24	r18					mag%		20	20	dex		8	8	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword15	Cauldron	1		15	boot	"Boots\n\""KoLah\"""	"\n\"""	"\"""	Cauldron: Boots - KoLah			Boots		KoLah	r18	r35					dex		8	8	addxp		2	2	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword16	Checkmate	1		16	wand	"Wand\n\""OrtDol\"""	"\n\"""	"\"""	Checkmate: Wand - OrtDol			Wand		OrtDol	r09	r14					dmg-ltng		50	50	pois-spell-dur		15	15	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword17	Colliding Worlds	1		17	wand	"Wand\n\""ShaRha\"""	"\n\"""	"\"""	Colliding Worlds: Wand - ShaRha			Wand		ShaRha	r34	r42					slow		8	8	heal-hit		1	1	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword18	Dawn	1		18	swor	"Sword\n\""IthRal\"""	"\n\"""	"\"""	Dawn: Sword - IthRal			Sword		IthRal	r06	r08					rep-dur		0	0	dmg-fire		35	35	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword19	Dirge	1		19	xbow	"Crossbow\n\""VexHelLoAmn\"""	"\n\"""	"\"""	Dirge: Crossbow - VexHelLoAmn			Crossbow		VexHelLoAmn	r26	r15	r28	r11			mana-hit		1	1	gold%		50	50	timer%		-2	-2	openwounds		10	10	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword20	Dragonfly	1		20	bow	"Bow\n\""TirElIth\"""	"\n\"""	"\"""	Dragonfly: Bow - TirElIth			Bow		TirElIth	r03	r01	r06				mana-kill		2	2	levelreq		-2	-2	rep-dur		0	0	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword21	Edge of Infinity	1		21	pole	"Polearm\n\""AmnFalRal\"""	"\n\"""	"\"""	Edge of Infinity: Polearm - AmnFalRal		scyh	Polearm		AmnFalRal	r11	r19	r08				openwounds		10	10	str		8	8	dmg-fire		35	35	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword22	Epicenter	1		22	tors	"Body Armor\n\""NefIthEld\"""	"\n\"""	"\"""	Epicenter: Body Armor - NefIthEld			Body Armor		NefIthEld	r04	r06	r02				att%		15	15	rep-dur		0	0	regen-stam		25	25	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword23	Eventide	1		23	belt	"Belt\n\""TirNef\"""	"\n\"""	"\"""	Eventide: Belt - TirNef			Belt		TirNef	r03	r04					mana		10	10	att%		15	15	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword24	Gauntlet	1		24	xbow	"Crossbow\n\""LahSurPulPulPul\"""	"\n\"""	"\"""	Gauntlet: Crossbow - LahSurPulPulPul			Crossbow		LahSurPulPulPul	r35	r29	r21	r21	r21		addxp		2	2	stupidity		1	1	cast3		10	10	cast3		10	10	cast3		10	10	#N/B		#N/B	#N/B								
LazRuneword25	Genie	1		25	spea	"Spear\n\""EthTalEth\"""	"\n\"""	"\"""	Genie: Spear - EthTalEth			Spear		EthTalEth	r05	r07	r05				reduce-ac		25	25	dmg-cold		30	30	reduce-ac		25	25	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword26	Grace	1		26	bonk	"Blunt Weapon\n\""ThurGulCham\"""	"\n\"""	"\"""	Grace: Blunt Weapon - ThurGulCham		scep	Blunt Weapon		ThurGulCham	r38	r25	r32				dex%		5	5	cold-spell-dur		15	15	knock		1	1	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword27	Grail	1		27	shld	"Shield\n\""OhmDolSur\"""	"\n\"""	"\"""	Grail: Shield - OhmDolSur			Shield		OhmDolSur	r27	r14	r29				ac%		10	10	res-pois-len		20	20	stupid-thorns		1	1	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword28	Hornet	1		28	xbow	"Crossbow\n\""ThulShael\"""	"\n\"""	"\"""	Hornet: Crossbow - ThulShael			Crossbow		ThulShael	r10	r13					dmg-min		2	2	dmg-ac		-25	-25	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword29	Instinct	1		29	spea	"Spear\n\""FalGulBerKo\"""	"\n\"""	"\"""	Instinct: Spear - FalGulBerKo			Spear		FalGulBerKo	r19	r25	r30	r18			str		8	8	cold-spell-dur		15	15	crush		5	5	dex		8	8	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword30	Judge	1		30	scyh	"Scythe\n\""EldOrtNef\"""	"\n\"""	"\"""	Judge: Scythe - EldOrtNef			Scythe		EldOrtNef	r02	r09	r04				dmg-undead		30	30	dmg-ltng		50	50	att%		25	25	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword31	Koan	1		31	thro	"Throwing Weapon\n\""EldFal\"""	"\n\"""	"\"""	Koan: Throwing Weapon - EldFal			Throwing Weapon		EldFal	r02	r19					dmg-undead		30	30	str		8	8	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword32	Kodiak	1		32	pole	"Polearm\n\""TalElEth\"""	"\n\"""	"\"""	Kodiak: Polearm - TalElEth		scyh	Polearm		TalElEth	r07	r01	r05				dmg-cold		30	30	levelreq		-2	-2	reduce-ac		25	25	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword33	Lynx	1		33	h2h	"Claw\n\""ChamOrtKo\"""	"\n\"""	"\"""	Lynx: Claw - ChamOrtKo			Claw		ChamOrtKo	r32	r09	r18				knock		1	1	dmg-ltng		50	50	dex		8	8	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword34	Manitou	1		34	bow	"Bow\n\""TirZodIstFal\"""	"\n\"""	"\"""	Manitou: Bow - TirZodIstFal			Bow		TirZodIstFal	r03	r33	r24	r19			mana-kill		2	2	indestruct		1	1	mag%		20	20	str		8	8	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword35	Mantra	1		35	scep	"Scepter\n\""LemBerUm\"""	"\n\"""	"\"""	Mantra: Scepter - LemBerUm			Scepter		LemBerUm	r20	r30	r22				summon-dmg%		15	15	crush		5	5	swing3		10	10	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword36	Mercy	1		36	bow	"Bow\n\""LumNefOrt\"""	"\n\"""	"\"""	Mercy: Bow - LumNefOrt			Bow		LumNefOrt	r17	r04	r09				enr		8	8	att%		25	25	dmg-ltng		50	50	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword37	Moon	1		37	staf	"Staff\n\""LoIxKraVithQorIo\"""	"\n\"""	"\"""	Moon: Staff - LoIxKraVithQorIo			Staff		LoIxKraVithQorIo	r28	r37	r40	r41	r47	r16	timer%		-2	-2	enr%		5	5	heal-kill		4	4	freeze		1	1	pierce-all		5	5	vit		8	8								
LazRuneword38	Naiad	1		38	orb	"Orb\n\""EldTal\"""	"\n\"""	"\"""	Naiad: Orb - EldTal			Orb		EldTal	r02	r07					dmg-undead		30	30	dmg-cold		30	30	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword39	Nightfall	1		39	thro	"Throwing Weapon\n\""AmnCham\"""	"\n\"""	"\"""	Nightfall: Throwing Weapon - AmnCham			Throwing Weapon		AmnCham	r11	r32					openwounds		10	10	knock		1	1	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword40	Nomad	1		40	shld	"Shield\n\""TalOrtRal\"""	"\n\"""	"\"""	Nomad: Shield - TalOrtRal			Shield		TalOrtRal	r07	r09	r08				abs-cold%		5	5	abs-ltng%		5	5	abs-fire%		5	5	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword41	Oblivion	1		41	pole	"Polearm\n\""ChamBerDolBer\"""	"\n\"""	"\"""	Oblivion: Polearm - ChamBerDolBer		scyh	Polearm		ChamBerDolBer	r32	r30	r14	r30			knock		1	1	crush		5	5	pois-spell-dur		15	15	crush		5	5	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword42	Ocean	1		42	belt	"Belt\n\""ShaelKo\"""	"\n\"""	"\"""	Ocean: Belt - ShaelKo			Belt		ShaelKo	r13	r18					ac		15	15	dex		8	8	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword43	Oriflamme	1		43	shld	"Shield\n\""OhmKurBer\"""	"\n\"""	"\"""	Oriflamme: Shield - OhmKurBer			Shield		OhmKurBer	r27	r36	r30				ac%		10	10	vit%		5	5	thorns%		25	25	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword44	Peacock	1		44	spea	"Spear\n\""ElLemSol\"""	"\n\"""	"\"""	Peacock: Spear - ElLemSol			Spear		ElLemSol	r01	r20	r12				levelreq		-2	-2	summon-dmg%		15	15	ease		-10	-10	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword45	Prodigy	1		45	staf	"Staff\n\""TirElEld\"""	"\n\"""	"\"""	Prodigy: Staff - TirElEld			Staff		TirElEld	r03	r01	r02				mana-kill		2	2	levelreq		-2	-2	dmg-undead		30	30	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword46	Prophecy	1		46	wand	"Wand\n\""BerOhm\"""	"\n\"""	"\"""	Prophecy: Wand - BerOhm			Wand		BerOhm	r30	r27					crush		5	5	dmg%		10	10	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword47	Purgatory	1		47	tors	"Body Armor\n\""AmnLemVithAth\"""	"\n\"""	"\"""	Purgatory: Body Armor - AmnLemVithAth			Body Armor		AmnLemVithAth	r11	r20	r41	r39			regen		6	6	summon-ac%		15	15	nofreeze		1	1	str%		5	5	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword48	Quiet	1		48	h2h	"Claw\n\""KraTaha\"""	"\n\"""	"\"""	Quiet: Claw - KraTaha			Claw		KraTaha	r40	r45					heal-kill		4	4	howl		14	14	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword49	Rage	1		49	spea	"Spear\n\""LumLemQorGulBer\"""	"\n\"""	"\"""	Rage: Spear - LumLemQorGulBer			Spear		LumLemQorGulBer	r17	r20	r47	r25	r30		enr		8	8	summon-dmg%		15	15	pierce-all		5	5	cold-spell-dur		15	15	crush		5	5	#N/B		#N/B	#N/B								
LazRuneword50	Raid	1		50	glov	"Gloves\n\""SolLum\"""	"\n\"""	"\"""	Raid: Gloves - SolLum			Gloves		SolLum	r12	r17					ease		-10	-10	enr		8	8	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword51	Rainbow	1		51	orb	"Orb\n\""KrysTal\"""	"\n\"""	"\"""	Rainbow: Orb - KrysTal			Orb		KrysTal	r44	r07					noheal		1	1	dmg-cold		30	30	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword52	Riddle	1		52	thro	"Throwing Weapon\n\""VithThur\"""	"\n\"""	"\"""	Riddle: Throwing Weapon - VithThur			Throwing Weapon		VithThur	r41	r38					freeze		1	1	dex%		5	5	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword53	Riot	1		53	bonk	"Blunt Weapon\n\""OrtIth\"""	"\n\"""	"\"""	Riot: Blunt Weapon - OrtIth		scep	Blunt Weapon		OrtIth	r09	r06					dmg-ltng		50	50	rep-dur		0	0	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword54	Riptide	1		54	swor	"Sword\n\""VexRhaKur\"""	"\n\"""	"\"""	Riptide: Sword - VexRhaKur			Sword		VexRhaKur	r26	r42	r36				mana-hit		1	1	heal-hit		1	1	vit%		5	5	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword55	Scar	1		55	helm	"Helm\n\""IthLem\"""	"\n\"""	"\"""	Scar: Helm - IthLem			Helm		IthLem	r06	r20					rep-dur		0	0	summon-ac%		15	15	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword56	Shark	1		56	boot	"Boots\n\""EthNef\"""	"\n\"""	"\"""	Shark: Boots - EthNef			Boots		EthNef	r05	r04					stamdrain		15	15	att%		15	15	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword57	Shockwave	1		57	axe	"Axe\n\""ShaelHel\"""	"\n\"""	"\"""	Shockwave: Axe - ShaelHel		taxe	Axe		ShaelHel	r13	r15					dmg-ac		-25	-25	gold%		50	50	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword58	Skald	1		58	swor	"Sword\n\""ElAmnShael\"""	"\n\"""	"\"""	Skald: Sword - ElAmnShael			Sword		ElAmnShael	r01	r11	r13				levelreq		-2	-2	openwounds		10	10	dmg-ac		-25	-25	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword59	Snowblind	1		59	bow	"Bow\n\""XarKoKraLah\"""	"\n\"""	"\"""	Snowblind: Bow - XarKoKraLah			Bow		XarKoKraLah	r43	r18	r40	r35			dmg-global		15	15	dex		8	8	heal-kill		4	4	addxp		2	2	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword60	Sphinx	1		60	shld	"Shield\n\""AmnIoFal\"""	"\n\"""	"\"""	Sphinx: Shield - AmnIoFal			Shield		AmnIoFal	r11	r16	r19				regen		6	6	vit		8	8	str		8	8	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword61	Stardust	1		61	glov	"Gloves\n\""SurCham\"""	"\n\"""	"\"""	Stardust: Gloves - SurCham			Gloves		SurCham	r29	r32					stupid-thorns		1	1	move3		3	3	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword62	Summit	1		62	scep	"Scepter\n\""SolLum\"""	"\n\"""	"\"""	Summit: Scepter - SolLum			Scepter		SolLum	r12	r17					ease		-10	-10	enr		8	8	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword63	Sunfire	1		63	axe	"Axe\n\""KurTahaSha\"""	"\n\"""	"\"""	Sunfire: Axe - KurTahaSha		taxe	Axe		KurTahaSha	r36	r45	r34				vit%		5	5	howl		14	14	slow		8	8	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword64	Sway of the Stars	1		64	staf	"Staff\n\""HelRalHel\"""	"\n\"""	"\"""	Sway of the Stars: Staff - HelRalHel			Staff		HelRalHel	r15	r08	r15				gold%		50	50	dmg-fire		35	35	gold%		50	50	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword65	Temple	1		65	belt	"Belt\n\""ShaGhal\"""	"\n\"""	"\"""	Temple: Belt - ShaGhal			Belt		ShaGhal	r34	r46					slow-thorns		8	8	red-dmg%		5	5	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword66	Thunderbird	1		66	glov	"Gloves\n\""OrtNef\"""	"\n\"""	"\"""	Thunderbird: Gloves - OrtNef			Gloves		OrtNef	r09	r04					res-ltng		20	20	att%		15	15	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword67	Titan	1		67	scep	"Scepter\n\""LoKrys\"""	"\n\"""	"\"""	Titan: Scepter - LoKrys			Scepter		LoKrys	r28	r44					timer%		-2	-2	noheal		1	1	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword68	Tombstone	1		68	scyh	"Scythe\n\""ThulTalAmn\"""	"\n\"""	"\"""	Tombstone: Scythe - ThulTalAmn			Scythe		ThulTalAmn	r10	r07	r11				dmg-min		2	2	dmg-cold		30	30	openwounds		10	10	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword69	Triune	1		69	scyh	"Scythe\n\""SolMalLumSur\"""	"\n\"""	"\"""	Triune: Scythe - SolMalLumSur			Scythe		SolMalLumSur	r12	r23	r17	r29			ease		-10	-10	dmg-pois		256	256	enr		8	8	stupidity		1	1	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword70	Truename	1		70	bonk	"Blunt Weapon\n\""FalLemBer\"""	"\n\"""	"\"""	Truename: Blunt Weapon - FalLemBer		scep	Blunt Weapon		FalLemBer	r19	r20	r30				str		8	8	summon-dmg%		15	15	crush		5	5	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword71	Unicorn	1		71	orb	"Orb\n\""DolOrt\"""	"\n\"""	"\"""	Unicorn: Orb - DolOrt			Orb		DolOrt	r14	r09					pois-spell-dur		15	15	dmg-ltng		50	50	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword72	Unity	1		72	tors	"Body Armor\n\""UmLoOhm\"""	"\n\"""	"\"""	Unity: Body Armor - UmLoOhm			Body Armor		UmLoOhm	r22	r28	r27				balance3		10	10	timer%		-2	-2	ac%		10	10	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword73	Valkyrie	1		73	boot	"Boots\n\""SolThul\"""	"\n\"""	"\"""	Valkyrie: Boots - SolThul			Boots		SolThul	r12	r10					ease		-10	-10	red-dmg		2	2	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword74	Vertigo	1		74	axe	"Axe\n\""GulLumUm\"""	"\n\"""	"\"""	Vertigo: Axe - GulLumUm		taxe	Axe		GulLumUm	r25	r17	r22				cold-spell-dur		15	15	enr		8	8	swing3		10	10	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword75	Victory	1		75	tors	"Body Armor\n\""IoKo\"""	"\n\"""	"\"""	Victory: Body Armor - IoKo			Body Armor		IoKo	r16	r18					vit		8	8	dex		8	8	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword76	Wall of Fire	1		76	glov	"Gloves\n\""IxLo\"""	"\n\"""	"\"""	Wall of Fire: Gloves - IxLo			Gloves		IxLo	r37	r28					enr%		5	5	timer%		-2	-2	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword77	Warlock	1		77	scyh	"Scythe\n\""GhalLoVithLah\"""	"\n\"""	"\"""	Warlock: Scythe - GhalLoVithLah			Scythe		GhalLoVithLah	r46	r28	r41	r35			dmg-demon		30	30	timer%		-2	-2	freeze		1	1	addxp		2	2	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword78	Warpath	1		78	boot	"Boots\n\""UmSur\"""	"\n\"""	"\"""	Warpath: Boots - UmSur			Boots		UmSur	r22	r29					balance3		10	10	stupid-thorns		1	1	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword79	Wildcat	1		79	h2h	"Claw\n\""KoNef\"""	"\n\"""	"\"""	Wildcat: Claw - KoNef			Claw		KoNef	r18	r04					dex		8	8	att%		25	25	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword80	Zodiac	1		80	helm	"Helm\n\""ZodJah\"""	"\n\"""	"\"""	Zodiac: Helm - ZodJah			Helm		ZodJah	r33	r31					indestruct		1	1	uninterrupt		8	8	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
Runeword1	Ancients' Pledge			109	shld									RalOrtTal	r08	r09	r07				res-cold		30	30	res-all		13	13	ac%		50	50	dmg-to-mana		10	10													0			
Runeword2	Armageddon																																																0			
Runeword3	Authority																																																0			
Runeword4	Beast			110	axe	scep	hamm							BerTirUmMalLum	r30	r03	r22	r23	r17		swing2		40	40	aura	Fanaticism	9	9	dmg%		240	270	str		25	40	charged	Summon Grizzly	5	13	oskill	Wearbear	3	3	oskill	Shape Shifting	3	3	0			
Runeword5	Beauty																																																0			
